Country/Area,Technology,Grid Connection,Year,Heat Generation (TJ)
Albania,Coal and peat,Heat (Commercial),2000,84.0
Albania,Coal and peat,Heat (Commercial),2001,109.0
Albania,Coal and peat,Heat (Commercial),2002,77.0
Albania,Oil,Combined Heat and Power (CHP),2000,145.0
Albania,Oil,Combined Heat and Power (CHP),2001,138.0
Albania,Oil,Combined Heat and Power (CHP),2002,188.0
Armenia,Natural gas,Heat (Commercial),2000,287.0
Armenia,Natural gas,Heat (Commercial),2001,234.0
Armenia,Natural gas,Heat (Commercial),2002,253.0
Armenia,Natural gas,Heat (Commercial),2003,221.0
Armenia,Natural gas,Heat (Commercial),2004,188.0
Armenia,Natural gas,Heat (Commercial),2005,233.0
Armenia,Natural gas,Heat (Commercial),2006,247.0
Armenia,Natural gas,Heat (Commercial),2007,295.0
Armenia,Natural gas,Combined Heat and Power (CHP),2000,2572.0
Armenia,Natural gas,Combined Heat and Power (CHP),2001,1768.0
Armenia,Natural gas,Combined Heat and Power (CHP),2002,1300.0
Armenia,Natural gas,Combined Heat and Power (CHP),2003,1220.0
Armenia,Natural gas,Combined Heat and Power (CHP),2004,1039.0
Armenia,Natural gas,Combined Heat and Power (CHP),2005,1605.0
Armenia,Natural gas,Combined Heat and Power (CHP),2006,1759.0
Armenia,Natural gas,Combined Heat and Power (CHP),2007,2165.0
Armenia,Natural gas,Combined Heat and Power (CHP),2008,1854.0
Armenia,Natural gas,Combined Heat and Power (CHP),2009,981.0
Armenia,Natural gas,Combined Heat and Power (CHP),2010,494.0
Armenia,Natural gas,Combined Heat and Power (CHP),2011,375.0
Armenia,Natural gas,Combined Heat and Power (CHP),2012,90.0
Armenia,Natural gas,Combined Heat and Power (CHP),2013,127.0
Armenia,Natural gas,Combined Heat and Power (CHP),2014,26.0
Armenia,Natural gas,Combined Heat and Power (CHP),2015,29.309
Armenia,Natural gas,Combined Heat and Power (CHP),2016,33.496
Armenia,Natural gas,Combined Heat and Power (CHP),2017,29.309
Armenia,Natural gas,Combined Heat and Power (CHP),2018,25.122
Armenia,Natural gas,Combined Heat and Power (CHP),2019,29.309
Armenia,Natural gas,Combined Heat and Power (CHP),2020,37.683
Armenia,Natural gas,Combined Heat and Power (CHP),2021,12.561
Armenia,Natural gas,Combined Heat and Power (CHP),2022,11.3
Austria,Solar thermal energy,Heat (Commercial),2009,56.2
Austria,Solar thermal energy,Heat (Commercial),2010,57.299
Austria,Solar thermal energy,Heat (Commercial),2011,72.774
Austria,Solar thermal energy,Heat (Commercial),2012,90.587
Austria,Solar thermal energy,Heat (Commercial),2013,86.536
Austria,Solar thermal energy,Heat (Commercial),2014,79.65
Austria,Solar thermal energy,Heat (Commercial),2015,93.993
Austria,Solar thermal energy,Heat (Commercial),2016,90.246
Austria,Solar thermal energy,Heat (Commercial),2017,92.672
Austria,Solar thermal energy,Heat (Commercial),2018,93.394
Austria,Solar thermal energy,Heat (Commercial),2019,91.125
Austria,Solar thermal energy,Heat (Commercial),2020,90.785
Austria,Solar thermal energy,Heat (Commercial),2021,97.262
Austria,Solar thermal energy,Heat (Commercial),2022,96.579
Austria,Solid biofuels,Heat (Commercial),2000,5445.998
Austria,Solid biofuels,Heat (Commercial),2001,6830.006
Austria,Solid biofuels,Heat (Commercial),2002,7805.004
Austria,Solid biofuels,Heat (Commercial),2003,8443.003
Austria,Solid biofuels,Heat (Commercial),2004,7828.0
Austria,Solid biofuels,Heat (Commercial),2005,7559.622
Austria,Solid biofuels,Heat (Commercial),2006,7981.975
Austria,Solid biofuels,Heat (Commercial),2007,8138.069
Austria,Solid biofuels,Heat (Commercial),2008,9841.097
Austria,Solid biofuels,Heat (Commercial),2009,12147.619
Austria,Solid biofuels,Heat (Commercial),2010,16879.286
Austria,Solid biofuels,Heat (Commercial),2011,16225.653
Austria,Solid biofuels,Heat (Commercial),2012,18337.159
Austria,Solid biofuels,Heat (Commercial),2013,18891.191
Austria,Solid biofuels,Heat (Commercial),2014,19827.235
Austria,Solid biofuels,Heat (Commercial),2015,20269.334
Austria,Solid biofuels,Heat (Commercial),2016,20889.497
Austria,Solid biofuels,Heat (Commercial),2017,22196.274
Austria,Solid biofuels,Heat (Commercial),2018,22637.974
Austria,Solid biofuels,Heat (Commercial),2019,22428.374
