-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2009 through 12/31/2009 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M
29.5,34.375,2009,1,1,6.12
29.5,35.0,2009,1,1,7.44
29.5,35.625,2009,1,1,3.92
30.0,34.375,2009,1,1,6.67
30.0,35.0,2009,1,1,6.69
30.0,35.625,2009,1,1,2.08
30.5,34.375,2009,1,1,6.68
30.5,35.0,2009,1,1,6.85
30.5,35.625,2009,1,1,1.58
31.0,34.375,2009,1,1,8.48
31.0,35.0,2009,1,1,7.08
31.0,35.625,2009,1,1,5.16
31.5,34.375,2009,1,1,12.18
31.5,35.0,2009,1,1,6.62
31.5,35.625,2009,1,1,7.96
32.0,34.375,2009,1,1,13.69
32.0,35.0,2009,1,1,8.01
32.0,35.625,2009,1,1,6.51
32.5,34.375,2009,1,1,13.29
32.5,35.0,2009,1,1,9.44
32.5,35.625,2009,1,1,5.56
33.0,34.375,2009,1,1,12.58
33.0,35.0,2009,1,1,10.03
33.0,35.625,2009,1,1,3.47
29.5,34.375,2009,1,2,4.95
29.5,35.0,2009,1,2,5.88
29.5,35.625,2009,1,2,2.36
30.0,34.375,2009,1,2,6.07
30.0,35.0,2009,1,2,6.11
30.0,35.625,2009,1,2,1.37
30.5,34.375,2009,1,2,7.02
30.5,35.0,2009,1,2,7.2
30.5,35.625,2009,1,2,1.79
31.0,34.375,2009,1,2,9.18
31.0,35.0,2009,1,2,7.75
31.0,35.625,2009,1,2,5.58
31.5,34.375,2009,1,2,12.73
31.5,35.0,2009,1,2,7.51
31.5,35.625,2009,1,2,8.54
32.0,34.375,2009,1,2,14.55
32.0,35.0,2009,1,2,9.02
32.0,35.625,2009,1,2,7.85
32.5,34.375,2009,1,2,14.33
32.5,35.0,2009,1,2,9.97
32.5,35.625,2009,1,2,6.46
33.0,34.375,2009,1,2,13.92
33.0,35.0,2009,1,2,10.84
33.0,35.625,2009,1,2,4.53
29.5,34.375,2009,1,3,5.97
29.5,35.0,2009,1,3,7.07
29.5,35.625,2009,1,3,1.43
30.0,34.375,2009,1,3,6.53
30.0,35.0,2009,1,3,7.05
30.0,35.625,2009,1,3,0.77
30.5,34.375,2009,1,3,7.52
30.5,35.0,2009,1,3,7.91
30.5,35.625,2009,1,3,1.86
31.0,34.375,2009,1,3,9.27
31.0,35.0,2009,1,3,8.42
31.0,35.625,2009,1,3,6.04
31.5,34.375,2009,1,3,13.68
31.5,35.0,2009,1,3,8.03
31.5,35.625,2009,1,3,8.98
32.0,34.375,2009,1,3,16.03
32.0,35.0,2009,1,3,9.5
32.0,35.625,2009,1,3,8.21
32.5,34.375,2009,1,3,16.55
32.5,35.0,2009,1,3,11.54
32.5,35.625,2009,1,3,8.16
33.0,34.375,2009,1,3,16.68
33.0,35.0,2009,1,3,12.74
33.0,35.625,2009,1,3,6.26
29.5,34.375,2009,1,4,5.41
29.5,35.0,2009,1,4,7.2
29.5,35.625,2009,1,4,3.19
30.0,34.375,2009,1,4,7.21
30.0,35.0,2009,1,4,7.57
30.0,35.625,2009,1,4,2.11
30.5,34.375,2009,1,4,8.67
30.5,35.0,2009,1,4,8.76
30.5,35.625,2009,1,4,3.34
31.0,34.375,2009,1,4,11.64
31.0,35.0,2009,1,4,8.99
31.0,35.625,2009,1,4,7.2
31.5,34.375,2009,1,4,15.18
31.5,35.0,2009,1,4,8.48
31.5,35.625,2009,1,4,9.67
32.0,34.375,2009,1,4,16.1
32.0,35.0,2009,1,4,9.24
32.0,35.625,2009,1,4,8.4
32.5,34.375,2009,1,4,16.12
32.5,35.0,2009,1,4,10.77
32.5,35.625,2009,1,4,7.91
33.0,34.375,2009,1,4,16.15
33.0,35.0,2009,1,4,12.25
33.0,35.625,2009,1,4,7.11
29.5,34.375,2009,1,5,8.38
29.5,35.0,2009,1,5,9.61
29.5,35.625,2009,1,5,4.91
30.0,34.375,2009,1,5,8.47
30.0,35.0,2009,1,5,9.54
30.0,35.625,2009,1,5,3.94
30.5,34.375,2009,1,5,9.07
30.5,35.0,2009,1,5,10.61
30.5,35.625,2009,1,5,4.79
31.0,34.375,2009,1,5,11.0
31.0,35.0,2009,1,5,11.02
31.0,35.625,2009,1,5,9.1
31.5,34.375,2009,1,5,15.2
31.5,35.0,2009,1,5,10.9
31.5,35.625,2009,1,5,11.86
32.0,34.375,2009,1,5,17.02
32.0,35.0,2009,1,5,12.38
32.0,35.625,2009,1,5,10.28
32.5,34.375,2009,1,5,17.27
32.5,35.0,2009,1,5,12.97
32.5,35.625,2009,1,5,9.72
33.0,34.375,2009,1,5,17.29
33.0,35.0,2009,1,5,13.38
33.0,35.625,2009,1,5,7.67
29.5,34.375,2009,1,6,10.06
29.5,35.0,2009,1,6,12.4
29.5,35.625,2009,1,6,7.82
30.0,34.375,2009,1,6,10.45
30.0,35.0,2009,1,6,11.42
30.0,35.625,2009,1,6,6.4
30.5,34.375,2009,1,6,10.31
30.5,35.0,2009,1,6,11.24
30.5,35.625,2009,1,6,7.11
31.0,34.375,2009,1,6,11.04
31.0,35.0,2009,1,6,11.51
31.0,35.625,2009,1,6,10.72
31.5,34.375,2009,1,6,14.85
31.5,35.0,2009,1,6,10.96
31.5,35.625,2009,1,6,12.4
32.0,34.375,2009,1,6,17.24
32.0,35.0,2009,1,6,11.57
32.0,35.625,2009,1,6,10.25
32.5,34.375,2009,1,6,17.44
32.5,35.0,2009,1,6,12.46
32.5,35.625,2009,1,6,9.78
33.0,34.375,2009,1,6,17.19
33.0,35.0,2009,1,6,13.65
33.0,35.625,2009,1,6,8.48
29.5,34.375,2009,1,7,8.88
29.5,35.0,2009,1,7,12.14
29.5,35.625,2009,1,7,7.81
30.0,34.375,2009,1,7,9.79
30.0,35.0,2009,1,7,10.72
30.0,35.625,2009,1,7,6.99
30.5,34.375,2009,1,7,10.21
30.5,35.0,2009,1,7,10.83
30.5,35.625,2009,1,7,7.53
31.0,34.375,2009,1,7,11.06
31.0,35.0,2009,1,7,11.03
31.0,35.625,2009,1,7,11.14
31.5,34.375,2009,1,7,15.15
31.5,35.0,2009,1,7,10.63
31.5,35.625,2009,1,7,13.48
32.0,34.375,2009,1,7,18.42
32.0,35.0,2009,1,7,12.36
32.0,35.625,2009,1,7,12.06
32.5,34.375,2009,1,7,18.79
32.5,35.0,2009,1,7,13.73
32.5,35.625,2009,1,7,11.4
33.0,34.375,2009,1,7,18.58
33.0,35.0,2009,1,7,14.74
33.0,35.625,2009,1,7,9.4
29.5,34.375,2009,1,8,8.08
29.5,35.0,2009,1,8,10.63
29.5,35.625,2009,1,8,7.52
