-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2009 through 12/31/2009 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2MWET     MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2MWET
29.5,34.375,2009,1,1,4.54
29.5,35.0,2009,1,1,5.19
29.5,35.625,2009,1,1,1.84
30.0,34.375,2009,1,1,5.05
30.0,35.0,2009,1,1,4.6
30.0,35.625,2009,1,1,0.77
30.5,34.375,2009,1,1,5.06
30.5,35.0,2009,1,1,4.93
30.5,35.625,2009,1,1,0.45
31.0,34.375,2009,1,1,6.23
31.0,35.0,2009,1,1,4.86
31.0,35.625,2009,1,1,2.94
31.5,34.375,2009,1,1,9.34
31.5,35.0,2009,1,1,4.21
31.5,35.625,2009,1,1,4.64
32.0,34.375,2009,1,1,10.98
32.0,35.0,2009,1,1,5.2
32.0,35.625,2009,1,1,3.61
32.5,34.375,2009,1,1,10.64
32.5,35.0,2009,1,1,6.51
32.5,35.625,2009,1,1,2.84
33.0,34.375,2009,1,1,9.94
33.0,35.0,2009,1,1,7.13
33.0,35.625,2009,1,1,0.95
29.5,34.375,2009,1,2,2.32
29.5,35.0,2009,1,2,2.64
29.5,35.625,2009,1,2,-0.89
30.0,34.375,2009,1,2,3.49
30.0,35.0,2009,1,2,3.11
30.0,35.625,2009,1,2,-1.03
30.5,34.375,2009,1,2,4.61
30.5,35.0,2009,1,2,4.28
30.5,35.625,2009,1,2,-0.06
31.0,34.375,2009,1,2,6.43
31.0,35.0,2009,1,2,5.04
31.0,35.625,2009,1,2,2.92
31.5,34.375,2009,1,2,9.53
31.5,35.0,2009,1,2,5.39
31.5,35.625,2009,1,2,5.26
32.0,34.375,2009,1,2,11.13
32.0,35.0,2009,1,2,6.65
32.0,35.625,2009,1,2,4.77
32.5,34.375,2009,1,2,10.87
32.5,35.0,2009,1,2,7.26
32.5,35.625,2009,1,2,3.73
33.0,34.375,2009,1,2,10.66
33.0,35.0,2009,1,2,8.02
33.0,35.625,2009,1,2,2.54
29.5,34.375,2009,1,3,-0.07
29.5,35.0,2009,1,3,-0.24
29.5,35.625,2009,1,3,-4.41
30.0,34.375,2009,1,3,1.21
30.0,35.0,2009,1,3,0.17
30.0,35.625,2009,1,3,-4.35
30.5,34.375,2009,1,3,3.09
30.5,35.0,2009,1,3,2.34
30.5,35.625,2009,1,3,-2.97
31.0,34.375,2009,1,3,5.24
31.0,35.0,2009,1,3,3.47
31.0,35.625,2009,1,3,0.46
31.5,34.375,2009,1,3,9.64
31.5,35.0,2009,1,3,3.8
31.5,35.625,2009,1,3,3.81
32.0,34.375,2009,1,3,11.8
32.0,35.0,2009,1,3,5.87
32.0,35.625,2009,1,3,3.77
32.5,34.375,2009,1,3,12.27
32.5,35.0,2009,1,3,7.82
32.5,35.625,2009,1,3,4.1
33.0,34.375,2009,1,3,12.77
33.0,35.0,2009,1,3,9.32
33.0,35.625,2009,1,3,3.18
29.5,34.375,2009,1,4,1.31
29.5,35.0,2009,1,4,1.05
29.5,35.625,2009,1,4,-3.11
30.0,34.375,2009,1,4,3.25
30.0,35.0,2009,1,4,1.86
30.0,35.625,2009,1,4,-3.05
30.5,34.375,2009,1,4,5.5
30.5,35.0,2009,1,4,4.2
30.5,35.625,2009,1,4,-1.81
31.0,34.375,2009,1,4,8.7
31.0,35.0,2009,1,4,4.5
31.0,35.625,2009,1,4,0.96
31.5,34.375,2009,1,4,11.41
31.5,35.0,2009,1,4,4.43
