-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2009 through 12/31/2009 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WD10M     MERRA-2 Wind Direction at 10 Meters (Degrees) 
-END HEADER-
LAT,LON,YEAR,MO,DY,WD10M
29.5,34.375,2009,1,1,353.8
29.5,35.0,2009,1,1,0.4
29.5,35.625,2009,1,1,326.7
30.0,34.375,2009,1,1,1.5
30.0,35.0,2009,1,1,357.4
30.0,35.625,2009,1,1,320.9
30.5,34.375,2009,1,1,11.7
30.5,35.0,2009,1,1,353.3
30.5,35.625,2009,1,1,325.0
31.0,34.375,2009,1,1,359.2
31.0,35.0,2009,1,1,343.2
31.0,35.625,2009,1,1,328.3
31.5,34.375,2009,1,1,345.9
31.5,35.0,2009,1,1,335.5
31.5,35.625,2009,1,1,340.5
32.0,34.375,2009,1,1,342.6
32.0,35.0,2009,1,1,336.2
32.0,35.625,2009,1,1,333.6
32.5,34.375,2009,1,1,343.5
32.5,35.0,2009,1,1,342.9
32.5,35.625,2009,1,1,322.6
33.0,34.375,2009,1,1,347.0
33.0,35.0,2009,1,1,345.5
33.0,35.625,2009,1,1,319.7
29.5,34.375,2009,1,2,15.3
29.5,35.0,2009,1,2,29.4
29.5,35.625,2009,1,2,55.6
30.0,34.375,2009,1,2,44.7
30.0,35.0,2009,1,2,34.2
30.0,35.625,2009,1,2,15.9
30.5,34.375,2009,1,2,68.2
30.5,35.0,2009,1,2,61.4
30.5,35.625,2009,1,2,13.6
31.0,34.375,2009,1,2,159.3
31.0,35.0,2009,1,2,109.6
31.0,35.625,2009,1,2,80.4
31.5,34.375,2009,1,2,206.6
31.5,35.0,2009,1,2,208.2
31.5,35.625,2009,1,2,138.2
32.0,34.375,2009,1,2,226.2
32.0,35.0,2009,1,2,201.9
32.0,35.625,2009,1,2,132.4
32.5,34.375,2009,1,2,120.2
32.5,35.0,2009,1,2,114.8
32.5,35.625,2009,1,2,112.0
33.0,34.375,2009,1,2,140.6
33.0,35.0,2009,1,2,132.5
33.0,35.625,2009,1,2,3.7
29.5,34.375,2009,1,3,51.3
29.5,35.0,2009,1,3,98.6
29.5,35.625,2009,1,3,123.3
30.0,34.375,2009,1,3,72.0
30.0,35.0,2009,1,3,102.5
30.0,35.625,2009,1,3,128.8
30.5,34.375,2009,1,3,83.7
30.5,35.0,2009,1,3,96.0
30.5,35.625,2009,1,3,134.5
31.0,34.375,2009,1,3,98.9
31.0,35.0,2009,1,3,95.6
31.0,35.625,2009,1,3,135.3
31.5,34.375,2009,1,3,126.7
31.5,35.0,2009,1,3,105.4
31.5,35.625,2009,1,3,127.9
32.0,34.375,2009,1,3,159.4
32.0,35.0,2009,1,3,124.6
32.0,35.625,2009,1,3,126.0
32.5,34.375,2009,1,3,157.7
32.5,35.0,2009,1,3,131.6
32.5,35.625,2009,1,3,133.9
33.0,34.375,2009,1,3,161.7
33.0,35.0,2009,1,3,140.1
33.0,35.625,2009,1,3,119.5
29.5,34.375,2009,1,4,359.3
29.5,35.0,2009,1,4,35.5
29.5,35.625,2009,1,4,32.2
30.0,34.375,2009,1,4,17.1
30.0,35.0,2009,1,4,44.3
30.0,35.625,2009,1,4,32.7
30.5,34.375,2009,1,4,1.2
30.5,35.0,2009,1,4,350.1
30.5,35.625,2009,1,4,154.5
31.0,34.375,2009,1,4,285.8
31.0,35.0,2009,1,4,287.9
31.0,35.625,2009,1,4,156.2
31.5,34.375,2009,1,4,283.7
31.5,35.0,2009,1,4,312.1
31.5,35.625,2009,1,4,139.7
32.0,34.375,2009,1,4,276.6
32.0,35.0,2009,1,4,144.8
32.0,35.625,2009,1,4,123.7
32.5,34.375,2009,1,4,158.9
32.5,35.0,2009,1,4,137.8
32.5,35.625,2009,1,4,128.3
33.0,34.375,2009,1,4,161.8
33.0,35.0,2009,1,4,144.3
33.0,35.625,2009,1,4,98.7
29.5,34.375,2009,1,5,53.9
29.5,35.0,2009,1,5,85.2
29.5,35.625,2009,1,5,105.3
30.0,34.375,2009,1,5,79.8
30.0,35.0,2009,1,5,87.9
30.0,35.625,2009,1,5,112.3
30.5,34.375,2009,1,5,83.1
30.5,35.0,2009,1,5,67.9
30.5,35.625,2009,1,5,123.5
31.0,34.375,2009,1,5,89.1
31.0,35.0,2009,1,5,61.4
31.0,35.625,2009,1,5,126.6
31.5,34.375,2009,1,5,129.6
31.5,35.0,2009,1,5,63.2
31.5,35.625,2009,1,5,121.2
32.0,34.375,2009,1,5,244.1
32.0,35.0,2009,1,5,108.0
32.0,35.625,2009,1,5,126.8
32.5,34.375,2009,1,5,224.5
32.5,35.0,2009,1,5,132.1
32.5,35.625,2009,1,5,140.3
33.0,34.375,2009,1,5,195.0
33.0,35.0,2009,1,5,149.8
33.0,35.625,2009,1,5,106.9
29.5,34.375,2009,1,6,288.2
29.5,35.0,2009,1,6,118.8
29.5,35.625,2009,1,6,205.4
30.0,34.375,2009,1,6,209.5
30.0,35.0,2009,1,6,166.4
30.0,35.625,2009,1,6,190.9
30.5,34.375,2009,1,6,173.1
30.5,35.0,2009,1,6,172.0
30.5,35.625,2009,1,6,177.6
31.0,34.375,2009,1,6,172.4
31.0,35.0,2009,1,6,164.0
31.0,35.625,2009,1,6,175.4
31.5,34.375,2009,1,6,177.2
31.5,35.0,2009,1,6,153.4
31.5,35.625,2009,1,6,140.0
32.0,34.375,2009,1,6,179.1
32.0,35.0,2009,1,6,142.6
32.0,35.625,2009,1,6,123.2
32.5,34.375,2009,1,6,158.8
32.5,35.0,2009,1,6,138.6
32.5,35.625,2009,1,6,128.7
33.0,34.375,2009,1,6,156.0
33.0,35.0,2009,1,6,140.4
33.0,35.625,2009,1,6,101.3
29.5,34.375,2009,1,7,305.7
29.5,35.0,2009,1,7,332.5
29.5,35.625,2009,1,7,297.6
30.0,34.375,2009,1,7,292.7
30.0,35.0,2009,1,7,299.2
30.0,35.625,2009,1,7,291.9
30.5,34.375,2009,1,7,272.9
30.5,35.0,2009,1,7,267.8
30.5,35.625,2009,1,7,274.9
31.0,34.375,2009,1,7,248.6
31.0,35.0,2009,1,7,266.0
31.0,35.625,2009,1,7,231.6
31.5,34.375,2009,1,7,247.1
31.5,35.0,2009,1,7,267.2
31.5,35.625,2009,1,7,230.0
32.0,34.375,2009,1,7,250.5
32.0,35.0,2009,1,7,244.7
32.0,35.625,2009,1,7,226.3
32.5,34.375,2009,1,7,254.0
32.5,35.0,2009,1,7,227.6
32.5,35.625,2009,1,7,211.4
33.0,34.375,2009,1,7,250.1
33.0,35.0,2009,1,7,207.2
33.0,35.625,2009,1,7,258.0
29.5,34.375,2009,1,8,1.9
29.5,35.0,2009,1,8,27.5
29.5,35.625,2009,1,8,78.7
30.0,34.375,2009,1,8,20.9
30.0,35.0,2009,1,8,16.8
30.0,35.625,2009,1,8,45.7
30.5,34.375,2009,1,8,13.3
30.5,35.0,2009,1,8,358.8
30.5,35.625,2009,1,8,359.1
31.0,34.375,2009,1,8,319.2
31.0,35.0,2009,1,8,326.9
31.0,35.625,2009,1,8,311.2
31.5,34.375,2009,1,8,302.9
31.5,35.0,2009,1,8,312.4
31.5,35.625,2009,1,8,251.1
32.0,34.375,2009,1,8,295.7
32.0,35.0,2009,1,8,297.1
32.0,35.625,2009,1,8,289.3
32.5,34.375,2009,1,8,288.6
32.5,35.0,2009,1,8,288.5
32.5,35.625,2009,1,8,290.6
33.0,34.375,2009,1,8,280.7
33.0,35.0,2009,1,8,274.6
33.0,35.625,2009,1,8,292.1
29.5,34.375,2009,1,9,354.3
29.5,35.0,2009,1,9,11.8
29.5,35.625,2009,1,9,16.6
30.0,34.375,2009,1,9,2.5
30.0,35.0,2009,1,9,8.6
30.0,35.625,2009,1,9,0.3
30.5,34.375,2009,1,9,1.0
30.5,35.0,2009,1,9,358.4
30.5,35.625,2009,1,9,350.6
31.0,34.375,2009,1,9,346.0
31.0,35.0,2009,1,9,345.2
31.0,35.625,2009,1,9,353.5
31.5,34.375,2009,1,9,331.1
31.5,35.0,2009,1,9,332.8
31.5,35.625,2009,1,9,354.0
32.0,34.375,2009,1,9,325.8
32.0,35.0,2009,1,9,325.0
32.0,35.625,2009,1,9,343.3
32.5,34.375,2009,1,9,325.6
32.5,35.0,2009,1,9,328.7
32.5,35.625,2009,1,9,338.4
33.0,34.375,2009,1,9,323.7
33.0,35.0,2009,1,9,322.8
33.0,35.625,2009,1,9,321.6
29.5,34.375,2009,1,10,15.7
29.5,35.0,2009,1,10,35.4
29.5,35.625,2009,1,10,59.3
30.0,34.375,2009,1,10,42.3
30.0,35.0,2009,1,10,34.9
30.0,35.625,2009,1,10,50.7
30.5,34.375,2009,1,10,55.4
30.5,35.0,2009,1,10,31.7
30.5,35.625,2009,1,10,49.5
31.0,34.375,2009,1,10,56.7
31.0,35.0,2009,1,10,30.1
31.0,35.625,2009,1,10,58.6
31.5,34.375,2009,1,10,26.5
31.5,35.0,2009,1,10,26.0
31.5,35.625,2009,1,10,57.4
32.0,34.375,2009,1,10,9.3
32.0,35.0,2009,1,10,30.8
32.0,35.625,2009,1,10,46.9
32.5,34.375,2009,1,10,9.1
32.5,35.0,2009,1,10,55.0
32.5,35.625,2009,1,10,50.1
33.0,34.375,2009,1,10,330.8
33.0,35.0,2009,1,10,4.3
33.0,35.625,2009,1,10,357.6
29.5,34.375,2009,1,11,331.5
29.5,35.0,2009,1,11,354.4
29.5,35.625,2009,1,11,289.9
30.0,34.375,2009,1,11,3.0
30.0,35.0,2009,1,11,351.3
30.0,35.625,2009,1,11,289.5
30.5,34.375,2009,1,11,31.0
30.5,35.0,2009,1,11,345.6
30.5,35.625,2009,1,11,284.8
31.0,34.375,2009,1,11,13.6
31.0,35.0,2009,1,11,335.9
31.0,35.625,2009,1,11,267.9
31.5,34.375,2009,1,11,332.5
31.5,35.0,2009,1,11,326.0
31.5,35.625,2009,1,11,290.8
32.0,34.375,2009,1,11,325.2
32.0,35.0,2009,1,11,317.0
32.0,35.625,2009,1,11,307.3
32.5,34.375,2009,1,11,330.7
32.5,35.0,2009,1,11,328.4
32.5,35.625,2009,1,11,289.6
33.0,34.375,2009,1,11,332.0
33.0,35.0,2009,1,11,325.0
33.0,35.625,2009,1,11,312.1
29.5,34.375,2009,1,12,359.2
29.5,35.0,2009,1,12,13.7
29.5,35.625,2009,1,12,340.0
30.0,34.375,2009,1,12,19.9
30.0,35.0,2009,1,12,14.8
30.0,35.625,2009,1,12,341.2
30.5,34.375,2009,1,12,28.8
30.5,35.0,2009,1,12,10.9
30.5,35.625,2009,1,12,356.2
31.0,34.375,2009,1,12,28.7
31.0,35.0,2009,1,12,12.1
31.0,35.625,2009,1,12,37.7
31.5,34.375,2009,1,12,23.7
31.5,35.0,2009,1,12,15.4
31.5,35.625,2009,1,12,53.1
32.0,34.375,2009,1,12,23.3
32.0,35.0,2009,1,12,22.3
32.0,35.625,2009,1,12,41.4
32.5,34.375,2009,1,12,22.0
32.5,35.0,2009,1,12,32.5
32.5,35.625,2009,1,12,56.5
33.0,34.375,2009,1,12,17.2
33.0,35.0,2009,1,12,13.2
33.0,35.625,2009,1,12,56.0
29.5,34.375,2009,1,13,71.4
29.5,35.0,2009,1,13,87.2
29.5,35.625,2009,1,13,93.3
30.0,34.375,2009,1,13,77.9
30.0,35.0,2009,1,13,92.4
30.0,35.625,2009,1,13,101.5
30.5,34.375,2009,1,13,79.9
30.5,35.0,2009,1,13,75.6
30.5,35.625,2009,1,13,112.9
31.0,34.375,2009,1,13,87.8
31.0,35.0,2009,1,13,65.2
31.0,35.625,2009,1,13,113.3
31.5,34.375,2009,1,13,83.6
31.5,35.0,2009,1,13,78.8
31.5,35.625,2009,1,13,100.8
32.0,34.375,2009,1,13,76.9
32.0,35.0,2009,1,13,95.4
32.0,35.625,2009,1,13,98.9
32.5,34.375,2009,1,13,73.6
32.5,35.0,2009,1,13,84.9
32.5,35.625,2009,1,13,88.8
33.0,34.375,2009,1,13,78.1
33.0,35.0,2009,1,13,84.8
33.0,35.625,2009,1,13,77.3
29.5,34.375,2009,1,14,135.9
29.5,35.0,2009,1,14,115.6
29.5,35.625,2009,1,14,120.8
30.0,34.375,2009,1,14,129.1
30.0,35.0,2009,1,14,125.4
30.0,35.625,2009,1,14,123.2
30.5,34.375,2009,1,14,124.3
30.5,35.0,2009,1,14,123.4
30.5,35.625,2009,1,14,127.3
31.0,34.375,2009,1,14,125.4
31.0,35.0,2009,1,14,103.5
31.0,35.625,2009,1,14,128.1
31.5,34.375,2009,1,14,118.3
31.5,35.0,2009,1,14,100.4
31.5,35.625,2009,1,14,117.4
32.0,34.375,2009,1,14,109.3
32.0,35.0,2009,1,14,111.7
32.0,35.625,2009,1,14,110.8
32.5,34.375,2009,1,14,106.5
32.5,35.0,2009,1,14,104.7
32.5,35.625,2009,1,14,104.2
33.0,34.375,2009,1,14,110.7
33.0,35.0,2009,1,14,109.4
33.0,35.625,2009,1,14,82.5
29.5,34.375,2009,1,15,142.3
29.5,35.0,2009,1,15,118.3
29.5,35.625,2009,1,15,129.7
30.0,34.375,2009,1,15,132.8
30.0,35.0,2009,1,15,127.6
30.0,35.625,2009,1,15,134.2
30.5,34.375,2009,1,15,130.5
30.5,35.0,2009,1,15,127.3
30.5,35.625,2009,1,15,138.0
31.0,34.375,2009,1,15,132.3
31.0,35.0,2009,1,15,113.3
31.0,35.625,2009,1,15,139.8
31.5,34.375,2009,1,15,126.7
31.5,35.0,2009,1,15,104.0
31.5,35.625,2009,1,15,126.8
32.0,34.375,2009,1,15,111.5
32.0,35.0,2009,1,15,116.1
32.0,35.625,2009,1,15,116.3
32.5,34.375,2009,1,15,106.8
32.5,35.0,2009,1,15,108.3
32.5,35.625,2009,1,15,114.1
33.0,34.375,2009,1,15,108.7
33.0,35.0,2009,1,15,108.9
33.0,35.625,2009,1,15,90.4
29.5,34.375,2009,1,16,170.6
29.5,35.0,2009,1,16,133.4
29.5,35.625,2009,1,16,134.5
30.0,34.375,2009,1,16,157.2
30.0,35.0,2009,1,16,135.7
30.0,35.625,2009,1,16,136.3
30.5,34.375,2009,1,16,153.1
30.5,35.0,2009,1,16,142.1
30.5,35.625,2009,1,16,142.9
31.0,34.375,2009,1,16,158.2
31.0,35.0,2009,1,16,148.4
31.0,35.625,2009,1,16,150.9
31.5,34.375,2009,1,16,160.7
31.5,35.0,2009,1,16,112.1
31.5,35.625,2009,1,16,127.8
32.0,34.375,2009,1,16,147.1
32.0,35.0,2009,1,16,122.9
32.0,35.625,2009,1,16,113.5
32.5,34.375,2009,1,16,126.0
32.5,35.0,2009,1,16,116.5
32.5,35.625,2009,1,16,109.7
33.0,34.375,2009,1,16,122.5
33.0,35.0,2009,1,16,117.7
33.0,35.625,2009,1,16,79.7
29.5,34.375,2009,1,17,312.5
29.5,35.0,2009,1,17,319.9
29.5,35.625,2009,1,17,288.4
30.0,34.375,2009,1,17,302.7
30.0,35.0,2009,1,17,297.2
30.0,35.625,2009,1,17,288.0
30.5,34.375,2009,1,17,290.8
30.5,35.0,2009,1,17,280.3
30.5,35.625,2009,1,17,276.4
31.0,34.375,2009,1,17,268.1
31.0,35.0,2009,1,17,275.4
31.0,35.625,2009,1,17,241.8
31.5,34.375,2009,1,17,267.7
31.5,35.0,2009,1,17,274.2
31.5,35.625,2009,1,17,244.2
32.0,34.375,2009,1,17,273.8
32.0,35.0,2009,1,17,262.6
32.0,35.625,2009,1,17,254.5
32.5,34.375,2009,1,17,280.2
32.5,35.0,2009,1,17,252.6
32.5,35.625,2009,1,17,240.7
33.0,34.375,2009,1,17,277.5
33.0,35.0,2009,1,17,220.0
33.0,35.625,2009,1,17,282.4
29.5,34.375,2009,1,18,341.9
29.5,35.0,2009,1,18,0.9
29.5,35.625,2009,1,18,345.5
30.0,34.375,2009,1,18,334.8
30.0,35.0,2009,1,18,344.6
30.0,35.625,2009,1,18,330.0
30.5,34.375,2009,1,18,326.0
30.5,35.0,2009,1,18,318.4
30.5,35.625,2009,1,18,315.7
31.0,34.375,2009,1,18,314.3
31.0,35.0,2009,1,18,310.8
31.0,35.625,2009,1,18,295.2
31.5,34.375,2009,1,18,309.0
31.5,35.0,2009,1,18,310.5
31.5,35.625,2009,1,18,303.3
32.0,34.375,2009,1,18,308.0
32.0,35.0,2009,1,18,307.9
32.0,35.625,2009,1,18,313.3
32.5,34.375,2009,1,18,308.1
32.5,35.0,2009,1,18,306.9
32.5,35.625,2009,1,18,303.9
33.0,34.375,2009,1,18,305.7
33.0,35.0,2009,1,18,304.1
33.0,35.625,2009,1,18,304.7
29.5,34.375,2009,1,19,4.1
29.5,35.0,2009,1,19,23.4
29.5,35.625,2009,1,19,13.1
30.0,34.375,2009,1,19,3.6
30.0,35.0,2009,1,19,4.8
30.0,35.625,2009,1,19,345.6
30.5,34.375,2009,1,19,338.4
30.5,35.0,2009,1,19,342.8
30.5,35.625,2009,1,19,331.0
31.0,34.375,2009,1,19,294.7
31.0,35.0,2009,1,19,319.9
31.0,35.625,2009,1,19,327.2
31.5,34.375,2009,1,19,277.8
31.5,35.0,2009,1,19,304.3
31.5,35.625,2009,1,19,320.8
32.0,34.375,2009,1,19,270.7
32.0,35.0,2009,1,19,287.8
32.0,35.625,2009,1,19,320.8
32.5,34.375,2009,1,19,268.5
32.5,35.0,2009,1,19,263.1
32.5,35.625,2009,1,19,311.9
33.0,34.375,2009,1,19,258.5
33.0,35.0,2009,1,19,241.6
33.0,35.625,2009,1,19,308.0
29.5,34.375,2009,1,20,1.5
29.5,35.0,2009,1,20,20.2
29.5,35.625,2009,1,20,36.9
30.0,34.375,2009,1,20,23.2
30.0,35.0,2009,1,20,21.1
30.0,35.625,2009,1,20,22.1
30.5,34.375,2009,1,20,33.5
30.5,35.0,2009,1,20,17.5
30.5,35.625,2009,1,20,18.7
31.0,34.375,2009,1,20,1.8
31.0,35.0,2009,1,20,4.5
31.0,35.625,2009,1,20,68.2
31.5,34.375,2009,1,20,298.9
31.5,35.0,2009,1,20,337.9
31.5,35.625,2009,1,20,101.7
32.0,34.375,2009,1,20,281.2
32.0,35.0,2009,1,20,300.9
32.0,35.625,2009,1,20,308.6
32.5,34.375,2009,1,20,299.3
32.5,35.0,2009,1,20,304.9
32.5,35.625,2009,1,20,183.8
33.0,34.375,2009,1,20,317.0
33.0,35.0,2009,1,20,309.8
33.0,35.625,2009,1,20,319.2
29.5,34.375,2009,1,21,124.6
29.5,35.0,2009,1,21,131.3
29.5,35.625,2009,1,21,138.9
30.0,34.375,2009,1,21,119.7
30.0,35.0,2009,1,21,121.6
30.0,35.625,2009,1,21,138.9
30.5,34.375,2009,1,21,106.9
30.5,35.0,2009,1,21,97.9
30.5,35.625,2009,1,21,139.9
31.0,34.375,2009,1,21,101.6
31.0,35.0,2009,1,21,77.0
31.0,35.625,2009,1,21,137.3
31.5,34.375,2009,1,21,80.0
31.5,35.0,2009,1,21,82.5
31.5,35.625,2009,1,21,117.8
32.0,34.375,2009,1,21,63.3
32.0,35.0,2009,1,21,95.9
32.0,35.625,2009,1,21,107.4
32.5,34.375,2009,1,21,61.0
32.5,35.0,2009,1,21,80.5
32.5,35.625,2009,1,21,107.1
33.0,34.375,2009,1,21,57.5
33.0,35.0,2009,1,21,68.2
33.0,35.625,2009,1,21,88.7
29.5,34.375,2009,1,22,108.1
29.5,35.0,2009,1,22,102.0
29.5,35.625,2009,1,22,118.5
30.0,34.375,2009,1,22,118.9
30.0,35.0,2009,1,22,109.7
30.0,35.625,2009,1,22,123.3
30.5,34.375,2009,1,22,113.8
30.5,35.0,2009,1,22,99.3
30.5,35.625,2009,1,22,128.5
31.0,34.375,2009,1,22,115.3
31.0,35.0,2009,1,22,86.7
31.0,35.625,2009,1,22,126.0
31.5,34.375,2009,1,22,113.1
31.5,35.0,2009,1,22,86.6
31.5,35.625,2009,1,22,109.4
32.0,34.375,2009,1,22,101.2
32.0,35.0,2009,1,22,106.0
32.0,35.625,2009,1,22,102.2
32.5,34.375,2009,1,22,92.2
32.5,35.0,2009,1,22,97.2
32.5,35.625,2009,1,22,88.9
33.0,34.375,2009,1,22,84.4
33.0,35.0,2009,1,22,96.7
33.0,35.625,2009,1,22,75.0
29.5,34.375,2009,1,23,162.9
29.5,35.0,2009,1,23,134.9
29.5,35.625,2009,1,23,140.2
30.0,34.375,2009,1,23,155.4
30.0,35.0,2009,1,23,142.4
30.0,35.625,2009,1,23,140.0
30.5,34.375,2009,1,23,149.3
30.5,35.0,2009,1,23,148.6
30.5,35.625,2009,1,23,141.0
31.0,34.375,2009,1,23,152.7
