-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2009 through 12/31/2009 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_KT     CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_KT
29.5,34.5,2009,1,1,0.52
29.5,35.5,2009,1,1,0.66
30.5,34.5,2009,1,1,0.4
30.5,35.5,2009,1,1,0.44
31.5,34.5,2009,1,1,0.5
31.5,35.5,2009,1,1,0.59
32.5,34.5,2009,1,1,0.61
32.5,35.5,2009,1,1,0.51
29.5,34.5,2009,1,2,0.73
29.5,35.5,2009,1,2,0.76
30.5,34.5,2009,1,2,0.7
30.5,35.5,2009,1,2,0.73
31.5,34.5,2009,1,2,0.48
31.5,35.5,2009,1,2,0.66
32.5,34.5,2009,1,2,0.41
32.5,35.5,2009,1,2,0.56
29.5,34.5,2009,1,3,0.74
29.5,35.5,2009,1,3,0.77
30.5,34.5,2009,1,3,0.71
30.5,35.5,2009,1,3,0.74
31.5,34.5,2009,1,3,0.64
31.5,35.5,2009,1,3,0.7
32.5,34.5,2009,1,3,0.5
32.5,35.5,2009,1,3,0.67
29.5,34.5,2009,1,4,0.72
29.5,35.5,2009,1,4,0.74
30.5,34.5,2009,1,4,0.7
30.5,35.5,2009,1,4,0.73
31.5,34.5,2009,1,4,0.59
31.5,35.5,2009,1,4,0.7
32.5,34.5,2009,1,4,0.62
32.5,35.5,2009,1,4,0.69
29.5,34.5,2009,1,5,0.73
29.5,35.5,2009,1,5,0.74
30.5,34.5,2009,1,5,0.7
30.5,35.5,2009,1,5,0.73
31.5,34.5,2009,1,5,0.63
31.5,35.5,2009,1,5,0.66
32.5,34.5,2009,1,5,0.53
32.5,35.5,2009,1,5,0.63
29.5,34.5,2009,1,6,0.72
29.5,35.5,2009,1,6,0.75
30.5,34.5,2009,1,6,0.72
30.5,35.5,2009,1,6,0.72
31.5,34.5,2009,1,6,0.66
31.5,35.5,2009,1,6,0.68
32.5,34.5,2009,1,6,0.67
32.5,35.5,2009,1,6,0.68
29.5,34.5,2009,1,7,0.69
29.5,35.5,2009,1,7,0.73
30.5,34.5,2009,1,7,0.69
30.5,35.5,2009,1,7,0.71
31.5,34.5,2009,1,7,0.64
31.5,35.5,2009,1,7,0.69
32.5,34.5,2009,1,7,0.61
32.5,35.5,2009,1,7,0.64
29.5,34.5,2009,1,8,0.71
29.5,35.5,2009,1,8,0.75
30.5,34.5,2009,1,8,0.63
30.5,35.5,2009,1,8,0.65
31.5,34.5,2009,1,8,0.52
31.5,35.5,2009,1,8,0.57
32.5,34.5,2009,1,8,0.49
32.5,35.5,2009,1,8,0.46
29.5,34.5,2009,1,9,0.72
29.5,35.5,2009,1,9,0.75
30.5,34.5,2009,1,9,0.69
30.5,35.5,2009,1,9,0.7
31.5,34.5,2009,1,9,0.6
31.5,35.5,2009,1,9,0.61
32.5,34.5,2009,1,9,0.6
32.5,35.5,2009,1,9,0.51
29.5,34.5,2009,1,10,0.71
29.5,35.5,2009,1,10,0.72
30.5,34.5,2009,1,10,0.7
30.5,35.5,2009,1,10,0.71
31.5,34.5,2009,1,10,0.65
31.5,35.5,2009,1,10,0.68
32.5,34.5,2009,1,10,0.63
32.5,35.5,2009,1,10,0.64
29.5,34.5,2009,1,11,0.69
29.5,35.5,2009,1,11,0.71
30.5,34.5,2009,1,11,0.68
30.5,35.5,2009,1,11,0.68
31.5,34.5,2009,1,11,0.58
31.5,35.5,2009,1,11,0.61
32.5,34.5,2009,1,11,0.5
32.5,35.5,2009,1,11,0.34
29.5,34.5,2009,1,12,0.66
29.5,35.5,2009,1,12,0.69
30.5,34.5,2009,1,12,0.67
30.5,35.5,2009,1,12,0.69
31.5,34.5,2009,1,12,0.63
31.5,35.5,2009,1,12,0.68
32.5,34.5,2009,1,12,0.49
32.5,35.5,2009,1,12,0.64
29.5,34.5,2009,1,13,0.73
29.5,35.5,2009,1,13,0.75
30.5,34.5,2009,1,13,0.73
30.5,35.5,2009,1,13,0.75
31.5,34.5,2009,1,13,0.67
31.5,35.5,2009,1,13,0.71
32.5,34.5,2009,1,13,0.68
32.5,35.5,2009,1,13,0.7
