-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2010 through 12/31/2010 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_LW_DWN     CERES SYN1deg All Sky Surface Longwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_LW_DWN
29.5,34.5,2010,1,1,7.6
29.5,35.5,2010,1,1,7.13
30.5,34.5,2010,1,1,7.15
30.5,35.5,2010,1,1,6.89
31.5,34.5,2010,1,1,8.03
31.5,35.5,2010,1,1,7.78
32.5,34.5,2010,1,1,8.14
32.5,35.5,2010,1,1,8.24
29.5,34.5,2010,1,2,7.73
29.5,35.5,2010,1,2,7.33
30.5,34.5,2010,1,2,7.43
30.5,35.5,2010,1,2,7.21
31.5,34.5,2010,1,2,8.04
31.5,35.5,2010,1,2,7.66
32.5,34.5,2010,1,2,8.09
32.5,35.5,2010,1,2,7.78
29.5,34.5,2010,1,3,7.74
29.5,35.5,2010,1,3,7.03
30.5,34.5,2010,1,3,7.21
30.5,35.5,2010,1,3,6.89
31.5,34.5,2010,1,3,8.24
31.5,35.5,2010,1,3,7.86
32.5,34.5,2010,1,3,7.95
32.5,35.5,2010,1,3,7.91
29.5,34.5,2010,1,4,7.4
29.5,35.5,2010,1,4,7.05
30.5,34.5,2010,1,4,6.92
30.5,35.5,2010,1,4,6.64
31.5,34.5,2010,1,4,8.23
31.5,35.5,2010,1,4,7.87
32.5,34.5,2010,1,4,8.53
32.5,35.5,2010,1,4,8.52
29.5,34.5,2010,1,5,7.5
29.5,35.5,2010,1,5,7.05
30.5,34.5,2010,1,5,6.95
30.5,35.5,2010,1,5,6.64
31.5,34.5,2010,1,5,8.47
31.5,35.5,2010,1,5,8.09
32.5,34.5,2010,1,5,7.94
32.5,35.5,2010,1,5,8.24
29.5,34.5,2010,1,6,7.7
29.5,35.5,2010,1,6,7.03
30.5,34.5,2010,1,6,7.02
30.5,35.5,2010,1,6,6.66
31.5,34.5,2010,1,6,7.92
31.5,35.5,2010,1,6,7.55
32.5,34.5,2010,1,6,7.46
32.5,35.5,2010,1,6,7.48
29.5,34.5,2010,1,7,7.79
29.5,35.5,2010,1,7,7.1
30.5,34.5,2010,1,7,7.04
30.5,35.5,2010,1,7,6.78
31.5,34.5,2010,1,7,7.88
31.5,35.5,2010,1,7,7.91
32.5,34.5,2010,1,7,7.62
32.5,35.5,2010,1,7,7.64
29.5,34.5,2010,1,8,7.72
29.5,35.5,2010,1,8,7.01
30.5,34.5,2010,1,8,6.98
30.5,35.5,2010,1,8,6.71
31.5,34.5,2010,1,8,7.92
31.5,35.5,2010,1,8,7.92
32.5,34.5,2010,1,8,7.64
32.5,35.5,2010,1,8,7.77
29.5,34.5,2010,1,9,7.72
29.5,35.5,2010,1,9,6.95
30.5,34.5,2010,1,9,6.66
30.5,35.5,2010,1,9,6.42
31.5,34.5,2010,1,9,7.74
31.5,35.5,2010,1,9,7.68
32.5,34.5,2010,1,9,7.43
32.5,35.5,2010,1,9,7.75
29.5,34.5,2010,1,10,7.82
29.5,35.5,2010,1,10,6.9
30.5,34.5,2010,1,10,6.86
30.5,35.5,2010,1,10,6.53
31.5,34.5,2010,1,10,7.83
31.5,35.5,2010,1,10,7.61
32.5,34.5,2010,1,10,7.55
32.5,35.5,2010,1,10,7.59
29.5,34.5,2010,1,11,7.55
29.5,35.5,2010,1,11,6.97
30.5,34.5,2010,1,11,7.13
30.5,35.5,2010,1,11,6.9
31.5,34.5,2010,1,11,7.9
31.5,35.5,2010,1,11,7.68
32.5,34.5,2010,1,11,8.06
32.5,35.5,2010,1,11,7.7
29.5,34.5,2010,1,12,7.45
29.5,35.5,2010,1,12,7.11
30.5,34.5,2010,1,12,7.66
30.5,35.5,2010,1,12,7.29
31.5,34.5,2010,1,12,8.23
31.5,35.5,2010,1,12,7.7
32.5,34.5,2010,1,12,8.31
32.5,35.5,2010,1,12,7.78
29.5,34.5,2010,1,13,7.62
