-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2011 through 12/31/2011 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
TS     MERRA-2 Earth Skin Temperature (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,TS
29.5,34.375,2011,1,1,10.54
29.5,35.0,2011,1,1,11.99
29.5,35.625,2011,1,1,7.31
30.0,34.375,2011,1,1,11.53
30.0,35.0,2011,1,1,12.31
30.0,35.625,2011,1,1,6.87
30.5,34.375,2011,1,1,11.66
30.5,35.0,2011,1,1,12.8
30.5,35.625,2011,1,1,8.24
31.0,34.375,2011,1,1,13.09
31.0,35.0,2011,1,1,12.77
31.0,35.625,2011,1,1,11.54
31.5,34.375,2011,1,1,17.71
31.5,35.0,2011,1,1,12.23
31.5,35.625,2011,1,1,13.03
32.0,34.375,2011,1,1,20.13
32.0,35.0,2011,1,1,13.75
32.0,35.625,2011,1,1,12.62
32.5,34.375,2011,1,1,20.37
32.5,35.0,2011,1,1,15.9
32.5,35.625,2011,1,1,12.02
33.0,34.375,2011,1,1,20.28
33.0,35.0,2011,1,1,17.12
33.0,35.625,2011,1,1,10.44
29.5,34.375,2011,1,2,9.9
29.5,35.0,2011,1,2,12.27
29.5,35.625,2011,1,2,7.49
30.0,34.375,2011,1,2,11.36
30.0,35.0,2011,1,2,12.43
30.0,35.625,2011,1,2,7.65
30.5,34.375,2011,1,2,12.12
30.5,35.0,2011,1,2,13.25
30.5,35.625,2011,1,2,8.39
31.0,34.375,2011,1,2,12.83
31.0,35.0,2011,1,2,13.15
31.0,35.625,2011,1,2,11.85
31.5,34.375,2011,1,2,17.79
31.5,35.0,2011,1,2,12.41
31.5,35.625,2011,1,2,14.17
32.0,34.375,2011,1,2,20.34
32.0,35.0,2011,1,2,13.95
32.0,35.625,2011,1,2,13.57
32.5,34.375,2011,1,2,20.5
32.5,35.0,2011,1,2,15.66
32.5,35.625,2011,1,2,12.58
33.0,34.375,2011,1,2,20.35
33.0,35.0,2011,1,2,17.27
33.0,35.625,2011,1,2,11.28
29.5,34.375,2011,1,3,10.02
29.5,35.0,2011,1,3,12.38
29.5,35.625,2011,1,3,7.21
30.0,34.375,2011,1,3,11.52
30.0,35.0,2011,1,3,12.15
30.0,35.625,2011,1,3,7.1
30.5,34.375,2011,1,3,12.61
30.5,35.0,2011,1,3,13.15
30.5,35.625,2011,1,3,8.44
31.0,34.375,2011,1,3,12.35
31.0,35.0,2011,1,3,12.58
31.0,35.625,2011,1,3,11.97
31.5,34.375,2011,1,3,17.06
31.5,35.0,2011,1,3,12.08
31.5,35.625,2011,1,3,13.7
32.0,34.375,2011,1,3,20.14
32.0,35.0,2011,1,3,13.71
32.0,35.625,2011,1,3,13.01
32.5,34.375,2011,1,3,20.33
32.5,35.0,2011,1,3,15.49
32.5,35.625,2011,1,3,12.72
33.0,34.375,2011,1,3,20.17
33.0,35.0,2011,1,3,17.01
33.0,35.625,2011,1,3,11.32
29.5,34.375,2011,1,4,8.99
29.5,35.0,2011,1,4,11.69
29.5,35.625,2011,1,4,8.49
30.0,34.375,2011,1,4,10.18
30.0,35.0,2011,1,4,11.36
30.0,35.625,2011,1,4,6.27
30.5,34.375,2011,1,4,11.15
30.5,35.0,2011,1,4,12.4
30.5,35.625,2011,1,4,6.63
31.0,34.375,2011,1,4,10.87
31.0,35.0,2011,1,4,11.65
31.0,35.625,2011,1,4,10.77
31.5,34.375,2011,1,4,16.56
31.5,35.0,2011,1,4,10.95
31.5,35.625,2011,1,4,13.25
32.0,34.375,2011,1,4,20.17
32.0,35.0,2011,1,4,13.01
32.0,35.625,2011,1,4,12.34
32.5,34.375,2011,1,4,20.38
32.5,35.0,2011,1,4,15.66
32.5,35.625,2011,1,4,11.77
33.0,34.375,2011,1,4,20.22
33.0,35.0,2011,1,4,16.99
33.0,35.625,2011,1,4,9.98
29.5,34.375,2011,1,5,7.87
29.5,35.0,2011,1,5,10.04
29.5,35.625,2011,1,5,5.97
30.0,34.375,2011,1,5,9.0
30.0,35.0,2011,1,5,9.72
30.0,35.625,2011,1,5,4.76
30.5,34.375,2011,1,5,9.57
30.5,35.0,2011,1,5,10.92
30.5,35.625,2011,1,5,5.33
31.0,34.375,2011,1,5,10.57
31.0,35.0,2011,1,5,10.59
31.0,35.625,2011,1,5,9.32
31.5,34.375,2011,1,5,16.61
31.5,35.0,2011,1,5,10.11
31.5,35.625,2011,1,5,12.22
32.0,34.375,2011,1,5,20.09
32.0,35.0,2011,1,5,12.12
32.0,35.625,2011,1,5,11.21
32.5,34.375,2011,1,5,20.34
32.5,35.0,2011,1,5,15.28
32.5,35.625,2011,1,5,10.83
33.0,34.375,2011,1,5,20.26
33.0,35.0,2011,1,5,16.86
33.0,35.625,2011,1,5,8.95
29.5,34.375,2011,1,6,9.28
29.5,35.0,2011,1,6,11.07
29.5,35.625,2011,1,6,5.99
30.0,34.375,2011,1,6,10.31
30.0,35.0,2011,1,6,10.99
30.0,35.625,2011,1,6,7.37
30.5,34.375,2011,1,6,11.38
30.5,35.0,2011,1,6,12.19
30.5,35.625,2011,1,6,8.61
31.0,34.375,2011,1,6,11.9
31.0,35.0,2011,1,6,11.96
31.0,35.625,2011,1,6,10.73
31.5,34.375,2011,1,6,16.67
31.5,35.0,2011,1,6,11.15
31.5,35.625,2011,1,6,12.9
32.0,34.375,2011,1,6,19.94
32.0,35.0,2011,1,6,12.26
32.0,35.625,2011,1,6,12.05
32.5,34.375,2011,1,6,20.24
32.5,35.0,2011,1,6,14.63
32.5,35.625,2011,1,6,10.56
33.0,34.375,2011,1,6,20.2
33.0,35.0,2011,1,6,16.32
33.0,35.625,2011,1,6,8.89
29.5,34.375,2011,1,7,9.69
29.5,35.0,2011,1,7,10.88
29.5,35.625,2011,1,7,5.87
30.0,34.375,2011,1,7,10.25
30.0,35.0,2011,1,7,10.38
30.0,35.625,2011,1,7,6.32
30.5,34.375,2011,1,7,10.21
30.5,35.0,2011,1,7,11.45
30.5,35.625,2011,1,7,7.51
31.0,34.375,2011,1,7,11.32
31.0,35.0,2011,1,7,11.51
31.0,35.625,2011,1,7,10.19
31.5,34.375,2011,1,7,16.47
31.5,35.0,2011,1,7,10.91
31.5,35.625,2011,1,7,13.01
32.0,34.375,2011,1,7,19.79
32.0,35.0,2011,1,7,12.03
32.0,35.625,2011,1,7,12.12
32.5,34.375,2011,1,7,20.12
32.5,35.0,2011,1,7,14.03
32.5,35.625,2011,1,7,10.64
33.0,34.375,2011,1,7,20.1
33.0,35.0,2011,1,7,15.86
33.0,35.625,2011,1,7,8.61
29.5,34.375,2011,1,8,8.47
29.5,35.0,2011,1,8,10.81
29.5,35.625,2011,1,8,6.56
30.0,34.375,2011,1,8,10.16
30.0,35.0,2011,1,8,10.92
30.0,35.625,2011,1,8,6.47
30.5,34.375,2011,1,8,10.45
30.5,35.0,2011,1,8,11.08
30.5,35.625,2011,1,8,7.25
31.0,34.375,2011,1,8,11.82
31.0,35.0,2011,1,8,11.06
31.0,35.625,2011,1,8,9.87
31.5,34.375,2011,1,8,17.07
31.5,35.0,2011,1,8,10.6
31.5,35.625,2011,1,8,11.45
32.0,34.375,2011,1,8,19.8
32.0,35.0,2011,1,8,12.01
32.0,35.625,2011,1,8,10.56
32.5,34.375,2011,1,8,20.15
32.5,35.0,2011,1,8,14.24
32.5,35.625,2011,1,8,9.98
33.0,34.375,2011,1,8,20.18
33.0,35.0,2011,1,8,16.1
33.0,35.625,2011,1,8,7.63
29.5,34.375,2011,1,9,8.07
29.5,35.0,2011,1,9,10.43
29.5,35.625,2011,1,9,6.01
30.0,34.375,2011,1,9,9.18
30.0,35.0,2011,1,9,10.63
30.0,35.625,2011,1,9,6.24
30.5,34.375,2011,1,9,10.89
30.5,35.0,2011,1,9,11.07
30.5,35.625,2011,1,9,6.86
31.0,34.375,2011,1,9,12.6
31.0,35.0,2011,1,9,11.17
31.0,35.625,2011,1,9,9.5
31.5,34.375,2011,1,9,16.39
31.5,35.0,2011,1,9,10.82
31.5,35.625,2011,1,9,11.56
32.0,34.375,2011,1,9,19.75
32.0,35.0,2011,1,9,11.51
32.0,35.625,2011,1,9,10.47
32.5,34.375,2011,1,9,20.15
32.5,35.0,2011,1,9,13.93
32.5,35.625,2011,1,9,9.84
33.0,34.375,2011,1,9,20.2
33.0,35.0,2011,1,9,15.95
33.0,35.625,2011,1,9,8.11
29.5,34.375,2011,1,10,7.28
29.5,35.0,2011,1,10,10.01
29.5,35.625,2011,1,10,5.78
30.0,34.375,2011,1,10,8.46
30.0,35.0,2011,1,10,9.94
30.0,35.625,2011,1,10,6.49
30.5,34.375,2011,1,10,9.08
30.5,35.0,2011,1,10,10.58
30.5,35.625,2011,1,10,6.64
31.0,34.375,2011,1,10,10.57
31.0,35.0,2011,1,10,10.82
31.0,35.625,2011,1,10,8.8
31.5,34.375,2011,1,10,16.92
31.5,35.0,2011,1,10,10.59
31.5,35.625,2011,1,10,12.09
32.0,34.375,2011,1,10,19.61
32.0,35.0,2011,1,10,11.6
32.0,35.625,2011,1,10,10.37
32.5,34.375,2011,1,10,20.0
32.5,35.0,2011,1,10,14.28
32.5,35.625,2011,1,10,10.17
33.0,34.375,2011,1,10,20.03
33.0,35.0,2011,1,10,16.18
33.0,35.625,2011,1,10,7.89
29.5,34.375,2011,1,11,8.31
29.5,35.0,2011,1,11,10.62
29.5,35.625,2011,1,11,5.93
30.0,34.375,2011,1,11,9.85
30.0,35.0,2011,1,11,10.06
30.0,35.625,2011,1,11,5.65
30.5,34.375,2011,1,11,10.5
30.5,35.0,2011,1,11,10.84
30.5,35.625,2011,1,11,5.69
31.0,34.375,2011,1,11,12.09
31.0,35.0,2011,1,11,11.39
31.0,35.625,2011,1,11,9.23
31.5,34.375,2011,1,11,17.21
31.5,35.0,2011,1,11,11.13
31.5,35.625,2011,1,11,12.39
32.0,34.375,2011,1,11,19.48
32.0,35.0,2011,1,11,12.18
32.0,35.625,2011,1,11,11.2
32.5,34.375,2011,1,11,19.85
32.5,35.0,2011,1,11,14.55
32.5,35.625,2011,1,11,11.24
33.0,34.375,2011,1,11,19.86
33.0,35.0,2011,1,11,16.33
33.0,35.625,2011,1,11,9.33
29.5,34.375,2011,1,12,9.82
29.5,35.0,2011,1,12,11.98
29.5,35.625,2011,1,12,6.24
30.0,34.375,2011,1,12,10.71
30.0,35.0,2011,1,12,11.51
30.0,35.625,2011,1,12,6.21
30.5,34.375,2011,1,12,11.56
30.5,35.0,2011,1,12,12.31
30.5,35.625,2011,1,12,7.45
31.0,34.375,2011,1,12,12.63
31.0,35.0,2011,1,12,12.16
31.0,35.625,2011,1,12,11.32
31.5,34.375,2011,1,12,17.0
31.5,35.0,2011,1,12,11.73
31.5,35.625,2011,1,12,13.54
32.0,34.375,2011,1,12,19.57
32.0,35.0,2011,1,12,12.77
32.0,35.625,2011,1,12,12.14
32.5,34.375,2011,1,12,19.87
32.5,35.0,2011,1,12,14.6
32.5,35.625,2011,1,12,11.84
33.0,34.375,2011,1,12,19.89
33.0,35.0,2011,1,12,16.28
33.0,35.625,2011,1,12,10.17
29.5,34.375,2011,1,13,10.07
29.5,35.0,2011,1,13,12.61
29.5,35.625,2011,1,13,7.12
30.0,34.375,2011,1,13,11.06
30.0,35.0,2011,1,13,12.04
30.0,35.625,2011,1,13,6.54
30.5,34.375,2011,1,13,11.32
30.5,35.0,2011,1,13,12.35
30.5,35.625,2011,1,13,7.28
31.0,34.375,2011,1,13,12.21
