-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2011 through 12/31/2011 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_MAX     MERRA-2 Temperature at 2 Meters Maximum (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_MAX
29.5,34.375,2011,1,1,14.92
29.5,35.0,2011,1,1,15.92
29.5,35.625,2011,1,1,13.77
30.0,34.375,2011,1,1,15.89
30.0,35.0,2011,1,1,16.27
30.0,35.625,2011,1,1,12.04
30.5,34.375,2011,1,1,16.57
30.5,35.0,2011,1,1,17.55
30.5,35.625,2011,1,1,11.62
31.0,34.375,2011,1,1,17.68
31.0,35.0,2011,1,1,17.35
31.0,35.625,2011,1,1,15.22
31.5,34.375,2011,1,1,18.52
31.5,35.0,2011,1,1,16.11
31.5,35.625,2011,1,1,17.67
32.0,34.375,2011,1,1,18.61
32.0,35.0,2011,1,1,16.09
32.0,35.625,2011,1,1,18.01
32.5,34.375,2011,1,1,18.79
32.5,35.0,2011,1,1,17.2
32.5,35.625,2011,1,1,17.85
33.0,34.375,2011,1,1,18.08
33.0,35.0,2011,1,1,16.84
33.0,35.625,2011,1,1,14.87
29.5,34.375,2011,1,2,16.34
29.5,35.0,2011,1,2,17.72
29.5,35.625,2011,1,2,14.17
30.0,34.375,2011,1,2,17.88
30.0,35.0,2011,1,2,18.81
30.0,35.625,2011,1,2,13.67
30.5,34.375,2011,1,2,18.28
30.5,35.0,2011,1,2,19.63
30.5,35.625,2011,1,2,14.31
31.0,34.375,2011,1,2,19.5
31.0,35.0,2011,1,2,19.52
31.0,35.625,2011,1,2,18.57
31.5,34.375,2011,1,2,20.04
31.5,35.0,2011,1,2,19.03
31.5,35.625,2011,1,2,20.59
32.0,34.375,2011,1,2,19.22
32.0,35.0,2011,1,2,18.75
32.0,35.625,2011,1,2,19.91
32.5,34.375,2011,1,2,19.13
32.5,35.0,2011,1,2,19.46
32.5,35.625,2011,1,2,20.23
33.0,34.375,2011,1,2,18.68
33.0,35.0,2011,1,2,18.55
33.0,35.625,2011,1,2,16.43
29.5,34.375,2011,1,3,18.93
29.5,35.0,2011,1,3,19.14
29.5,35.625,2011,1,3,16.17
30.0,34.375,2011,1,3,20.26
30.0,35.0,2011,1,3,20.28
30.0,35.625,2011,1,3,15.45
30.5,34.375,2011,1,3,19.85
30.5,35.0,2011,1,3,21.24
30.5,35.625,2011,1,3,16.63
31.0,34.375,2011,1,3,19.78
31.0,35.0,2011,1,3,20.83
31.0,35.625,2011,1,3,20.23
31.5,34.375,2011,1,3,20.14
31.5,35.0,2011,1,3,19.92
31.5,35.625,2011,1,3,21.72
32.0,34.375,2011,1,3,18.85
32.0,35.0,2011,1,3,20.15
32.0,35.625,2011,1,3,21.49
32.5,34.375,2011,1,3,19.05
32.5,35.0,2011,1,3,20.53
32.5,35.625,2011,1,3,21.55
33.0,34.375,2011,1,3,18.85
33.0,35.0,2011,1,3,19.91
