-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2012 through 12/31/2012 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS50M_RANGE     MERRA-2 Wind Speed at 50 Meters Range (m/s) 
-END HEADER-
LAT,LON,YEAR,MO,DY,WS50M_RANGE
29.5,34.375,2012,1,1,3.43
29.5,35.0,2012,1,1,4.51
29.5,35.625,2012,1,1,3.72
30.0,34.375,2012,1,1,3.88
30.0,35.0,2012,1,1,4.46
30.0,35.625,2012,1,1,4.33
30.5,34.375,2012,1,1,2.49
30.5,35.0,2012,1,1,3.81
30.5,35.625,2012,1,1,6.2
31.0,34.375,2012,1,1,2.71
31.0,35.0,2012,1,1,4.32
31.0,35.625,2012,1,1,4.59
31.5,34.375,2012,1,1,1.97
31.5,35.0,2012,1,1,4.86
31.5,35.625,2012,1,1,4.49
32.0,34.375,2012,1,1,1.86
32.0,35.0,2012,1,1,3.77
32.0,35.625,2012,1,1,5.12
32.5,34.375,2012,1,1,3.07
32.5,35.0,2012,1,1,3.24
32.5,35.625,2012,1,1,3.6
33.0,34.375,2012,1,1,4.15
33.0,35.0,2012,1,1,3.94
33.0,35.625,2012,1,1,3.9
29.5,34.375,2012,1,2,3.0
29.5,35.0,2012,1,2,2.74
29.5,35.625,2012,1,2,2.8
30.0,34.375,2012,1,2,4.71
30.0,35.0,2012,1,2,2.94
30.0,35.625,2012,1,2,3.86
30.5,34.375,2012,1,2,6.26
30.5,35.0,2012,1,2,5.36
30.5,35.625,2012,1,2,4.88
31.0,34.375,2012,1,2,5.56
31.0,35.0,2012,1,2,5.16
31.0,35.625,2012,1,2,4.66
31.5,34.375,2012,1,2,4.26
31.5,35.0,2012,1,2,4.25
31.5,35.625,2012,1,2,4.39
32.0,34.375,2012,1,2,5.14
32.0,35.0,2012,1,2,3.39
32.0,35.625,2012,1,2,4.12
32.5,34.375,2012,1,2,5.69
32.5,35.0,2012,1,2,3.72
32.5,35.625,2012,1,2,3.18
33.0,34.375,2012,1,2,6.07
33.0,35.0,2012,1,2,4.86
33.0,35.625,2012,1,2,3.05
29.5,34.375,2012,1,3,4.78
29.5,35.0,2012,1,3,4.84
29.5,35.625,2012,1,3,5.6
30.0,34.375,2012,1,3,5.94
30.0,35.0,2012,1,3,4.68
30.0,35.625,2012,1,3,6.2
30.5,34.375,2012,1,3,6.35
30.5,35.0,2012,1,3,6.23
30.5,35.625,2012,1,3,9.18
31.0,34.375,2012,1,3,3.7
31.0,35.0,2012,1,3,4.46
31.0,35.625,2012,1,3,5.54
31.5,34.375,2012,1,3,3.99
31.5,35.0,2012,1,3,3.89
31.5,35.625,2012,1,3,2.89
32.0,34.375,2012,1,3,3.62
32.0,35.0,2012,1,3,3.43
32.0,35.625,2012,1,3,3.23
32.5,34.375,2012,1,3,4.61
32.5,35.0,2012,1,3,4.07
32.5,35.625,2012,1,3,3.71
33.0,34.375,2012,1,3,3.98
33.0,35.0,2012,1,3,3.73
33.0,35.625,2012,1,3,4.84
29.5,34.375,2012,1,4,5.03
29.5,35.0,2012,1,4,7.28
29.5,35.625,2012,1,4,5.24
30.0,34.375,2012,1,4,5.83
30.0,35.0,2012,1,4,5.96
30.0,35.625,2012,1,4,7.02
30.5,34.375,2012,1,4,5.5
30.5,35.0,2012,1,4,5.1
30.5,35.625,2012,1,4,8.84
31.0,34.375,2012,1,4,4.95
31.0,35.0,2012,1,4,5.19
31.0,35.625,2012,1,4,7.71
31.5,34.375,2012,1,4,4.76
31.5,35.0,2012,1,4,4.4
31.5,35.625,2012,1,4,6.16
32.0,34.375,2012,1,4,4.27
32.0,35.0,2012,1,4,3.84
32.0,35.625,2012,1,4,4.41
32.5,34.375,2012,1,4,3.23
32.5,35.0,2012,1,4,5.11
32.5,35.625,2012,1,4,4.75
33.0,34.375,2012,1,4,2.78
33.0,35.0,2012,1,4,4.93
33.0,35.625,2012,1,4,5.11
29.5,34.375,2012,1,5,8.19
29.5,35.0,2012,1,5,6.41
29.5,35.625,2012,1,5,4.72
30.0,34.375,2012,1,5,8.0
30.0,35.0,2012,1,5,5.81
30.0,35.625,2012,1,5,2.62
30.5,34.375,2012,1,5,5.46
30.5,35.0,2012,1,5,7.12
30.5,35.625,2012,1,5,7.09
31.0,34.375,2012,1,5,5.15
31.0,35.0,2012,1,5,7.57
31.0,35.625,2012,1,5,6.97
31.5,34.375,2012,1,5,6.39
31.5,35.0,2012,1,5,6.43
31.5,35.625,2012,1,5,3.65
32.0,34.375,2012,1,5,9.38
32.0,35.0,2012,1,5,5.5
32.0,35.625,2012,1,5,3.82
32.5,34.375,2012,1,5,9.18
32.5,35.0,2012,1,5,4.42
32.5,35.625,2012,1,5,3.79
33.0,34.375,2012,1,5,7.74
33.0,35.0,2012,1,5,4.75
33.0,35.625,2012,1,5,3.39
29.5,34.375,2012,1,6,5.18
29.5,35.0,2012,1,6,3.15
29.5,35.625,2012,1,6,5.89
30.0,34.375,2012,1,6,4.57
30.0,35.0,2012,1,6,3.21
30.0,35.625,2012,1,6,5.21
30.5,34.375,2012,1,6,4.65
30.5,35.0,2012,1,6,4.55
30.5,35.625,2012,1,6,3.52
31.0,34.375,2012,1,6,4.62
31.0,35.0,2012,1,6,4.7
31.0,35.625,2012,1,6,4.32
31.5,34.375,2012,1,6,4.89
31.5,35.0,2012,1,6,6.2
31.5,35.625,2012,1,6,4.95
32.0,34.375,2012,1,6,4.78
32.0,35.0,2012,1,6,5.02
32.0,35.625,2012,1,6,6.1
32.5,34.375,2012,1,6,3.18
32.5,35.0,2012,1,6,2.52
32.5,35.625,2012,1,6,4.75
