-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2013 through 12/31/2013 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
RH2M     MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
LAT,LON,YEAR,MO,DY,RH2M
29.5,34.375,2013,1,1,77.72
29.5,35.0,2013,1,1,63.51
29.5,35.625,2013,1,1,67.44
30.0,34.375,2013,1,1,83.21
30.0,35.0,2013,1,1,72.81
30.0,35.625,2013,1,1,74.65
30.5,34.375,2013,1,1,85.26
30.5,35.0,2013,1,1,75.58
30.5,35.625,2013,1,1,74.39
31.0,34.375,2013,1,1,84.75
31.0,35.0,2013,1,1,76.16
31.0,35.625,2013,1,1,68.89
31.5,34.375,2013,1,1,72.52
31.5,35.0,2013,1,1,76.91
31.5,35.625,2013,1,1,68.89
32.0,34.375,2013,1,1,66.89
32.0,35.0,2013,1,1,78.05
32.0,35.625,2013,1,1,71.68
32.5,34.375,2013,1,1,67.5
32.5,35.0,2013,1,1,74.74
32.5,35.625,2013,1,1,73.19
33.0,34.375,2013,1,1,67.43
33.0,35.0,2013,1,1,69.22
33.0,35.625,2013,1,1,68.61
29.5,34.375,2013,1,2,76.53
29.5,35.0,2013,1,2,74.99
29.5,35.625,2013,1,2,69.71
30.0,34.375,2013,1,2,77.86
30.0,35.0,2013,1,2,76.57
30.0,35.625,2013,1,2,76.96
30.5,34.375,2013,1,2,78.19
30.5,35.0,2013,1,2,78.52
30.5,35.625,2013,1,2,83.75
31.0,34.375,2013,1,2,72.37
31.0,35.0,2013,1,2,80.26
31.0,35.625,2013,1,2,79.6
31.5,34.375,2013,1,2,63.58
31.5,35.0,2013,1,2,80.68
31.5,35.625,2013,1,2,78.04
32.0,34.375,2013,1,2,62.39
32.0,35.0,2013,1,2,76.19
32.0,35.625,2013,1,2,80.34
32.5,34.375,2013,1,2,62.98
32.5,35.0,2013,1,2,73.78
32.5,35.625,2013,1,2,83.18
33.0,34.375,2013,1,2,66.7
33.0,35.0,2013,1,2,70.81
33.0,35.625,2013,1,2,80.68
29.5,34.375,2013,1,3,66.16
29.5,35.0,2013,1,3,62.43
29.5,35.625,2013,1,3,69.08
30.0,34.375,2013,1,3,69.44
30.0,35.0,2013,1,3,62.97
30.0,35.625,2013,1,3,70.98
30.5,34.375,2013,1,3,75.42
30.5,35.0,2013,1,3,65.79
30.5,35.625,2013,1,3,72.05
31.0,34.375,2013,1,3,79.75
31.0,35.0,2013,1,3,71.08
31.0,35.625,2013,1,3,65.72
31.5,34.375,2013,1,3,68.12
31.5,35.0,2013,1,3,74.89
31.5,35.625,2013,1,3,64.01
32.0,34.375,2013,1,3,64.09
32.0,35.0,2013,1,3,77.2
32.0,35.625,2013,1,3,67.64
32.5,34.375,2013,1,3,64.01
32.5,35.0,2013,1,3,74.73
32.5,35.625,2013,1,3,74.12
33.0,34.375,2013,1,3,63.55
33.0,35.0,2013,1,3,69.4
33.0,35.625,2013,1,3,78.49
29.5,34.375,2013,1,4,55.39
29.5,35.0,2013,1,4,51.68
29.5,35.625,2013,1,4,58.76
30.0,34.375,2013,1,4,60.02
30.0,35.0,2013,1,4,50.59
30.0,35.625,2013,1,4,61.59
30.5,34.375,2013,1,4,61.06
30.5,35.0,2013,1,4,53.48
30.5,35.625,2013,1,4,60.01
31.0,34.375,2013,1,4,66.45
31.0,35.0,2013,1,4,61.61
31.0,35.625,2013,1,4,53.36
31.5,34.375,2013,1,4,68.69
31.5,35.0,2013,1,4,65.52
31.5,35.625,2013,1,4,57.86
32.0,34.375,2013,1,4,64.38
32.0,35.0,2013,1,4,71.81
32.0,35.625,2013,1,4,62.92
32.5,34.375,2013,1,4,64.91
32.5,35.0,2013,1,4,70.73
32.5,35.625,2013,1,4,66.87
33.0,34.375,2013,1,4,66.3
33.0,35.0,2013,1,4,67.04
33.0,35.625,2013,1,4,71.48
29.5,34.375,2013,1,5,76.46
29.5,35.0,2013,1,5,72.98
29.5,35.625,2013,1,5,76.99
30.0,34.375,2013,1,5,75.05
30.0,35.0,2013,1,5,74.89
30.0,35.625,2013,1,5,84.4
30.5,34.375,2013,1,5,77.42
30.5,35.0,2013,1,5,75.39
30.5,35.625,2013,1,5,88.58
31.0,34.375,2013,1,5,82.4
31.0,35.0,2013,1,5,82.39
31.0,35.625,2013,1,5,85.75
31.5,34.375,2013,1,5,77.42
31.5,35.0,2013,1,5,86.01
31.5,35.625,2013,1,5,83.21
32.0,34.375,2013,1,5,73.54
32.0,35.0,2013,1,5,84.33
32.0,35.625,2013,1,5,84.44
32.5,34.375,2013,1,5,73.72
32.5,35.0,2013,1,5,82.41
32.5,35.625,2013,1,5,87.86
33.0,34.375,2013,1,5,72.71
33.0,35.0,2013,1,5,79.44
33.0,35.625,2013,1,5,91.98
29.5,34.375,2013,1,6,74.01
29.5,35.0,2013,1,6,66.81
29.5,35.625,2013,1,6,73.76
30.0,34.375,2013,1,6,69.09
30.0,35.0,2013,1,6,65.49
30.0,35.625,2013,1,6,79.14
30.5,34.375,2013,1,6,66.93
30.5,35.0,2013,1,6,66.23
30.5,35.625,2013,1,6,79.22
31.0,34.375,2013,1,6,63.74
31.0,35.0,2013,1,6,68.61
31.0,35.625,2013,1,6,70.75
31.5,34.375,2013,1,6,69.55
31.5,35.0,2013,1,6,71.22
31.5,35.625,2013,1,6,67.61
32.0,34.375,2013,1,6,72.69
32.0,35.0,2013,1,6,76.21
32.0,35.625,2013,1,6,74.35
32.5,34.375,2013,1,6,74.34
32.5,35.0,2013,1,6,81.0
32.5,35.625,2013,1,6,85.11
33.0,34.375,2013,1,6,75.18
33.0,35.0,2013,1,6,80.96
33.0,35.625,2013,1,6,94.57
29.5,34.375,2013,1,7,72.67
29.5,35.0,2013,1,7,68.35
29.5,35.625,2013,1,7,75.3
30.0,34.375,2013,1,7,67.06
30.0,35.0,2013,1,7,65.6
30.0,35.625,2013,1,7,82.52
30.5,34.375,2013,1,7,66.1
30.5,35.0,2013,1,7,66.64
30.5,35.625,2013,1,7,84.29
31.0,34.375,2013,1,7,67.59
31.0,35.0,2013,1,7,70.75
31.0,35.625,2013,1,7,79.06
31.5,34.375,2013,1,7,71.84
31.5,35.0,2013,1,7,76.42
31.5,35.625,2013,1,7,72.8
32.0,34.375,2013,1,7,72.61
32.0,35.0,2013,1,7,78.38
32.0,35.625,2013,1,7,75.8
32.5,34.375,2013,1,7,72.51
32.5,35.0,2013,1,7,76.88
32.5,35.625,2013,1,7,81.75
33.0,34.375,2013,1,7,73.46
33.0,35.0,2013,1,7,76.46
33.0,35.625,2013,1,7,88.34
29.5,34.375,2013,1,8,70.6
29.5,35.0,2013,1,8,66.77
29.5,35.625,2013,1,8,70.61
30.0,34.375,2013,1,8,66.2
30.0,35.0,2013,1,8,66.11
30.0,35.625,2013,1,8,78.0
30.5,34.375,2013,1,8,67.37
30.5,35.0,2013,1,8,67.25
30.5,35.625,2013,1,8,81.73
31.0,34.375,2013,1,8,68.1
31.0,35.0,2013,1,8,71.06
31.0,35.625,2013,1,8,75.19
31.5,34.375,2013,1,8,75.97
31.5,35.0,2013,1,8,79.68
31.5,35.625,2013,1,8,71.62
32.0,34.375,2013,1,8,77.05
32.0,35.0,2013,1,8,86.52
32.0,35.625,2013,1,8,80.1
32.5,34.375,2013,1,8,76.28
32.5,35.0,2013,1,8,84.69
32.5,35.625,2013,1,8,89.85
33.0,34.375,2013,1,8,76.01
33.0,35.0,2013,1,8,82.33
33.0,35.625,2013,1,8,94.31
29.5,34.375,2013,1,9,70.72
29.5,35.0,2013,1,9,72.34
29.5,35.625,2013,1,9,78.42
30.0,34.375,2013,1,9,71.6
30.0,35.0,2013,1,9,72.63
30.0,35.625,2013,1,9,83.82
30.5,34.375,2013,1,9,72.44
30.5,35.0,2013,1,9,73.65
30.5,35.625,2013,1,9,87.39
31.0,34.375,2013,1,9,66.94
31.0,35.0,2013,1,9,72.83
31.0,35.625,2013,1,9,81.31
31.5,34.375,2013,1,9,67.17
31.5,35.0,2013,1,9,76.16
31.5,35.625,2013,1,9,75.41
32.0,34.375,2013,1,9,69.97
32.0,35.0,2013,1,9,79.42
32.0,35.625,2013,1,9,81.55
32.5,34.375,2013,1,9,69.35
32.5,35.0,2013,1,9,73.79
32.5,35.625,2013,1,9,84.87
33.0,34.375,2013,1,9,66.26
33.0,35.0,2013,1,9,69.6
33.0,35.625,2013,1,9,84.73
29.5,34.375,2013,1,10,63.9
29.5,35.0,2013,1,10,70.15
29.5,35.625,2013,1,10,79.64
30.0,34.375,2013,1,10,66.94
30.0,35.0,2013,1,10,72.43
30.0,35.625,2013,1,10,87.37
30.5,34.375,2013,1,10,74.42
30.5,35.0,2013,1,10,76.69
30.5,35.625,2013,1,10,90.25
31.0,34.375,2013,1,10,72.78
31.0,35.0,2013,1,10,76.18
31.0,35.625,2013,1,10,85.53
31.5,34.375,2013,1,10,67.65
31.5,35.0,2013,1,10,81.89
31.5,35.625,2013,1,10,80.52
32.0,34.375,2013,1,10,68.04
32.0,35.0,2013,1,10,79.06
32.0,35.625,2013,1,10,80.35
32.5,34.375,2013,1,10,64.67
32.5,35.0,2013,1,10,69.43
32.5,35.625,2013,1,10,79.99
33.0,34.375,2013,1,10,61.67
33.0,35.0,2013,1,10,64.68
33.0,35.625,2013,1,10,75.83
29.5,34.375,2013,1,11,50.58
29.5,35.0,2013,1,11,53.39
29.5,35.625,2013,1,11,63.96
30.0,34.375,2013,1,11,55.65
30.0,35.0,2013,1,11,57.42
30.0,35.625,2013,1,11,69.45
30.5,34.375,2013,1,11,59.73
30.5,35.0,2013,1,11,59.95
30.5,35.625,2013,1,11,69.62
31.0,34.375,2013,1,11,59.87
31.0,35.0,2013,1,11,63.3
31.0,35.625,2013,1,11,63.58
31.5,34.375,2013,1,11,61.57
31.5,35.0,2013,1,11,70.98
31.5,35.625,2013,1,11,66.05
32.0,34.375,2013,1,11,62.2
32.0,35.0,2013,1,11,73.02
32.0,35.625,2013,1,11,75.72
32.5,34.375,2013,1,11,63.76
32.5,35.0,2013,1,11,73.48
32.5,35.625,2013,1,11,80.35
33.0,34.375,2013,1,11,64.95
33.0,35.0,2013,1,11,74.04
33.0,35.625,2013,1,11,85.99
29.5,34.375,2013,1,12,44.9
29.5,35.0,2013,1,12,47.22
29.5,35.625,2013,1,12,52.99
30.0,34.375,2013,1,12,52.68
30.0,35.0,2013,1,12,48.43
30.0,35.625,2013,1,12,58.56
30.5,34.375,2013,1,12,52.44
30.5,35.0,2013,1,12,49.96
30.5,35.625,2013,1,12,55.32
31.0,34.375,2013,1,12,51.2
31.0,35.0,2013,1,12,54.5
31.0,35.625,2013,1,12,50.27
31.5,34.375,2013,1,12,48.17
31.5,35.0,2013,1,12,59.72
31.5,35.625,2013,1,12,55.84
32.0,34.375,2013,1,12,46.89
32.0,35.0,2013,1,12,69.58
32.0,35.625,2013,1,12,64.68
32.5,34.375,2013,1,12,53.08
32.5,35.0,2013,1,12,70.91
32.5,35.625,2013,1,12,69.76
33.0,34.375,2013,1,12,58.67
33.0,35.0,2013,1,12,68.98
33.0,35.625,2013,1,12,70.54
29.5,34.375,2013,1,13,61.0
29.5,35.0,2013,1,13,55.0
29.5,35.625,2013,1,13,54.95
30.0,34.375,2013,1,13,62.02
30.0,35.0,2013,1,13,56.48
30.0,35.625,2013,1,13,61.2
30.5,34.375,2013,1,13,64.87
30.5,35.0,2013,1,13,59.24
30.5,35.625,2013,1,13,59.87
31.0,34.375,2013,1,13,64.37
31.0,35.0,2013,1,13,64.2
31.0,35.625,2013,1,13,51.41
31.5,34.375,2013,1,13,56.13
31.5,35.0,2013,1,13,68.72
31.5,35.625,2013,1,13,53.25
32.0,34.375,2013,1,13,58.29
32.0,35.0,2013,1,13,69.36
32.0,35.625,2013,1,13,58.75
32.5,34.375,2013,1,13,60.51
32.5,35.0,2013,1,13,63.6
32.5,35.625,2013,1,13,64.06
33.0,34.375,2013,1,13,64.33
33.0,35.0,2013,1,13,61.71
33.0,35.625,2013,1,13,62.63
29.5,34.375,2013,1,14,61.71
29.5,35.0,2013,1,14,50.39
29.5,35.625,2013,1,14,51.23
30.0,34.375,2013,1,14,66.62
30.0,35.0,2013,1,14,53.79
30.0,35.625,2013,1,14,57.52
30.5,34.375,2013,1,14,69.9
30.5,35.0,2013,1,14,58.64
30.5,35.625,2013,1,14,56.83
31.0,34.375,2013,1,14,73.34
31.0,35.0,2013,1,14,61.38
31.0,35.625,2013,1,14,51.85
31.5,34.375,2013,1,14,67.33
31.5,35.0,2013,1,14,66.07
31.5,35.625,2013,1,14,53.02
32.0,34.375,2013,1,14,63.2
32.0,35.0,2013,1,14,67.36
32.0,35.625,2013,1,14,55.83
32.5,34.375,2013,1,14,63.88
32.5,35.0,2013,1,14,71.27
32.5,35.625,2013,1,14,63.79
33.0,34.375,2013,1,14,64.44
33.0,35.0,2013,1,14,66.95
33.0,35.625,2013,1,14,69.94
29.5,34.375,2013,1,15,45.04
29.5,35.0,2013,1,15,37.68
29.5,35.625,2013,1,15,40.49
30.0,34.375,2013,1,15,45.7
30.0,35.0,2013,1,15,38.01
30.0,35.625,2013,1,15,43.27
30.5,34.375,2013,1,15,45.13
30.5,35.0,2013,1,15,42.47
30.5,35.625,2013,1,15,40.25
31.0,34.375,2013,1,15,47.53
31.0,35.0,2013,1,15,50.02
31.0,35.625,2013,1,15,38.71
31.5,34.375,2013,1,15,62.27
31.5,35.0,2013,1,15,53.14
31.5,35.625,2013,1,15,47.98
32.0,34.375,2013,1,15,57.4
32.0,35.0,2013,1,15,63.97
32.0,35.625,2013,1,15,57.72
32.5,34.375,2013,1,15,57.89
32.5,35.0,2013,1,15,66.92
32.5,35.625,2013,1,15,65.36
33.0,34.375,2013,1,15,61.55
33.0,35.0,2013,1,15,63.17
33.0,35.625,2013,1,15,68.95
29.5,34.375,2013,1,16,45.21
29.5,35.0,2013,1,16,38.79
29.5,35.625,2013,1,16,39.48
