-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2014 through 12/31/2014 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_RANGE     MERRA-2 Temperature at 2 Meters Range (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_RANGE
29.5,34.375,2014,1,1,11.22
29.5,35.0,2014,1,1,12.23
29.5,35.625,2014,1,1,11.08
30.0,34.375,2014,1,1,10.98
30.0,35.0,2014,1,1,12.52
30.0,35.625,2014,1,1,9.71
30.5,34.375,2014,1,1,11.88
30.5,35.0,2014,1,1,11.92
30.5,35.625,2014,1,1,9.91
31.0,34.375,2014,1,1,12.71
31.0,35.0,2014,1,1,10.55
31.0,35.625,2014,1,1,13.04
31.5,34.375,2014,1,1,7.65
31.5,35.0,2014,1,1,10.31
31.5,35.625,2014,1,1,11.44
32.0,34.375,2014,1,1,2.01
32.0,35.0,2014,1,1,9.59
32.0,35.625,2014,1,1,10.8
32.5,34.375,2014,1,1,1.4
32.5,35.0,2014,1,1,7.39
32.5,35.625,2014,1,1,13.11
33.0,34.375,2014,1,1,0.85
33.0,35.0,2014,1,1,4.17
33.0,35.625,2014,1,1,14.43
29.5,34.375,2014,1,2,12.5
29.5,35.0,2014,1,2,13.74
29.5,35.625,2014,1,2,15.16
30.0,34.375,2014,1,2,13.5
30.0,35.0,2014,1,2,13.64
30.0,35.625,2014,1,2,14.11
30.5,34.375,2014,1,2,13.11
30.5,35.0,2014,1,2,13.0
30.5,35.625,2014,1,2,12.47
31.0,34.375,2014,1,2,12.98
31.0,35.0,2014,1,2,12.41
31.0,35.625,2014,1,2,13.85
31.5,34.375,2014,1,2,7.11
31.5,35.0,2014,1,2,13.2
31.5,35.625,2014,1,2,13.16
32.0,34.375,2014,1,2,1.78
32.0,35.0,2014,1,2,12.86
32.0,35.625,2014,1,2,13.77
32.5,34.375,2014,1,2,1.5
32.5,35.0,2014,1,2,10.24
32.5,35.625,2014,1,2,15.31
33.0,34.375,2014,1,2,1.52
33.0,35.0,2014,1,2,6.73
33.0,35.625,2014,1,2,13.1
29.5,34.375,2014,1,3,13.83
29.5,35.0,2014,1,3,13.97
29.5,35.625,2014,1,3,16.7
30.0,34.375,2014,1,3,14.05
30.0,35.0,2014,1,3,14.23
30.0,35.625,2014,1,3,14.89
30.5,34.375,2014,1,3,13.82
30.5,35.0,2014,1,3,13.63
30.5,35.625,2014,1,3,12.74
31.0,34.375,2014,1,3,13.26
31.0,35.0,2014,1,3,13.63
31.0,35.625,2014,1,3,13.47
31.5,34.375,2014,1,3,8.52
31.5,35.0,2014,1,3,13.22
31.5,35.625,2014,1,3,14.22
32.0,34.375,2014,1,3,1.68
32.0,35.0,2014,1,3,12.55
32.0,35.625,2014,1,3,13.65
32.5,34.375,2014,1,3,1.66
32.5,35.0,2014,1,3,9.43
32.5,35.625,2014,1,3,13.52
33.0,34.375,2014,1,3,2.0
33.0,35.0,2014,1,3,7.04
33.0,35.625,2014,1,3,11.03
29.5,34.375,2014,1,4,7.74
29.5,35.0,2014,1,4,11.4
29.5,35.625,2014,1,4,13.04
30.0,34.375,2014,1,4,8.65
30.0,35.0,2014,1,4,12.68
30.0,35.625,2014,1,4,11.67
30.5,34.375,2014,1,4,8.99
30.5,35.0,2014,1,4,12.52
30.5,35.625,2014,1,4,11.05
31.0,34.375,2014,1,4,8.87
31.0,35.0,2014,1,4,12.76
31.0,35.625,2014,1,4,12.46
31.5,34.375,2014,1,4,4.2
31.5,35.0,2014,1,4,12.33
31.5,35.625,2014,1,4,12.25
32.0,34.375,2014,1,4,2.79
32.0,35.0,2014,1,4,10.89
32.0,35.625,2014,1,4,11.74
32.5,34.375,2014,1,4,2.67
32.5,35.0,2014,1,4,9.88
32.5,35.625,2014,1,4,13.34
33.0,34.375,2014,1,4,2.29
33.0,35.0,2014,1,4,7.33
33.0,35.625,2014,1,4,10.38
29.5,34.375,2014,1,5,10.63
29.5,35.0,2014,1,5,10.43
29.5,35.625,2014,1,5,10.02
30.0,34.375,2014,1,5,11.11
30.0,35.0,2014,1,5,10.93
30.0,35.625,2014,1,5,9.17
30.5,34.375,2014,1,5,11.04
30.5,35.0,2014,1,5,10.85
30.5,35.625,2014,1,5,9.61
31.0,34.375,2014,1,5,11.17
31.0,35.0,2014,1,5,10.51
31.0,35.625,2014,1,5,10.83
31.5,34.375,2014,1,5,6.62
31.5,35.0,2014,1,5,9.48
31.5,35.625,2014,1,5,8.86
32.0,34.375,2014,1,5,2.33
32.0,35.0,2014,1,5,9.49
32.0,35.625,2014,1,5,10.71
32.5,34.375,2014,1,5,1.91
32.5,35.0,2014,1,5,8.4
32.5,35.625,2014,1,5,12.75
33.0,34.375,2014,1,5,2.12
33.0,35.0,2014,1,5,5.68
33.0,35.625,2014,1,5,10.02
29.5,34.375,2014,1,6,14.13
29.5,35.0,2014,1,6,13.88
29.5,35.625,2014,1,6,10.99
30.0,34.375,2014,1,6,14.19
30.0,35.0,2014,1,6,14.17
30.0,35.625,2014,1,6,12.01
30.5,34.375,2014,1,6,12.78
30.5,35.0,2014,1,6,12.79
30.5,35.625,2014,1,6,12.56
31.0,34.375,2014,1,6,12.58
31.0,35.0,2014,1,6,12.76
31.0,35.625,2014,1,6,13.02
31.5,34.375,2014,1,6,8.01
31.5,35.0,2014,1,6,12.79
31.5,35.625,2014,1,6,11.28
32.0,34.375,2014,1,6,1.25
32.0,35.0,2014,1,6,9.23
32.0,35.625,2014,1,6,12.87
32.5,34.375,2014,1,6,1.16
32.5,35.0,2014,1,6,7.93
32.5,35.625,2014,1,6,14.47
33.0,34.375,2014,1,6,1.0
