-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2014 through 12/31/2014 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_UVA     CERES SYN1deg All Sky Surface UVA Irradiance (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_UVA
29.5,34.5,2014,1,1,0.17
29.5,35.5,2014,1,1,0.18
30.5,34.5,2014,1,1,0.18
30.5,35.5,2014,1,1,0.18
31.5,34.5,2014,1,1,0.16
31.5,35.5,2014,1,1,0.17
32.5,34.5,2014,1,1,0.15
32.5,35.5,2014,1,1,0.15
29.5,34.5,2014,1,2,0.2
29.5,35.5,2014,1,2,0.22
30.5,34.5,2014,1,2,0.18
30.5,35.5,2014,1,2,0.2
31.5,34.5,2014,1,2,0.17
31.5,35.5,2014,1,2,0.18
32.5,34.5,2014,1,2,0.16
32.5,35.5,2014,1,2,0.17
29.5,34.5,2014,1,3,0.21
29.5,35.5,2014,1,3,0.22
30.5,34.5,2014,1,3,0.18
30.5,35.5,2014,1,3,0.2
31.5,34.5,2014,1,3,0.16
31.5,35.5,2014,1,3,0.18
32.5,34.5,2014,1,3,0.15
32.5,35.5,2014,1,3,0.16
29.5,34.5,2014,1,4,0.17
29.5,35.5,2014,1,4,0.16
30.5,34.5,2014,1,4,0.18
30.5,35.5,2014,1,4,0.18
31.5,34.5,2014,1,4,0.16
31.5,35.5,2014,1,4,0.18
32.5,34.5,2014,1,4,0.15
32.5,35.5,2014,1,4,0.15
29.5,34.5,2014,1,5,0.17
29.5,35.5,2014,1,5,0.11
30.5,34.5,2014,1,5,0.18
30.5,35.5,2014,1,5,0.14
31.5,34.5,2014,1,5,0.16
31.5,35.5,2014,1,5,0.17
32.5,34.5,2014,1,5,0.16
32.5,35.5,2014,1,5,0.17
29.5,34.5,2014,1,6,0.22
29.5,35.5,2014,1,6,0.22
30.5,34.5,2014,1,6,0.2
30.5,35.5,2014,1,6,0.21
31.5,34.5,2014,1,6,0.18
31.5,35.5,2014,1,6,0.19
32.5,34.5,2014,1,6,0.18
32.5,35.5,2014,1,6,0.17
29.5,34.5,2014,1,7,0.19
29.5,35.5,2014,1,7,0.2
30.5,34.5,2014,1,7,0.18
30.5,35.5,2014,1,7,0.19
31.5,34.5,2014,1,7,0.17
31.5,35.5,2014,1,7,0.18
32.5,34.5,2014,1,7,0.15
32.5,35.5,2014,1,7,0.16
29.5,34.5,2014,1,8,0.21
29.5,35.5,2014,1,8,0.22
30.5,34.5,2014,1,8,0.2
30.5,35.5,2014,1,8,0.21
31.5,34.5,2014,1,8,0.17
31.5,35.5,2014,1,8,0.19
32.5,34.5,2014,1,8,0.18
32.5,35.5,2014,1,8,0.18
29.5,34.5,2014,1,9,0.18
29.5,35.5,2014,1,9,0.21
30.5,34.5,2014,1,9,0.17
30.5,35.5,2014,1,9,0.2
31.5,34.5,2014,1,9,0.16
31.5,35.5,2014,1,9,0.18
32.5,34.5,2014,1,9,0.15
32.5,35.5,2014,1,9,0.13
29.5,34.5,2014,1,10,0.12
29.5,35.5,2014,1,10,0.1
30.5,34.5,2014,1,10,0.14
30.5,35.5,2014,1,10,0.11
31.5,34.5,2014,1,10,0.13
31.5,35.5,2014,1,10,0.1
32.5,34.5,2014,1,10,0.13
32.5,35.5,2014,1,10,0.08
29.5,34.5,2014,1,11,0.17
29.5,35.5,2014,1,11,0.18
30.5,34.5,2014,1,11,0.17
30.5,35.5,2014,1,11,0.12
31.5,34.5,2014,1,11,0.17
31.5,35.5,2014,1,11,0.14
32.5,34.5,2014,1,11,0.18
32.5,35.5,2014,1,11,0.17
29.5,34.5,2014,1,12,0.22
29.5,35.5,2014,1,12,0.21
30.5,34.5,2014,1,12,0.19
30.5,35.5,2014,1,12,0.18
31.5,34.5,2014,1,12,0.15
31.5,35.5,2014,1,12,0.15
32.5,34.5,2014,1,12,0.11
32.5,35.5,2014,1,12,0.09
29.5,34.5,2014,1,13,0.21
29.5,35.5,2014,1,13,0.22
30.5,34.5,2014,1,13,0.2
30.5,35.5,2014,1,13,0.2
31.5,34.5,2014,1,13,0.17
31.5,35.5,2014,1,13,0.18
32.5,34.5,2014,1,13,0.15
32.5,35.5,2014,1,13,0.14
29.5,34.5,2014,1,14,0.2
29.5,35.5,2014,1,14,0.2
30.5,34.5,2014,1,14,0.17
30.5,35.5,2014,1,14,0.16
31.5,34.5,2014,1,14,0.15
31.5,35.5,2014,1,14,0.14
32.5,34.5,2014,1,14,0.14
32.5,35.5,2014,1,14,0.12
29.5,34.5,2014,1,15,0.22
29.5,35.5,2014,1,15,0.23
30.5,34.5,2014,1,15,0.2
30.5,35.5,2014,1,15,0.22
31.5,34.5,2014,1,15,0.18
31.5,35.5,2014,1,15,0.2
32.5,34.5,2014,1,15,0.19
32.5,35.5,2014,1,15,0.19
29.5,34.5,2014,1,16,0.23
29.5,35.5,2014,1,16,0.23
30.5,34.5,2014,1,16,0.22
30.5,35.5,2014,1,16,0.22
31.5,34.5,2014,1,16,0.17
31.5,35.5,2014,1,16,0.19
32.5,34.5,2014,1,16,0.19
32.5,35.5,2014,1,16,0.18
29.5,34.5,2014,1,17,0.23
29.5,35.5,2014,1,17,0.23
30.5,34.5,2014,1,17,0.21
30.5,35.5,2014,1,17,0.22
31.5,34.5,2014,1,17,0.17
31.5,35.5,2014,1,17,0.19
32.5,34.5,2014,1,17,0.18
32.5,35.5,2014,1,17,0.18
29.5,34.5,2014,1,18,0.23
29.5,35.5,2014,1,18,0.23
30.5,34.5,2014,1,18,0.22
30.5,35.5,2014,1,18,0.22
31.5,34.5,2014,1,18,0.19
31.5,35.5,2014,1,18,0.2
32.5,34.5,2014,1,18,0.19
32.5,35.5,2014,1,18,0.2
29.5,34.5,2014,1,19,0.22
29.5,35.5,2014,1,19,0.22
30.5,34.5,2014,1,19,0.2
30.5,35.5,2014,1,19,0.21
31.5,34.5,2014,1,19,0.18
31.5,35.5,2014,1,19,0.18
32.5,34.5,2014,1,19,0.18
32.5,35.5,2014,1,19,0.18
29.5,34.5,2014,1,20,0.23
29.5,35.5,2014,1,20,0.24
30.5,34.5,2014,1,20,0.22
30.5,35.5,2014,1,20,0.22
31.5,34.5,2014,1,20,0.19
31.5,35.5,2014,1,20,0.19
32.5,34.5,2014,1,20,0.2
32.5,35.5,2014,1,20,0.19
29.5,34.5,2014,1,21,0.22
29.5,35.5,2014,1,21,0.23
30.5,34.5,2014,1,21,0.21
30.5,35.5,2014,1,21,0.22
31.5,34.5,2014,1,21,0.2
31.5,35.5,2014,1,21,0.2
32.5,34.5,2014,1,21,0.2
32.5,35.5,2014,1,21,0.2
29.5,34.5,2014,1,22,0.22
29.5,35.5,2014,1,22,0.22
30.5,34.5,2014,1,22,0.18
30.5,35.5,2014,1,22,0.19
31.5,34.5,2014,1,22,0.17
31.5,35.5,2014,1,22,0.18
32.5,34.5,2014,1,22,0.17
32.5,35.5,2014,1,22,0.18
29.5,34.5,2014,1,23,0.23
29.5,35.5,2014,1,23,0.24
30.5,34.5,2014,1,23,0.21
30.5,35.5,2014,1,23,0.23
31.5,34.5,2014,1,23,0.18
31.5,35.5,2014,1,23,0.22
32.5,34.5,2014,1,23,0.17
32.5,35.5,2014,1,23,0.16
29.5,34.5,2014,1,24,0.25
29.5,35.5,2014,1,24,0.25
30.5,34.5,2014,1,24,0.24
30.5,35.5,2014,1,24,0.24
31.5,34.5,2014,1,24,0.21
31.5,35.5,2014,1,24,0.22
32.5,34.5,2014,1,24,0.19
32.5,35.5,2014,1,24,0.2
29.5,34.5,2014,1,25,0.25
29.5,35.5,2014,1,25,0.25
30.5,34.5,2014,1,25,0.23
30.5,35.5,2014,1,25,0.23
31.5,34.5,2014,1,25,0.2
31.5,35.5,2014,1,25,0.22
32.5,34.5,2014,1,25,0.18
32.5,35.5,2014,1,25,0.19
29.5,34.5,2014,1,26,0.14
29.5,35.5,2014,1,26,0.2
30.5,34.5,2014,1,26,0.13
30.5,35.5,2014,1,26,0.14
31.5,34.5,2014,1,26,0.11
31.5,35.5,2014,1,26,0.11
32.5,34.5,2014,1,26,0.11
32.5,35.5,2014,1,26,0.1
29.5,34.5,2014,1,27,0.19
29.5,35.5,2014,1,27,0.2
30.5,34.5,2014,1,27,0.16
30.5,35.5,2014,1,27,0.17
31.5,34.5,2014,1,27,0.14
31.5,35.5,2014,1,27,0.15
32.5,34.5,2014,1,27,0.13
32.5,35.5,2014,1,27,0.12
29.5,34.5,2014,1,28,0.23
29.5,35.5,2014,1,28,0.23
30.5,34.5,2014,1,28,0.21
30.5,35.5,2014,1,28,0.21
31.5,34.5,2014,1,28,0.19
31.5,35.5,2014,1,28,0.17
32.5,34.5,2014,1,28,0.16
32.5,35.5,2014,1,28,0.09
29.5,34.5,2014,1,29,0.25
29.5,35.5,2014,1,29,0.26
30.5,34.5,2014,1,29,0.24
30.5,35.5,2014,1,29,0.25
31.5,34.5,2014,1,29,0.21
31.5,35.5,2014,1,29,0.23
32.5,34.5,2014,1,29,0.22
32.5,35.5,2014,1,29,0.22
29.5,34.5,2014,1,30,0.26
29.5,35.5,2014,1,30,0.26
30.5,34.5,2014,1,30,0.24
30.5,35.5,2014,1,30,0.25
31.5,34.5,2014,1,30,0.21
31.5,35.5,2014,1,30,0.23
32.5,34.5,2014,1,30,0.2
32.5,35.5,2014,1,30,0.21
29.5,34.5,2014,1,31,0.24
29.5,35.5,2014,1,31,0.26
30.5,34.5,2014,1,31,0.24
30.5,35.5,2014,1,31,0.24
31.5,34.5,2014,1,31,0.2
31.5,35.5,2014,1,31,0.22
32.5,34.5,2014,1,31,0.21
32.5,35.5,2014,1,31,0.21
29.5,34.5,2014,2,1,0.25
29.5,35.5,2014,2,1,0.25
30.5,34.5,2014,2,1,0.24
30.5,35.5,2014,2,1,0.24
31.5,34.5,2014,2,1,0.21
31.5,35.5,2014,2,1,0.22
32.5,34.5,2014,2,1,0.21
32.5,35.5,2014,2,1,0.22
29.5,34.5,2014,2,2,0.19
29.5,35.5,2014,2,2,0.21
30.5,34.5,2014,2,2,0.11
30.5,35.5,2014,2,2,0.12
31.5,34.5,2014,2,2,0.1
31.5,35.5,2014,2,2,0.08
32.5,34.5,2014,2,2,0.08
32.5,35.5,2014,2,2,0.1
29.5,34.5,2014,2,3,0.21
29.5,35.5,2014,2,3,0.23
30.5,34.5,2014,2,3,0.23
30.5,35.5,2014,2,3,0.2
31.5,34.5,2014,2,3,0.21
31.5,35.5,2014,2,3,0.19
32.5,34.5,2014,2,3,0.19
32.5,35.5,2014,2,3,0.15
29.5,34.5,2014,2,4,0.24
29.5,35.5,2014,2,4,0.23
30.5,34.5,2014,2,4,0.2
30.5,35.5,2014,2,4,0.18
31.5,34.5,2014,2,4,0.12
31.5,35.5,2014,2,4,0.14
32.5,34.5,2014,2,4,0.13
32.5,35.5,2014,2,4,0.16
29.5,34.5,2014,2,5,0.26
29.5,35.5,2014,2,5,0.27
30.5,34.5,2014,2,5,0.26
30.5,35.5,2014,2,5,0.27
31.5,34.5,2014,2,5,0.23
31.5,35.5,2014,2,5,0.24
32.5,34.5,2014,2,5,0.23
32.5,35.5,2014,2,5,0.24
29.5,34.5,2014,2,6,0.23
29.5,35.5,2014,2,6,0.26
30.5,34.5,2014,2,6,0.22
30.5,35.5,2014,2,6,0.25
31.5,34.5,2014,2,6,0.18
31.5,35.5,2014,2,6,0.22
32.5,34.5,2014,2,6,0.22
32.5,35.5,2014,2,6,0.23
29.5,34.5,2014,2,7,0.27
29.5,35.5,2014,2,7,0.28
30.5,34.5,2014,2,7,0.25
30.5,35.5,2014,2,7,0.26
31.5,34.5,2014,2,7,0.22
31.5,35.5,2014,2,7,0.25
32.5,34.5,2014,2,7,0.21
32.5,35.5,2014,2,7,0.23
29.5,34.5,2014,2,8,0.28
29.5,35.5,2014,2,8,0.28
30.5,34.5,2014,2,8,0.26
30.5,35.5,2014,2,8,0.27
31.5,34.5,2014,2,8,0.23
31.5,35.5,2014,2,8,0.25
32.5,34.5,2014,2,8,0.22
32.5,35.5,2014,2,8,0.24
29.5,34.5,2014,2,9,0.29
29.5,35.5,2014,2,9,0.29
30.5,34.5,2014,2,9,0.27
30.5,35.5,2014,2,9,0.28
31.5,34.5,2014,2,9,0.24
31.5,35.5,2014,2,9,0.26
32.5,34.5,2014,2,9,0.25
32.5,35.5,2014,2,9,0.25
29.5,34.5,2014,2,10,0.29
29.5,35.5,2014,2,10,0.29
30.5,34.5,2014,2,10,0.27
30.5,35.5,2014,2,10,0.28
31.5,34.5,2014,2,10,0.24
31.5,35.5,2014,2,10,0.26
32.5,34.5,2014,2,10,0.25
32.5,35.5,2014,2,10,0.25
29.5,34.5,2014,2,11,0.3
29.5,35.5,2014,2,11,0.3
30.5,34.5,2014,2,11,0.27
30.5,35.5,2014,2,11,0.28
31.5,34.5,2014,2,11,0.26
31.5,35.5,2014,2,11,0.27
32.5,34.5,2014,2,11,0.25
32.5,35.5,2014,2,11,0.25
29.5,34.5,2014,2,12,0.29
29.5,35.5,2014,2,12,0.3
30.5,34.5,2014,2,12,0.28
30.5,35.5,2014,2,12,0.28
31.5,34.5,2014,2,12,0.24
31.5,35.5,2014,2,12,0.27
32.5,34.5,2014,2,12,0.26
32.5,35.5,2014,2,12,0.25
29.5,34.5,2014,2,13,0.28
29.5,35.5,2014,2,13,0.3
30.5,34.5,2014,2,13,0.26
30.5,35.5,2014,2,13,0.28
31.5,34.5,2014,2,13,0.24
31.5,35.5,2014,2,13,0.26
32.5,34.5,2014,2,13,0.25
32.5,35.5,2014,2,13,0.25
29.5,34.5,2014,2,14,0.27
29.5,35.5,2014,2,14,0.28
30.5,34.5,2014,2,14,0.24
30.5,35.5,2014,2,14,0.26
31.5,34.5,2014,2,14,0.2
31.5,35.5,2014,2,14,0.24
32.5,34.5,2014,2,14,0.2
32.5,35.5,2014,2,14,0.22
29.5,34.5,2014,2,15,0.21
29.5,35.5,2014,2,15,0.26
30.5,34.5,2014,2,15,0.16
30.5,35.5,2014,2,15,0.21
31.5,34.5,2014,2,15,0.16
31.5,35.5,2014,2,15,0.2
32.5,34.5,2014,2,15,0.18
32.5,35.5,2014,2,15,0.17
29.5,34.5,2014,2,16,0.18
29.5,35.5,2014,2,16,0.15
30.5,34.5,2014,2,16,0.21
30.5,35.5,2014,2,16,0.16
31.5,34.5,2014,2,16,0.21
31.5,35.5,2014,2,16,0.16
32.5,34.5,2014,2,16,0.22
32.5,35.5,2014,2,16,0.17
29.5,34.5,2014,2,17,0.29
29.5,35.5,2014,2,17,0.3
30.5,34.5,2014,2,17,0.27
30.5,35.5,2014,2,17,0.27
31.5,34.5,2014,2,17,0.23
31.5,35.5,2014,2,17,0.24
32.5,34.5,2014,2,17,0.25
32.5,35.5,2014,2,17,0.22
29.5,34.5,2014,2,18,0.3
29.5,35.5,2014,2,18,0.31
30.5,34.5,2014,2,18,0.29
30.5,35.5,2014,2,18,0.3
31.5,34.5,2014,2,18,0.27
31.5,35.5,2014,2,18,0.28
32.5,34.5,2014,2,18,0.27
32.5,35.5,2014,2,18,0.26
29.5,34.5,2014,2,19,0.31
29.5,35.5,2014,2,19,0.32
30.5,34.5,2014,2,19,0.3
30.5,35.5,2014,2,19,0.3
31.5,34.5,2014,2,19,0.27
31.5,35.5,2014,2,19,0.28
32.5,34.5,2014,2,19,0.28
32.5,35.5,2014,2,19,0.28
29.5,34.5,2014,2,20,0.32
29.5,35.5,2014,2,20,0.32
30.5,34.5,2014,2,20,0.29
30.5,35.5,2014,2,20,0.31
31.5,34.5,2014,2,20,0.27
31.5,35.5,2014,2,20,0.3
32.5,34.5,2014,2,20,0.27
32.5,35.5,2014,2,20,0.28
29.5,34.5,2014,2,21,0.26
29.5,35.5,2014,2,21,0.28
30.5,34.5,2014,2,21,0.25
30.5,35.5,2014,2,21,0.27
31.5,34.5,2014,2,21,0.25
31.5,35.5,2014,2,21,0.26
32.5,34.5,2014,2,21,0.26
32.5,35.5,2014,2,21,0.27
29.5,34.5,2014,2,22,0.3
29.5,35.5,2014,2,22,0.32
30.5,34.5,2014,2,22,0.27
30.5,35.5,2014,2,22,0.29
31.5,34.5,2014,2,22,0.26
31.5,35.5,2014,2,22,0.28
32.5,34.5,2014,2,22,0.26
32.5,35.5,2014,2,22,0.26
29.5,34.5,2014,2,23,0.29
29.5,35.5,2014,2,23,0.31
30.5,34.5,2014,2,23,0.26
30.5,35.5,2014,2,23,0.29
31.5,34.5,2014,2,23,0.24
31.5,35.5,2014,2,23,0.27
32.5,34.5,2014,2,23,0.24
32.5,35.5,2014,2,23,0.25
29.5,34.5,2014,2,24,0.29
29.5,35.5,2014,2,24,0.33
30.5,34.5,2014,2,24,0.25
30.5,35.5,2014,2,24,0.31
31.5,34.5,2014,2,24,0.23
31.5,35.5,2014,2,24,0.29
32.5,34.5,2014,2,24,0.24
32.5,35.5,2014,2,24,0.27
29.5,34.5,2014,2,25,0.33
29.5,35.5,2014,2,25,0.33
30.5,34.5,2014,2,25,0.3
30.5,35.5,2014,2,25,0.31
31.5,34.5,2014,2,25,0.26
31.5,35.5,2014,2,25,0.26
32.5,34.5,2014,2,25,0.25
32.5,35.5,2014,2,25,0.2
29.5,34.5,2014,2,26,0.34
29.5,35.5,2014,2,26,0.34
30.5,34.5,2014,2,26,0.31
30.5,35.5,2014,2,26,0.32
31.5,34.5,2014,2,26,0.26
31.5,35.5,2014,2,26,0.25
32.5,34.5,2014,2,26,0.29
32.5,35.5,2014,2,26,0.25
29.5,34.5,2014,2,27,0.32
29.5,35.5,2014,2,27,0.34
30.5,34.5,2014,2,27,0.28
30.5,35.5,2014,2,27,0.3
31.5,34.5,2014,2,27,0.24
31.5,35.5,2014,2,27,0.25
32.5,34.5,2014,2,27,0.25
32.5,35.5,2014,2,27,0.22
29.5,34.5,2014,2,28,0.34
29.5,35.5,2014,2,28,0.34
30.5,34.5,2014,2,28,0.33
30.5,35.5,2014,2,28,0.34
31.5,34.5,2014,2,28,0.29
31.5,35.5,2014,2,28,0.32
32.5,34.5,2014,2,28,0.29
32.5,35.5,2014,2,28,0.29
29.5,34.5,2014,3,1,0.3
29.5,35.5,2014,3,1,0.31
30.5,34.5,2014,3,1,0.29
30.5,35.5,2014,3,1,0.28
31.5,34.5,2014,3,1,0.24
31.5,35.5,2014,3,1,0.25
32.5,34.5,2014,3,1,0.26
32.5,35.5,2014,3,1,0.28
29.5,34.5,2014,3,2,0.18
29.5,35.5,2014,3,2,0.19
30.5,34.5,2014,3,2,0.15
30.5,35.5,2014,3,2,0.18
31.5,34.5,2014,3,2,0.14
31.5,35.5,2014,3,2,0.19
32.5,34.5,2014,3,2,0.1
32.5,35.5,2014,3,2,0.16
29.5,34.5,2014,3,3,0.23
29.5,35.5,2014,3,3,0.25
30.5,34.5,2014,3,3,0.21
30.5,35.5,2014,3,3,0.22
31.5,34.5,2014,3,3,0.18
31.5,35.5,2014,3,3,0.19
32.5,34.5,2014,3,3,0.24
32.5,35.5,2014,3,3,0.22
29.5,34.5,2014,3,4,0.3
29.5,35.5,2014,3,4,0.31
30.5,34.5,2014,3,4,0.27
30.5,35.5,2014,3,4,0.27
31.5,34.5,2014,3,4,0.25
31.5,35.5,2014,3,4,0.25
32.5,34.5,2014,3,4,0.26
32.5,35.5,2014,3,4,0.24
29.5,34.5,2014,3,5,0.34
29.5,35.5,2014,3,5,0.33
30.5,34.5,2014,3,5,0.32
30.5,35.5,2014,3,5,0.32
31.5,34.5,2014,3,5,0.3
31.5,35.5,2014,3,5,0.29
32.5,34.5,2014,3,5,0.31
32.5,35.5,2014,3,5,0.31
29.5,34.5,2014,3,6,0.31
29.5,35.5,2014,3,6,0.33
30.5,34.5,2014,3,6,0.29
30.5,35.5,2014,3,6,0.31
31.5,34.5,2014,3,6,0.25
31.5,35.5,2014,3,6,0.29
32.5,34.5,2014,3,6,0.26
32.5,35.5,2014,3,6,0.28
29.5,34.5,2014,3,7,0.34
29.5,35.5,2014,3,7,0.35
30.5,34.5,2014,3,7,0.32
30.5,35.5,2014,3,7,0.34
31.5,34.5,2014,3,7,0.29
31.5,35.5,2014,3,7,0.32
32.5,34.5,2014,3,7,0.29
32.5,35.5,2014,3,7,0.31
29.5,34.5,2014,3,8,0.2
29.5,35.5,2014,3,8,0.18
30.5,34.5,2014,3,8,0.2
30.5,35.5,2014,3,8,0.14
31.5,34.5,2014,3,8,0.22
31.5,35.5,2014,3,8,0.11
32.5,34.5,2014,3,8,0.2
32.5,35.5,2014,3,8,0.14
29.5,34.5,2014,3,9,0.1
29.5,35.5,2014,3,9,0.13
30.5,34.5,2014,3,9,0.13
30.5,35.5,2014,3,9,0.1
31.5,34.5,2014,3,9,0.13
31.5,35.5,2014,3,9,0.13
32.5,34.5,2014,3,9,0.19
32.5,35.5,2014,3,9,0.16
29.5,34.5,2014,3,10,0.37
29.5,35.5,2014,3,10,0.36
30.5,34.5,2014,3,10,0.34
30.5,35.5,2014,3,10,0.32
31.5,34.5,2014,3,10,0.3
31.5,35.5,2014,3,10,0.27
32.5,34.5,2014,3,10,0.28
32.5,35.5,2014,3,10,0.25
29.5,34.5,2014,3,11,0.36
29.5,35.5,2014,3,11,0.35
30.5,34.5,2014,3,11,0.33
30.5,35.5,2014,3,11,0.32
31.5,34.5,2014,3,11,0.29
31.5,35.5,2014,3,11,0.28
32.5,34.5,2014,3,11,0.28
32.5,35.5,2014,3,11,0.25
