-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2016 through 12/31/2016 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS2M     MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
LAT,LON,YEAR,MO,DY,WS2M
29.5,34.375,2016,1,1,5.43
29.5,35.0,2016,1,1,4.3
29.5,35.625,2016,1,1,6.13
30.0,34.375,2016,1,1,5.16
30.0,35.0,2016,1,1,4.57
30.0,35.625,2016,1,1,7.12
30.5,34.375,2016,1,1,5.46
30.5,35.0,2016,1,1,5.48
30.5,35.625,2016,1,1,6.79
31.0,34.375,2016,1,1,6.21
31.0,35.0,2016,1,1,5.7
31.0,35.625,2016,1,1,5.56
31.5,34.375,2016,1,1,6.61
31.5,35.0,2016,1,1,5.02
31.5,35.625,2016,1,1,5.0
32.0,34.375,2016,1,1,10.28
32.0,35.0,2016,1,1,5.41
32.0,35.625,2016,1,1,4.09
32.5,34.375,2016,1,1,11.01
32.5,35.0,2016,1,1,5.27
32.5,35.625,2016,1,1,1.7
33.0,34.375,2016,1,1,10.54
33.0,35.0,2016,1,1,6.89
33.0,35.625,2016,1,1,1.34
29.5,34.375,2016,1,2,3.18
29.5,35.0,2016,1,2,2.62
29.5,35.625,2016,1,2,3.23
30.0,34.375,2016,1,2,2.61
30.0,35.0,2016,1,2,2.16
30.0,35.625,2016,1,2,4.12
30.5,34.375,2016,1,2,2.68
30.5,35.0,2016,1,2,2.76
30.5,35.625,2016,1,2,3.65
31.0,34.375,2016,1,2,2.4
31.0,35.0,2016,1,2,2.58
31.0,35.625,2016,1,2,2.32
31.5,34.375,2016,1,2,3.68
31.5,35.0,2016,1,2,2.49
31.5,35.625,2016,1,2,2.22
32.0,34.375,2016,1,2,6.14
32.0,35.0,2016,1,2,2.8
32.0,35.625,2016,1,2,2.1
32.5,34.375,2016,1,2,6.45
32.5,35.0,2016,1,2,2.69
32.5,35.625,2016,1,2,0.97
33.0,34.375,2016,1,2,5.98
33.0,35.0,2016,1,2,3.55
33.0,35.625,2016,1,2,0.85
29.5,34.375,2016,1,3,1.83
29.5,35.0,2016,1,3,1.63
29.5,35.625,2016,1,3,1.86
30.0,34.375,2016,1,3,2.12
30.0,35.0,2016,1,3,1.83
30.0,35.625,2016,1,3,2.42
30.5,34.375,2016,1,3,2.64
30.5,35.0,2016,1,3,2.54
30.5,35.625,2016,1,3,2.5
31.0,34.375,2016,1,3,3.22
31.0,35.0,2016,1,3,2.68
31.0,35.625,2016,1,3,2.6
31.5,34.375,2016,1,3,4.09
31.5,35.0,2016,1,3,2.67
31.5,35.625,2016,1,3,3.11
32.0,34.375,2016,1,3,6.67
32.0,35.0,2016,1,3,3.08
32.0,35.625,2016,1,3,2.69
32.5,34.375,2016,1,3,6.98
32.5,35.0,2016,1,3,2.93
32.5,35.625,2016,1,3,1.08
33.0,34.375,2016,1,3,6.11
33.0,35.0,2016,1,3,3.63
33.0,35.625,2016,1,3,0.52
29.5,34.375,2016,1,4,1.84
29.5,35.0,2016,1,4,1.48
29.5,35.625,2016,1,4,1.51
30.0,34.375,2016,1,4,1.73
30.0,35.0,2016,1,4,1.45
30.0,35.625,2016,1,4,1.84
30.5,34.375,2016,1,4,2.0
30.5,35.0,2016,1,4,1.92
30.5,35.625,2016,1,4,2.06
31.0,34.375,2016,1,4,2.32
31.0,35.0,2016,1,4,1.88
31.0,35.625,2016,1,4,2.02
31.5,34.375,2016,1,4,3.25
31.5,35.0,2016,1,4,1.72
31.5,35.625,2016,1,4,2.06
32.0,34.375,2016,1,4,5.52
32.0,35.0,2016,1,4,2.17
32.0,35.625,2016,1,4,1.77
32.5,34.375,2016,1,4,5.92
32.5,35.0,2016,1,4,2.44
32.5,35.625,2016,1,4,0.79
33.0,34.375,2016,1,4,6.03
33.0,35.0,2016,1,4,3.83
33.0,35.625,2016,1,4,0.51
29.5,34.375,2016,1,5,1.78
29.5,35.0,2016,1,5,1.19
29.5,35.625,2016,1,5,1.78
30.0,34.375,2016,1,5,1.97
30.0,35.0,2016,1,5,1.49
30.0,35.625,2016,1,5,2.28
30.5,34.375,2016,1,5,2.27
30.5,35.0,2016,1,5,2.21
30.5,35.625,2016,1,5,2.28
31.0,34.375,2016,1,5,2.75
31.0,35.0,2016,1,5,2.19
31.0,35.625,2016,1,5,2.27
31.5,34.375,2016,1,5,3.9
31.5,35.0,2016,1,5,2.11
31.5,35.625,2016,1,5,2.5
32.0,34.375,2016,1,5,6.73
32.0,35.0,2016,1,5,2.7
32.0,35.625,2016,1,5,2.2
32.5,34.375,2016,1,5,7.64
32.5,35.0,2016,1,5,3.16
32.5,35.625,2016,1,5,0.96
33.0,34.375,2016,1,5,7.91
33.0,35.0,2016,1,5,4.81
33.0,35.625,2016,1,5,0.62
29.5,34.375,2016,1,6,1.49
29.5,35.0,2016,1,6,1.46
29.5,35.625,2016,1,6,1.08
30.0,34.375,2016,1,6,1.28
30.0,35.0,2016,1,6,1.05
30.0,35.625,2016,1,6,1.68
30.5,34.375,2016,1,6,1.29
30.5,35.0,2016,1,6,1.19
30.5,35.625,2016,1,6,1.68
31.0,34.375,2016,1,6,1.69
31.0,35.0,2016,1,6,1.3
31.0,35.625,2016,1,6,1.59
31.5,34.375,2016,1,6,2.56
31.5,35.0,2016,1,6,1.32
31.5,35.625,2016,1,6,1.69
32.0,34.375,2016,1,6,4.22
32.0,35.0,2016,1,6,1.84
32.0,35.625,2016,1,6,1.4
32.5,34.375,2016,1,6,4.58
32.5,35.0,2016,1,6,2.05
32.5,35.625,2016,1,6,0.81
33.0,34.375,2016,1,6,4.75
33.0,35.0,2016,1,6,2.83
33.0,35.625,2016,1,6,0.54
29.5,34.375,2016,1,7,2.95
29.5,35.0,2016,1,7,3.17
29.5,35.625,2016,1,7,4.09
30.0,34.375,2016,1,7,2.96
30.0,35.0,2016,1,7,3.04
30.0,35.625,2016,1,7,3.78
30.5,34.375,2016,1,7,3.11
30.5,35.0,2016,1,7,2.71
30.5,35.625,2016,1,7,3.43
31.0,34.375,2016,1,7,3.41
31.0,35.0,2016,1,7,2.14
31.0,35.625,2016,1,7,2.26
31.5,34.375,2016,1,7,3.72
31.5,35.0,2016,1,7,1.69
31.5,35.625,2016,1,7,1.98
32.0,34.375,2016,1,7,6.01
