-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2016 through 12/31/2016 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
PS     MERRA-2 Surface Pressure (kPa) 
-END HEADER-
LAT,LON,YEAR,MO,DY,PS
29.5,34.375,2016,1,1,92.91
29.5,35.0,2016,1,1,94.17
29.5,35.625,2016,1,1,89.42
30.0,34.375,2016,1,1,95.63
30.0,35.0,2016,1,1,95.56
30.0,35.625,2016,1,1,88.43
30.5,34.375,2016,1,1,97.13
30.5,35.0,2016,1,1,97.49
30.5,35.625,2016,1,1,89.16
31.0,34.375,2016,1,1,99.44
31.0,35.0,2016,1,1,98.53
31.0,35.625,2016,1,1,94.87
31.5,34.375,2016,1,1,101.3
31.5,35.0,2016,1,1,97.61
31.5,35.625,2016,1,1,99.36
32.0,34.375,2016,1,1,101.72
32.0,35.0,2016,1,1,98.34
32.0,35.625,2016,1,1,99.44
32.5,34.375,2016,1,1,101.66
32.5,35.0,2016,1,1,100.08
32.5,35.625,2016,1,1,99.6
33.0,34.375,2016,1,1,101.56
33.0,35.0,2016,1,1,100.27
33.0,35.625,2016,1,1,96.72
29.5,34.375,2016,1,2,93.44
29.5,35.0,2016,1,2,94.73
29.5,35.625,2016,1,2,89.97
30.0,34.375,2016,1,2,96.21
30.0,35.0,2016,1,2,96.16
30.0,35.625,2016,1,2,88.95
30.5,34.375,2016,1,2,97.73
30.5,35.0,2016,1,2,98.13
30.5,35.625,2016,1,2,89.69
31.0,34.375,2016,1,2,100.09
31.0,35.0,2016,1,2,99.21
31.0,35.625,2016,1,2,95.5
31.5,34.375,2016,1,2,102.0
31.5,35.0,2016,1,2,98.33
31.5,35.625,2016,1,2,100.13
32.0,34.375,2016,1,2,102.45
32.0,35.0,2016,1,2,99.07
32.0,35.625,2016,1,2,100.25
32.5,34.375,2016,1,2,102.42
32.5,35.0,2016,1,2,100.87
32.5,35.625,2016,1,2,100.46
33.0,34.375,2016,1,2,102.37
33.0,35.0,2016,1,2,101.11
33.0,35.625,2016,1,2,97.58
29.5,34.375,2016,1,3,93.39
29.5,35.0,2016,1,3,94.68
29.5,35.625,2016,1,3,90.01
30.0,34.375,2016,1,3,96.12
30.0,35.0,2016,1,3,96.09
30.0,35.625,2016,1,3,89.01
30.5,34.375,2016,1,3,97.63
30.5,35.0,2016,1,3,98.04
30.5,35.625,2016,1,3,89.72
31.0,34.375,2016,1,3,99.98
31.0,35.0,2016,1,3,99.14
31.0,35.625,2016,1,3,95.46
31.5,34.375,2016,1,3,101.87
31.5,35.0,2016,1,3,98.26
31.5,35.625,2016,1,3,100.04
32.0,34.375,2016,1,3,102.27
32.0,35.0,2016,1,3,98.96
32.0,35.625,2016,1,3,100.17
32.5,34.375,2016,1,3,102.21
32.5,35.0,2016,1,3,100.71
32.5,35.625,2016,1,3,100.35
33.0,34.375,2016,1,3,102.14
33.0,35.0,2016,1,3,100.92
33.0,35.625,2016,1,3,97.49
29.5,34.375,2016,1,4,93.11
29.5,35.0,2016,1,4,94.36
29.5,35.625,2016,1,4,89.75
30.0,34.375,2016,1,4,95.8
30.0,35.0,2016,1,4,95.76
30.0,35.625,2016,1,4,88.75
30.5,34.375,2016,1,4,97.31
30.5,35.0,2016,1,4,97.71
30.5,35.625,2016,1,4,89.45
31.0,34.375,2016,1,4,99.64
31.0,35.0,2016,1,4,98.8
31.0,35.625,2016,1,4,95.14
31.5,34.375,2016,1,4,101.53
31.5,35.0,2016,1,4,97.96
31.5,35.625,2016,1,4,99.72
32.0,34.375,2016,1,4,101.95
32.0,35.0,2016,1,4,98.67
32.0,35.625,2016,1,4,99.89
32.5,34.375,2016,1,4,101.92
32.5,35.0,2016,1,4,100.44
32.5,35.625,2016,1,4,100.08
33.0,34.375,2016,1,4,101.84
33.0,35.0,2016,1,4,100.65
33.0,35.625,2016,1,4,97.29
29.5,34.375,2016,1,5,93.05
29.5,35.0,2016,1,5,94.31
29.5,35.625,2016,1,5,89.75
30.0,34.375,2016,1,5,95.73
30.0,35.0,2016,1,5,95.7
30.0,35.625,2016,1,5,88.75
30.5,34.375,2016,1,5,97.23
30.5,35.0,2016,1,5,97.62
30.5,35.625,2016,1,5,89.45
31.0,34.375,2016,1,5,99.53
31.0,35.0,2016,1,5,98.71
31.0,35.625,2016,1,5,95.1
31.5,34.375,2016,1,5,101.4
31.5,35.0,2016,1,5,97.87
31.5,35.625,2016,1,5,99.62
32.0,34.375,2016,1,5,101.81
32.0,35.0,2016,1,5,98.57
32.0,35.625,2016,1,5,99.75
32.5,34.375,2016,1,5,101.75
32.5,35.0,2016,1,5,100.3
32.5,35.625,2016,1,5,99.94
33.0,34.375,2016,1,5,101.66
33.0,35.0,2016,1,5,100.49
33.0,35.625,2016,1,5,97.15
29.5,34.375,2016,1,6,93.1
29.5,35.0,2016,1,6,94.34
29.5,35.625,2016,1,6,89.8
30.0,34.375,2016,1,6,95.77
30.0,35.0,2016,1,6,95.73
30.0,35.625,2016,1,6,88.82
30.5,34.375,2016,1,6,97.27
30.5,35.0,2016,1,6,97.68
30.5,35.625,2016,1,6,89.48
31.0,34.375,2016,1,6,99.59
31.0,35.0,2016,1,6,98.77
31.0,35.625,2016,1,6,95.12
31.5,34.375,2016,1,6,101.47
31.5,35.0,2016,1,6,97.93
31.5,35.625,2016,1,6,99.7
32.0,34.375,2016,1,6,101.9
32.0,35.0,2016,1,6,98.65
32.0,35.625,2016,1,6,99.88
32.5,34.375,2016,1,6,101.87
32.5,35.0,2016,1,6,100.41
32.5,35.625,2016,1,6,100.07
33.0,34.375,2016,1,6,101.82
33.0,35.0,2016,1,6,100.63
33.0,35.625,2016,1,6,97.28
29.5,34.375,2016,1,7,92.68
29.5,35.0,2016,1,7,93.91
29.5,35.625,2016,1,7,89.4
30.0,34.375,2016,1,7,95.25
30.0,35.0,2016,1,7,95.22
30.0,35.625,2016,1,7,88.45
30.5,34.375,2016,1,7,96.74
30.5,35.0,2016,1,7,97.12
30.5,35.625,2016,1,7,89.07
31.0,34.375,2016,1,7,99.0
31.0,35.0,2016,1,7,98.2
31.0,35.625,2016,1,7,94.59
31.5,34.375,2016,1,7,100.88
31.5,35.0,2016,1,7,97.36
31.5,35.625,2016,1,7,99.08
