-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2020 through 12/31/2020 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2MDEW     MERRA-2 Dew/Frost Point at 2 Meters (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2MDEW
29.5,34.375,2020,1,1,3.07
29.5,35.0,2020,1,1,0.69
29.5,35.625,2020,1,1,-3.18
30.0,34.375,2020,1,1,4.56
30.0,35.0,2020,1,1,1.87
30.0,35.625,2020,1,1,-2.47
30.5,34.375,2020,1,1,5.94
30.5,35.0,2020,1,1,4.63
30.5,35.625,2020,1,1,-0.89
31.0,34.375,2020,1,1,7.8
31.0,35.0,2020,1,1,6.84
31.0,35.625,2020,1,1,3.32
31.5,34.375,2020,1,1,9.22
31.5,35.0,2020,1,1,7.55
31.5,35.625,2020,1,1,6.84
32.0,34.375,2020,1,1,10.38
32.0,35.0,2020,1,1,8.07
32.0,35.625,2020,1,1,7.82
32.5,34.375,2020,1,1,10.41
32.5,35.0,2020,1,1,8.42
32.5,35.625,2020,1,1,8.09
33.0,34.375,2020,1,1,10.43
33.0,35.0,2020,1,1,9.3
33.0,35.625,2020,1,1,6.75
29.5,34.375,2020,1,2,1.2
29.5,35.0,2020,1,2,2.08
29.5,35.625,2020,1,2,-0.92
30.0,34.375,2020,1,2,2.55
30.0,35.0,2020,1,2,2.83
30.0,35.625,2020,1,2,-0.32
30.5,34.375,2020,1,2,3.74
30.5,35.0,2020,1,2,4.6
30.5,35.625,2020,1,2,1.2
31.0,34.375,2020,1,2,5.77
31.0,35.0,2020,1,2,6.1
31.0,35.625,2020,1,2,3.74
31.5,34.375,2020,1,2,8.81
31.5,35.0,2020,1,2,6.55
31.5,35.625,2020,1,2,5.83
32.0,34.375,2020,1,2,10.79
32.0,35.0,2020,1,2,7.94
32.0,35.625,2020,1,2,6.2
32.5,34.375,2020,1,2,11.16
32.5,35.0,2020,1,2,9.04
32.5,35.625,2020,1,2,7.2
33.0,34.375,2020,1,2,11.46
33.0,35.0,2020,1,2,10.09
33.0,35.625,2020,1,2,6.97
29.5,34.375,2020,1,3,0.48
29.5,35.0,2020,1,3,0.99
29.5,35.625,2020,1,3,-1.38
30.0,34.375,2020,1,3,1.43
30.0,35.0,2020,1,3,1.36
30.0,35.625,2020,1,3,-0.82
30.5,34.375,2020,1,3,1.83
30.5,35.0,2020,1,3,2.14
30.5,35.625,2020,1,3,0.05
31.0,34.375,2020,1,3,2.61
31.0,35.0,2020,1,3,2.69
31.0,35.625,2020,1,3,1.94
31.5,34.375,2020,1,3,7.57
31.5,35.0,2020,1,3,3.46
31.5,35.625,2020,1,3,4.46
32.0,34.375,2020,1,3,10.08
32.0,35.0,2020,1,3,6.22
32.0,35.625,2020,1,3,4.73
32.5,34.375,2020,1,3,10.46
32.5,35.0,2020,1,3,7.9
32.5,35.625,2020,1,3,5.97
33.0,34.375,2020,1,3,10.72
33.0,35.0,2020,1,3,9.12
33.0,35.625,2020,1,3,5.6
29.5,34.375,2020,1,4,2.59
29.5,35.0,2020,1,4,3.24
29.5,35.625,2020,1,4,0.96
30.0,34.375,2020,1,4,3.66
30.0,35.0,2020,1,4,3.6
30.0,35.625,2020,1,4,1.29
30.5,34.375,2020,1,4,4.57
30.5,35.0,2020,1,4,4.48
30.5,35.625,2020,1,4,1.75
31.0,34.375,2020,1,4,6.09
31.0,35.0,2020,1,4,5.36
31.0,35.625,2020,1,4,3.88
31.5,34.375,2020,1,4,10.38
31.5,35.0,2020,1,4,6.52
31.5,35.625,2020,1,4,5.92
32.0,34.375,2020,1,4,12.18
32.0,35.0,2020,1,4,8.54
32.0,35.625,2020,1,4,6.32
32.5,34.375,2020,1,4,12.19
32.5,35.0,2020,1,4,9.93
32.5,35.625,2020,1,4,7.22
33.0,34.375,2020,1,4,11.79
33.0,35.0,2020,1,4,10.33
33.0,35.625,2020,1,4,6.47
29.5,34.375,2020,1,5,-1.24
29.5,35.0,2020,1,5,0.77
29.5,35.625,2020,1,5,-1.43
30.0,34.375,2020,1,5,1.04
30.0,35.0,2020,1,5,2.09
30.0,35.625,2020,1,5,-0.21
30.5,34.375,2020,1,5,2.64
30.5,35.0,2020,1,5,3.33
30.5,35.625,2020,1,5,1.16
31.0,34.375,2020,1,5,3.84
31.0,35.0,2020,1,5,4.15
31.0,35.625,2020,1,5,3.27
31.5,34.375,2020,1,5,9.18
31.5,35.0,2020,1,5,6.16
31.5,35.625,2020,1,5,6.0
32.0,34.375,2020,1,5,11.55
32.0,35.0,2020,1,5,9.02
32.0,35.625,2020,1,5,7.61
32.5,34.375,2020,1,5,11.86
32.5,35.0,2020,1,5,10.39
32.5,35.625,2020,1,5,9.09
33.0,34.375,2020,1,5,12.05
33.0,35.0,2020,1,5,11.16
33.0,35.625,2020,1,5,8.8
29.5,34.375,2020,1,6,-3.47
29.5,35.0,2020,1,6,0.81
29.5,35.625,2020,1,6,-3.42
30.0,34.375,2020,1,6,-1.6
30.0,35.0,2020,1,6,0.06
30.0,35.625,2020,1,6,-3.57
30.5,34.375,2020,1,6,0.68
30.5,35.0,2020,1,6,1.24
30.5,35.625,2020,1,6,-1.89
31.0,34.375,2020,1,6,1.83
31.0,35.0,2020,1,6,1.75
31.0,35.625,2020,1,6,0.34
31.5,34.375,2020,1,6,7.41
31.5,35.0,2020,1,6,2.69
31.5,35.625,2020,1,6,3.05
32.0,34.375,2020,1,6,10.09
32.0,35.0,2020,1,6,5.39
32.0,35.625,2020,1,6,3.39
32.5,34.375,2020,1,6,10.8
32.5,35.0,2020,1,6,7.35
32.5,35.625,2020,1,6,4.58
33.0,34.375,2020,1,6,11.28
33.0,35.0,2020,1,6,8.98
33.0,35.625,2020,1,6,4.17
29.5,34.375,2020,1,7,0.01
29.5,35.0,2020,1,7,1.4
29.5,35.625,2020,1,7,-1.2
30.0,34.375,2020,1,7,1.08
30.0,35.0,2020,1,7,1.31
30.0,35.625,2020,1,7,-0.7
30.5,34.375,2020,1,7,1.97
30.5,35.0,2020,1,7,2.31
30.5,35.625,2020,1,7,0.15
31.0,34.375,2020,1,7,2.62
31.0,35.0,2020,1,7,2.63
31.0,35.625,2020,1,7,1.77
31.5,34.375,2020,1,7,7.39
31.5,35.0,2020,1,7,3.3
31.5,35.625,2020,1,7,3.86
32.0,34.375,2020,1,7,10.06
32.0,35.0,2020,1,7,5.87
32.0,35.625,2020,1,7,4.1
32.5,34.375,2020,1,7,10.31
32.5,35.0,2020,1,7,7.58
32.5,35.625,2020,1,7,5.15
33.0,34.375,2020,1,7,10.49
33.0,35.0,2020,1,7,8.75
33.0,35.625,2020,1,7,4.37
29.5,34.375,2020,1,8,0.15
29.5,35.0,2020,1,8,1.2
29.5,35.625,2020,1,8,-1.28
30.0,34.375,2020,1,8,1.66
30.0,35.0,2020,1,8,1.69
30.0,35.625,2020,1,8,-0.48
30.5,34.375,2020,1,8,3.04
30.5,35.0,2020,1,8,2.99
30.5,35.625,2020,1,8,0.79
31.0,34.375,2020,1,8,4.84
31.0,35.0,2020,1,8,4.18
31.0,35.625,2020,1,8,2.73
31.5,34.375,2020,1,8,9.73
31.5,35.0,2020,1,8,6.08
31.5,35.625,2020,1,8,5.23
32.0,34.375,2020,1,8,11.68
32.0,35.0,2020,1,8,8.6
32.0,35.625,2020,1,8,6.57
32.5,34.375,2020,1,8,11.9
32.5,35.0,2020,1,8,10.21
32.5,35.625,2020,1,8,7.95
33.0,34.375,2020,1,8,12.03
33.0,35.0,2020,1,8,11.01
33.0,35.625,2020,1,8,7.97
29.5,34.375,2020,1,9,1.58
29.5,35.0,2020,1,9,2.96
29.5,35.625,2020,1,9,0.59
30.0,34.375,2020,1,9,3.43
30.0,35.0,2020,1,9,3.53
30.0,35.625,2020,1,9,1.05
30.5,34.375,2020,1,9,4.93
30.5,35.0,2020,1,9,4.77
30.5,35.625,2020,1,9,2.05
31.0,34.375,2020,1,9,7.15
31.0,35.0,2020,1,9,6.29
31.0,35.625,2020,1,9,4.59
31.5,34.375,2020,1,9,10.87
31.5,35.0,2020,1,9,8.03
31.5,35.625,2020,1,9,7.4
32.0,34.375,2020,1,9,11.45
32.0,35.0,2020,1,9,9.38
32.0,35.625,2020,1,9,8.41
32.5,34.375,2020,1,9,10.57
32.5,35.0,2020,1,9,9.77
32.5,35.625,2020,1,9,8.96
33.0,34.375,2020,1,9,9.77
33.0,35.0,2020,1,9,9.32
33.0,35.625,2020,1,9,7.59
29.5,34.375,2020,1,10,3.68
29.5,35.0,2020,1,10,4.16
29.5,35.625,2020,1,10,1.4
30.0,34.375,2020,1,10,5.32
30.0,35.0,2020,1,10,5.01
30.0,35.625,2020,1,10,1.6
30.5,34.375,2020,1,10,6.31
30.5,35.0,2020,1,10,5.87
30.5,35.625,2020,1,10,2.4
31.0,34.375,2020,1,10,7.44
31.0,35.0,2020,1,10,6.81
31.0,35.625,2020,1,10,4.39
31.5,34.375,2020,1,10,9.9
31.5,35.0,2020,1,10,7.1
31.5,35.625,2020,1,10,6.72
32.0,34.375,2020,1,10,10.09
32.0,35.0,2020,1,10,7.0
32.0,35.625,2020,1,10,6.25
32.5,34.375,2020,1,10,9.73
32.5,35.0,2020,1,10,7.67
32.5,35.625,2020,1,10,6.84
33.0,34.375,2020,1,10,9.91
33.0,35.0,2020,1,10,8.08
33.0,35.625,2020,1,10,5.74
29.5,34.375,2020,1,11,3.18
29.5,35.0,2020,1,11,3.67
29.5,35.625,2020,1,11,-0.01
30.0,34.375,2020,1,11,4.4
30.0,35.0,2020,1,11,4.12
30.0,35.625,2020,1,11,0.57
