-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2020 through 12/31/2020 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
CLRSKY_SFC_PAR_TOT     CERES SYN1deg Clear Sky Surface Total PAR (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,CLRSKY_SFC_PAR_TOT
29.5,34.5,2020,1,1,1.73
29.5,35.5,2020,1,1,1.7
30.5,34.5,2020,1,1,1.68
30.5,35.5,2020,1,1,1.59
31.5,34.5,2020,1,1,1.58
31.5,35.5,2020,1,1,1.52
32.5,34.5,2020,1,1,1.49
32.5,35.5,2020,1,1,1.5
29.5,34.5,2020,1,2,1.73
29.5,35.5,2020,1,2,1.72
30.5,34.5,2020,1,2,1.62
30.5,35.5,2020,1,2,1.63
31.5,34.5,2020,1,2,1.52
31.5,35.5,2020,1,2,1.55
32.5,34.5,2020,1,2,1.47
32.5,35.5,2020,1,2,1.4
29.5,34.5,2020,1,3,1.75
29.5,35.5,2020,1,3,1.81
30.5,34.5,2020,1,3,1.64
30.5,35.5,2020,1,3,1.66
31.5,34.5,2020,1,3,1.53
31.5,35.5,2020,1,3,1.58
32.5,34.5,2020,1,3,1.47
32.5,35.5,2020,1,3,1.46
29.5,34.5,2020,1,4,1.63
29.5,35.5,2020,1,4,1.68
30.5,34.5,2020,1,4,1.61
30.5,35.5,2020,1,4,1.54
31.5,34.5,2020,1,4,1.51
31.5,35.5,2020,1,4,1.47
32.5,34.5,2020,1,4,1.53
32.5,35.5,2020,1,4,1.46
29.5,34.5,2020,1,5,1.78
29.5,35.5,2020,1,5,1.8
30.5,34.5,2020,1,5,1.69
30.5,35.5,2020,1,5,1.68
31.5,34.5,2020,1,5,1.59
31.5,35.5,2020,1,5,1.6
32.5,34.5,2020,1,5,1.52
32.5,35.5,2020,1,5,1.49
29.5,34.5,2020,1,6,1.79
29.5,35.5,2020,1,6,1.81
30.5,34.5,2020,1,6,1.67
30.5,35.5,2020,1,6,1.72
31.5,34.5,2020,1,6,1.58
31.5,35.5,2020,1,6,1.65
32.5,34.5,2020,1,6,1.43
32.5,35.5,2020,1,6,1.49
29.5,34.5,2020,1,7,1.49
29.5,35.5,2020,1,7,1.77
30.5,34.5,2020,1,7,1.42
30.5,35.5,2020,1,7,1.53
31.5,34.5,2020,1,7,1.32
31.5,35.5,2020,1,7,1.47
32.5,34.5,2020,1,7,1.31
32.5,35.5,2020,1,7,1.4
29.5,34.5,2020,1,8,1.62
29.5,35.5,2020,1,8,1.71
30.5,34.5,2020,1,8,1.63
30.5,35.5,2020,1,8,1.55
31.5,34.5,2020,1,8,1.53
31.5,35.5,2020,1,8,1.5
32.5,34.5,2020,1,8,1.55
32.5,35.5,2020,1,8,1.51
29.5,34.5,2020,1,9,1.73
29.5,35.5,2020,1,9,1.78
30.5,34.5,2020,1,9,1.63
30.5,35.5,2020,1,9,1.62
31.5,34.5,2020,1,9,1.53
31.5,35.5,2020,1,9,1.57
32.5,34.5,2020,1,9,1.5
32.5,35.5,2020,1,9,1.44
29.5,34.5,2020,1,10,1.74
29.5,35.5,2020,1,10,1.75
30.5,34.5,2020,1,10,1.66
30.5,35.5,2020,1,10,1.61
31.5,34.5,2020,1,10,1.55
31.5,35.5,2020,1,10,1.54
32.5,34.5,2020,1,10,1.47
32.5,35.5,2020,1,10,1.48
29.5,34.5,2020,1,11,1.85
29.5,35.5,2020,1,11,1.81
30.5,34.5,2020,1,11,1.8
30.5,35.5,2020,1,11,1.73
31.5,34.5,2020,1,11,1.7
31.5,35.5,2020,1,11,1.66
32.5,34.5,2020,1,11,1.63
32.5,35.5,2020,1,11,1.58
29.5,34.5,2020,1,12,1.77
29.5,35.5,2020,1,12,1.8
30.5,34.5,2020,1,12,1.65
30.5,35.5,2020,1,12,1.71
31.5,34.5,2020,1,12,1.55
31.5,35.5,2020,1,12,1.64
32.5,34.5,2020,1,12,1.51
32.5,35.5,2020,1,12,1.6
29.5,34.5,2020,1,13,1.73
29.5,35.5,2020,1,13,1.8
30.5,34.5,2020,1,13,1.77
30.5,35.5,2020,1,13,1.73
31.5,34.5,2020,1,13,1.67
31.5,35.5,2020,1,13,1.67
32.5,34.5,2020,1,13,1.64
32.5,35.5,2020,1,13,1.63
29.5,34.5,2020,1,14,1.83
29.5,35.5,2020,1,14,1.84
30.5,34.5,2020,1,14,1.74
30.5,35.5,2020,1,14,1.77
31.5,34.5,2020,1,14,1.63
31.5,35.5,2020,1,14,1.7
32.5,34.5,2020,1,14,1.56
32.5,35.5,2020,1,14,1.57
29.5,34.5,2020,1,15,1.83
29.5,35.5,2020,1,15,1.86
30.5,34.5,2020,1,15,1.75
30.5,35.5,2020,1,15,1.75
31.5,34.5,2020,1,15,1.66
31.5,35.5,2020,1,15,1.68
32.5,34.5,2020,1,15,1.56
32.5,35.5,2020,1,15,1.59
29.5,34.5,2020,1,16,1.87
29.5,35.5,2020,1,16,1.87
30.5,34.5,2020,1,16,1.76
30.5,35.5,2020,1,16,1.75
31.5,34.5,2020,1,16,1.67
31.5,35.5,2020,1,16,1.69
32.5,34.5,2020,1,16,1.56
32.5,35.5,2020,1,16,1.6
29.5,34.5,2020,1,17,1.7
29.5,35.5,2020,1,17,1.78
30.5,34.5,2020,1,17,1.67
30.5,35.5,2020,1,17,1.66
31.5,34.5,2020,1,17,1.57
31.5,35.5,2020,1,17,1.59
32.5,34.5,2020,1,17,1.4
32.5,35.5,2020,1,17,1.43
29.5,34.5,2020,1,18,1.79
29.5,35.5,2020,1,18,1.82
30.5,34.5,2020,1,18,1.7
30.5,35.5,2020,1,18,1.64
31.5,34.5,2020,1,18,1.61
31.5,35.5,2020,1,18,1.59
32.5,34.5,2020,1,18,1.52
32.5,35.5,2020,1,18,1.45
29.5,34.5,2020,1,19,1.85
29.5,35.5,2020,1,19,1.9
30.5,34.5,2020,1,19,1.78
30.5,35.5,2020,1,19,1.73
31.5,34.5,2020,1,19,1.69
31.5,35.5,2020,1,19,1.67
32.5,34.5,2020,1,19,1.63
32.5,35.5,2020,1,19,1.58
29.5,34.5,2020,1,20,1.93
29.5,35.5,2020,1,20,1.95
30.5,34.5,2020,1,20,1.8
30.5,35.5,2020,1,20,1.76
31.5,34.5,2020,1,20,1.7
31.5,35.5,2020,1,20,1.7
32.5,34.5,2020,1,20,1.67
32.5,35.5,2020,1,20,1.65
29.5,34.5,2020,1,21,1.87
29.5,35.5,2020,1,21,1.92
30.5,34.5,2020,1,21,1.83
30.5,35.5,2020,1,21,1.67
31.5,34.5,2020,1,21,1.73
31.5,35.5,2020,1,21,1.61
32.5,34.5,2020,1,21,1.66
32.5,35.5,2020,1,21,1.58
29.5,34.5,2020,1,22,1.88
29.5,35.5,2020,1,22,1.86
30.5,34.5,2020,1,22,1.85
30.5,35.5,2020,1,22,1.79
31.5,34.5,2020,1,22,1.73
31.5,35.5,2020,1,22,1.7
32.5,34.5,2020,1,22,1.65
32.5,35.5,2020,1,22,1.68
29.5,34.5,2020,1,23,1.98
29.5,35.5,2020,1,23,2.01
30.5,34.5,2020,1,23,1.88
30.5,35.5,2020,1,23,1.87
31.5,34.5,2020,1,23,1.78
31.5,35.5,2020,1,23,1.8
32.5,34.5,2020,1,23,1.75
32.5,35.5,2020,1,23,1.75
29.5,34.5,2020,1,24,1.84
29.5,35.5,2020,1,24,1.87
30.5,34.5,2020,1,24,1.9
30.5,35.5,2020,1,24,1.84
31.5,34.5,2020,1,24,1.8
31.5,35.5,2020,1,24,1.77
32.5,34.5,2020,1,24,1.73
32.5,35.5,2020,1,24,1.68
29.5,34.5,2020,1,25,2.06
29.5,35.5,2020,1,25,2.04
30.5,34.5,2020,1,25,1.95
30.5,35.5,2020,1,25,1.95
31.5,34.5,2020,1,25,1.86
31.5,35.5,2020,1,25,1.86
32.5,34.5,2020,1,25,1.77
32.5,35.5,2020,1,25,1.81
29.5,34.5,2020,1,26,2.06
29.5,35.5,2020,1,26,2.08
30.5,34.5,2020,1,26,1.92
30.5,35.5,2020,1,26,1.99
31.5,34.5,2020,1,26,1.81
31.5,35.5,2020,1,26,1.91
32.5,34.5,2020,1,26,1.79
32.5,35.5,2020,1,26,1.83
29.5,34.5,2020,1,27,2.03
29.5,35.5,2020,1,27,2.03
30.5,34.5,2020,1,27,1.95
30.5,35.5,2020,1,27,1.94
31.5,34.5,2020,1,27,1.85
31.5,35.5,2020,1,27,1.86
