-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_MIN     MERRA-2 Temperature at 2 Meters Minimum (C) 
-END HEADER-
LAT,LON,YEAR,MO,DY,T2M_MIN
29.5,34.375,2022,1,1,9.32
29.5,35.0,2022,1,1,9.13
29.5,35.625,2022,1,1,4.51
30.0,34.375,2022,1,1,9.37
30.0,35.0,2022,1,1,9.15
30.0,35.625,2022,1,1,4.39
30.5,34.375,2022,1,1,9.08
30.5,35.0,2022,1,1,9.91
30.5,35.625,2022,1,1,4.81
31.0,34.375,2022,1,1,10.57
31.0,35.0,2022,1,1,9.93
31.0,35.625,2022,1,1,8.05
31.5,34.375,2022,1,1,14.14
31.5,35.0,2022,1,1,8.39
31.5,35.625,2022,1,1,10.88
32.0,34.375,2022,1,1,16.34
32.0,35.0,2022,1,1,9.79
32.0,35.625,2022,1,1,10.61
32.5,34.375,2022,1,1,16.73
32.5,35.0,2022,1,1,11.99
32.5,35.625,2022,1,1,9.78
33.0,34.375,2022,1,1,16.94
33.0,35.0,2022,1,1,13.54
33.0,35.625,2022,1,1,8.71
29.5,34.375,2022,1,2,7.28
29.5,35.0,2022,1,2,6.3
29.5,35.625,2022,1,2,2.03
30.0,34.375,2022,1,2,7.2
30.0,35.0,2022,1,2,5.98
30.0,35.625,2022,1,2,2.81
30.5,34.375,2022,1,2,7.54
30.5,35.0,2022,1,2,7.43
30.5,35.625,2022,1,2,3.32
31.0,34.375,2022,1,2,10.16
31.0,35.0,2022,1,2,7.93
31.0,35.625,2022,1,2,4.84
31.5,34.375,2022,1,2,13.08
31.5,35.0,2022,1,2,6.75
31.5,35.625,2022,1,2,7.89
32.0,34.375,2022,1,2,16.84
32.0,35.0,2022,1,2,8.37
32.0,35.625,2022,1,2,8.05
32.5,34.375,2022,1,2,17.18
32.5,35.0,2022,1,2,10.18
32.5,35.625,2022,1,2,7.31
33.0,34.375,2022,1,2,16.96
33.0,35.0,2022,1,2,12.04
33.0,35.625,2022,1,2,6.62
29.5,34.375,2022,1,3,7.13
29.5,35.0,2022,1,3,7.9
29.5,35.625,2022,1,3,3.66
30.0,34.375,2022,1,3,8.48
