-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DIFF
29.5,34.5,2022,1,1,1.54
29.5,35.5,2022,1,1,1.61
30.5,34.5,2022,1,1,1.31
30.5,35.5,2022,1,1,1.53
31.5,34.5,2022,1,1,1.23
31.5,35.5,2022,1,1,1.24
32.5,34.5,2022,1,1,1.35
32.5,35.5,2022,1,1,1.57
29.5,34.5,2022,1,2,1.42
29.5,35.5,2022,1,2,1.51
30.5,34.5,2022,1,2,1.34
30.5,35.5,2022,1,2,1.58
31.5,34.5,2022,1,2,1.46
31.5,35.5,2022,1,2,1.4
32.5,34.5,2022,1,2,1.25
32.5,35.5,2022,1,2,1.4
29.5,34.5,2022,1,3,1.38
29.5,35.5,2022,1,3,1.27
30.5,34.5,2022,1,3,1.26
30.5,35.5,2022,1,3,1.29
31.5,34.5,2022,1,3,1.2
31.5,35.5,2022,1,3,1.24
32.5,34.5,2022,1,3,0.81
32.5,35.5,2022,1,3,1.12
29.5,34.5,2022,1,4,0.72
29.5,35.5,2022,1,4,0.78
30.5,34.5,2022,1,4,1.12
30.5,35.5,2022,1,4,1.09
31.5,34.5,2022,1,4,1.49
31.5,35.5,2022,1,4,1.42
32.5,34.5,2022,1,4,1.24
32.5,35.5,2022,1,4,1.21
29.5,34.5,2022,1,5,0.63
29.5,35.5,2022,1,5,0.61
30.5,34.5,2022,1,5,1.14
30.5,35.5,2022,1,5,1.05
31.5,34.5,2022,1,5,1.26
31.5,35.5,2022,1,5,1.29
32.5,34.5,2022,1,5,1.13
32.5,35.5,2022,1,5,1.04
29.5,34.5,2022,1,6,1.07
29.5,35.5,2022,1,6,0.93
30.5,34.5,2022,1,6,1.06
30.5,35.5,2022,1,6,0.81
31.5,34.5,2022,1,6,1.12
31.5,35.5,2022,1,6,0.81
32.5,34.5,2022,1,6,0.67
32.5,35.5,2022,1,6,0.75
29.5,34.5,2022,1,7,0.86
29.5,35.5,2022,1,7,0.92
30.5,34.5,2022,1,7,0.93
30.5,35.5,2022,1,7,0.87
31.5,34.5,2022,1,7,1.11
31.5,35.5,2022,1,7,0.91
32.5,34.5,2022,1,7,0.82
32.5,35.5,2022,1,7,0.74
29.5,34.5,2022,1,8,0.99
29.5,35.5,2022,1,8,0.88
30.5,34.5,2022,1,8,1.04
30.5,35.5,2022,1,8,0.87
31.5,34.5,2022,1,8,1.31
31.5,35.5,2022,1,8,0.91
32.5,34.5,2022,1,8,0.69
32.5,35.5,2022,1,8,0.85
29.5,34.5,2022,1,9,2.35
29.5,35.5,2022,1,9,2.21
30.5,34.5,2022,1,9,1.89
30.5,35.5,2022,1,9,1.93
31.5,34.5,2022,1,9,1.72
31.5,35.5,2022,1,9,1.68
32.5,34.5,2022,1,9,1.32
32.5,35.5,2022,1,9,1.53
29.5,34.5,2022,1,10,1.14
29.5,35.5,2022,1,10,1.47
30.5,34.5,2022,1,10,1.73
