-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2022 through 12/31/2022 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS50M_MAX     MERRA-2 Wind Speed at 50 Meters Maximum (m/s) 
-END HEADER-
LAT,LON,YEAR,MO,DY,WS50M_MAX
29.5,34.375,2022,1,1,4.32
29.5,35.0,2022,1,1,4.92
29.5,35.625,2022,1,1,5.36
30.0,34.375,2022,1,1,5.12
30.0,35.0,2022,1,1,4.05
30.0,35.625,2022,1,1,5.93
30.5,34.375,2022,1,1,4.84
30.5,35.0,2022,1,1,4.53
30.5,35.625,2022,1,1,9.48
31.0,34.375,2022,1,1,5.26
31.0,35.0,2022,1,1,5.17
31.0,35.625,2022,1,1,9.74
31.5,34.375,2022,1,1,5.41
31.5,35.0,2022,1,1,7.0
31.5,35.625,2022,1,1,8.84
32.0,34.375,2022,1,1,6.2
32.0,35.0,2022,1,1,7.73
32.0,35.625,2022,1,1,8.22
32.5,34.375,2022,1,1,7.67
32.5,35.0,2022,1,1,7.72
32.5,35.625,2022,1,1,6.6
33.0,34.375,2022,1,1,8.72
33.0,35.0,2022,1,1,8.68
33.0,35.625,2022,1,1,6.39
29.5,34.375,2022,1,2,7.05
29.5,35.0,2022,1,2,5.45
29.5,35.625,2022,1,2,5.52
30.0,34.375,2022,1,2,6.52
30.0,35.0,2022,1,2,4.94
30.0,35.625,2022,1,2,5.59
30.5,34.375,2022,1,2,5.84
30.5,35.0,2022,1,2,5.23
30.5,35.625,2022,1,2,6.04
31.0,34.375,2022,1,2,5.98
31.0,35.0,2022,1,2,5.68
31.0,35.625,2022,1,2,5.58
31.5,34.375,2022,1,2,5.95
31.5,35.0,2022,1,2,6.14
31.5,35.625,2022,1,2,6.4
32.0,34.375,2022,1,2,6.17
32.0,35.0,2022,1,2,6.23
32.0,35.625,2022,1,2,6.12
32.5,34.375,2022,1,2,6.07
32.5,35.0,2022,1,2,6.49
32.5,35.625,2022,1,2,5.44
33.0,34.375,2022,1,2,6.23
33.0,35.0,2022,1,2,6.69
33.0,35.625,2022,1,2,5.85
29.5,34.375,2022,1,3,8.11
29.5,35.0,2022,1,3,6.8
29.5,35.625,2022,1,3,7.92
30.0,34.375,2022,1,3,7.05
30.0,35.0,2022,1,3,6.34
30.0,35.625,2022,1,3,8.3
30.5,34.375,2022,1,3,6.05
30.5,35.0,2022,1,3,5.87
30.5,35.625,2022,1,3,6.88
31.0,34.375,2022,1,3,5.9
31.0,35.0,2022,1,3,5.31
31.0,35.625,2022,1,3,4.1
31.5,34.375,2022,1,3,5.67
31.5,35.0,2022,1,3,5.92
31.5,35.625,2022,1,3,3.86
32.0,34.375,2022,1,3,5.59
32.0,35.0,2022,1,3,5.16
32.0,35.625,2022,1,3,4.26
32.5,34.375,2022,1,3,5.64
32.5,35.0,2022,1,3,5.02
32.5,35.625,2022,1,3,4.74
33.0,34.375,2022,1,3,5.65
