-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
QV2M     MERRA-2 Specific Humidity at 2 Meters (g/kg) 
-END HEADER-
LAT,LON,YEAR,MO,DY,QV2M
29.5,34.375,2023,1,1,6.82
29.5,35.0,2023,1,1,6.93
29.5,35.625,2023,1,1,6.51
30.0,34.375,2023,1,1,6.77
30.0,35.0,2023,1,1,6.65
30.0,35.625,2023,1,1,6.41
30.5,34.375,2023,1,1,6.76
30.5,35.0,2023,1,1,6.73
30.5,35.625,2023,1,1,6.37
31.0,34.375,2023,1,1,6.77
31.0,35.0,2023,1,1,6.67
31.0,35.625,2023,1,1,6.34
31.5,34.375,2023,1,1,8.18
31.5,35.0,2023,1,1,6.58
31.5,35.625,2023,1,1,6.42
32.0,34.375,2023,1,1,8.86
32.0,35.0,2023,1,1,6.71
32.0,35.625,2023,1,1,6.03
32.5,34.375,2023,1,1,8.87
32.5,35.0,2023,1,1,6.92
32.5,35.625,2023,1,1,5.76
33.0,34.375,2023,1,1,8.7
33.0,35.0,2023,1,1,7.25
33.0,35.625,2023,1,1,5.46
29.5,34.375,2023,1,2,6.78
29.5,35.0,2023,1,2,6.91
29.5,35.625,2023,1,2,6.61
30.0,34.375,2023,1,2,6.83
30.0,35.0,2023,1,2,6.69
30.0,35.625,2023,1,2,6.39
30.5,34.375,2023,1,2,6.84
30.5,35.0,2023,1,2,6.68
30.5,35.625,2023,1,2,6.14
31.0,34.375,2023,1,2,6.72
31.0,35.0,2023,1,2,6.59
31.0,35.625,2023,1,2,6.1
31.5,34.375,2023,1,2,7.84
31.5,35.0,2023,1,2,6.29
31.5,35.625,2023,1,2,6.05
32.0,34.375,2023,1,2,8.52
32.0,35.0,2023,1,2,6.27
32.0,35.625,2023,1,2,5.56
32.5,34.375,2023,1,2,8.5
32.5,35.0,2023,1,2,6.53
32.5,35.625,2023,1,2,5.37
33.0,34.375,2023,1,2,8.17
33.0,35.0,2023,1,2,6.57
33.0,35.625,2023,1,2,4.63
29.5,34.375,2023,1,3,6.54
29.5,35.0,2023,1,3,6.72
29.5,35.625,2023,1,3,6.48
30.0,34.375,2023,1,3,6.62
30.0,35.0,2023,1,3,6.58
30.0,35.625,2023,1,3,6.35
30.5,34.375,2023,1,3,6.66
30.5,35.0,2023,1,3,6.71
30.5,35.625,2023,1,3,6.28
31.0,34.375,2023,1,3,6.73
