-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2023 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_PAR_TOT     CERES SYN1deg All Sky Surface Total PAR (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_PAR_TOT
29.5,34.5,2023,1,1,1.34
29.5,35.5,2023,1,1,0.77
30.5,34.5,2023,1,1,1.14
30.5,35.5,2023,1,1,0.91
31.5,34.5,2023,1,1,0.8
31.5,35.5,2023,1,1,0.86
32.5,34.5,2023,1,1,0.92
32.5,35.5,2023,1,1,0.91
29.5,34.5,2023,1,2,1.6
29.5,35.5,2023,1,2,1.06
30.5,34.5,2023,1,2,1.53
30.5,35.5,2023,1,2,1.07
31.5,34.5,2023,1,2,1.01
31.5,35.5,2023,1,2,0.72
32.5,34.5,2023,1,2,1.06
32.5,35.5,2023,1,2,0.9
29.5,34.5,2023,1,3,1.49
29.5,35.5,2023,1,3,1.12
30.5,34.5,2023,1,3,1.56
30.5,35.5,2023,1,3,1.07
31.5,34.5,2023,1,3,1.42
31.5,35.5,2023,1,3,1.09
32.5,34.5,2023,1,3,1.42
32.5,35.5,2023,1,3,1.27
29.5,34.5,2023,1,4,1.1
29.5,35.5,2023,1,4,1.01
30.5,34.5,2023,1,4,1.31
30.5,35.5,2023,1,4,0.89
31.5,34.5,2023,1,4,1.29
31.5,35.5,2023,1,4,0.87
32.5,34.5,2023,1,4,1.3
32.5,35.5,2023,1,4,1.11
29.5,34.5,2023,1,5,1.69
29.5,35.5,2023,1,5,1.78
30.5,34.5,2023,1,5,1.49
30.5,35.5,2023,1,5,1.53
31.5,34.5,2023,1,5,1.28
31.5,35.5,2023,1,5,1.36
32.5,34.5,2023,1,5,1.43
32.5,35.5,2023,1,5,1.22
29.5,34.5,2023,1,6,1.81
29.5,35.5,2023,1,6,1.82
30.5,34.5,2023,1,6,1.52
30.5,35.5,2023,1,6,1.55
31.5,34.5,2023,1,6,1.05
31.5,35.5,2023,1,6,0.82
32.5,34.5,2023,1,6,1.21
32.5,35.5,2023,1,6,0.99
29.5,34.5,2023,1,7,1.55
29.5,35.5,2023,1,7,1.71
30.5,34.5,2023,1,7,1.55
30.5,35.5,2023,1,7,1.64
31.5,34.5,2023,1,7,1.06
31.5,35.5,2023,1,7,1.25
32.5,34.5,2023,1,7,1.15
32.5,35.5,2023,1,7,0.91
29.5,34.5,2023,1,8,1.7
29.5,35.5,2023,1,8,1.78
30.5,34.5,2023,1,8,1.6
30.5,35.5,2023,1,8,1.65
31.5,34.5,2023,1,8,1.39
31.5,35.5,2023,1,8,1.53
32.5,34.5,2023,1,8,1.31
32.5,35.5,2023,1,8,1.46
29.5,34.5,2023,1,9,1.13
29.5,35.5,2023,1,9,0.99
30.5,34.5,2023,1,9,1.18
30.5,35.5,2023,1,9,0.74
31.5,34.5,2023,1,9,1.11
31.5,35.5,2023,1,9,0.78
32.5,34.5,2023,1,9,1.25
32.5,35.5,2023,1,9,1.12
29.5,34.5,2023,1,10,1.79
29.5,35.5,2023,1,10,1.61
30.5,34.5,2023,1,10,1.65
30.5,35.5,2023,1,10,1.58
31.5,34.5,2023,1,10,1.43
31.5,35.5,2023,1,10,1.41
32.5,34.5,2023,1,10,1.35
32.5,35.5,2023,1,10,1.42
29.5,34.5,2023,1,11,1.86
29.5,35.5,2023,1,11,1.85
30.5,34.5,2023,1,11,1.72
30.5,35.5,2023,1,11,1.71
31.5,34.5,2023,1,11,1.51
31.5,35.5,2023,1,11,1.54
32.5,34.5,2023,1,11,1.31
32.5,35.5,2023,1,11,1.41
29.5,34.5,2023,1,12,1.77
29.5,35.5,2023,1,12,1.86
30.5,34.5,2023,1,12,1.52
30.5,35.5,2023,1,12,1.67
31.5,34.5,2023,1,12,1.17
31.5,35.5,2023,1,12,1.31
32.5,34.5,2023,1,12,0.78
32.5,35.5,2023,1,12,0.9
29.5,34.5,2023,1,13,1.65
29.5,35.5,2023,1,13,1.74
30.5,34.5,2023,1,13,1.52
30.5,35.5,2023,1,13,1.51
31.5,34.5,2023,1,13,1.32
31.5,35.5,2023,1,13,1.41
32.5,34.5,2023,1,13,0.83
32.5,35.5,2023,1,13,1.0
29.5,34.5,2023,1,14,1.61
29.5,35.5,2023,1,14,1.78
30.5,34.5,2023,1,14,1.41
30.5,35.5,2023,1,14,1.26
31.5,34.5,2023,1,14,1.13
31.5,35.5,2023,1,14,0.88
32.5,34.5,2023,1,14,0.76
32.5,35.5,2023,1,14,0.53
29.5,34.5,2023,1,15,1.84
29.5,35.5,2023,1,15,1.9
30.5,34.5,2023,1,15,1.67
30.5,35.5,2023,1,15,1.68
31.5,34.5,2023,1,15,1.49
31.5,35.5,2023,1,15,1.44
32.5,34.5,2023,1,15,0.98
32.5,35.5,2023,1,15,1.09
29.5,34.5,2023,1,16,1.5
29.5,35.5,2023,1,16,1.73
30.5,34.5,2023,1,16,1.24
30.5,35.5,2023,1,16,1.46
31.5,34.5,2023,1,16,0.96
31.5,35.5,2023,1,16,1.23
32.5,34.5,2023,1,16,1.01
32.5,35.5,2023,1,16,1.21
29.5,34.5,2023,1,17,1.92
29.5,35.5,2023,1,17,1.91
30.5,34.5,2023,1,17,1.78
30.5,35.5,2023,1,17,1.81
31.5,34.5,2023,1,17,1.63
31.5,35.5,2023,1,17,1.72
32.5,34.5,2023,1,17,1.41
32.5,35.5,2023,1,17,1.47
29.5,34.5,2023,1,18,1.93
29.5,35.5,2023,1,18,1.92
30.5,34.5,2023,1,18,1.85
