-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (W m-2 x 40) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_UV_INDEX
29.5,34.5,2024,1,1,0.86
29.5,35.5,2024,1,1,0.88
30.5,34.5,2024,1,1,0.73
30.5,35.5,2024,1,1,0.77
31.5,34.5,2024,1,1,0.64
31.5,35.5,2024,1,1,0.69
32.5,34.5,2024,1,1,0.54
32.5,35.5,2024,1,1,0.56
29.5,34.5,2024,1,2,0.79
29.5,35.5,2024,1,2,0.87
30.5,34.5,2024,1,2,0.59
30.5,35.5,2024,1,2,0.63
31.5,34.5,2024,1,2,0.49
31.5,35.5,2024,1,2,0.54
32.5,34.5,2024,1,2,0.48
32.5,35.5,2024,1,2,0.46
29.5,34.5,2024,1,3,0.74
29.5,35.5,2024,1,3,0.75
30.5,34.5,2024,1,3,0.63
30.5,35.5,2024,1,3,0.62
31.5,34.5,2024,1,3,0.48
31.5,35.5,2024,1,3,0.52
32.5,34.5,2024,1,3,0.54
32.5,35.5,2024,1,3,0.41
29.5,34.5,2024,1,4,0.74
29.5,35.5,2024,1,4,0.75
30.5,34.5,2024,1,4,0.68
30.5,35.5,2024,1,4,0.7
31.5,34.5,2024,1,4,0.61
31.5,35.5,2024,1,4,0.63
32.5,34.5,2024,1,4,0.54
32.5,35.5,2024,1,4,0.54
29.5,34.5,2024,1,5,0.77
29.5,35.5,2024,1,5,0.78
30.5,34.5,2024,1,5,0.7
30.5,35.5,2024,1,5,0.71
31.5,34.5,2024,1,5,0.58
31.5,35.5,2024,1,5,0.61
32.5,34.5,2024,1,5,0.56
32.5,35.5,2024,1,5,0.4
29.5,34.5,2024,1,6,0.83
29.5,35.5,2024,1,6,0.84
30.5,34.5,2024,1,6,0.8
30.5,35.5,2024,1,6,0.8
31.5,34.5,2024,1,6,0.7
31.5,35.5,2024,1,6,0.73
32.5,34.5,2024,1,6,0.62
32.5,35.5,2024,1,6,0.63
29.5,34.5,2024,1,7,0.84
29.5,35.5,2024,1,7,0.84
30.5,34.5,2024,1,7,0.77
30.5,35.5,2024,1,7,0.76
31.5,34.5,2024,1,7,0.66
31.5,35.5,2024,1,7,0.67
32.5,34.5,2024,1,7,0.61
32.5,35.5,2024,1,7,0.59
29.5,34.5,2024,1,8,0.77
29.5,35.5,2024,1,8,0.81
30.5,34.5,2024,1,8,0.68
30.5,35.5,2024,1,8,0.66
31.5,34.5,2024,1,8,0.59
31.5,35.5,2024,1,8,0.6
32.5,34.5,2024,1,8,0.52
32.5,35.5,2024,1,8,0.51
29.5,34.5,2024,1,9,0.74
29.5,35.5,2024,1,9,0.72
30.5,34.5,2024,1,9,0.66
30.5,35.5,2024,1,9,0.67
31.5,34.5,2024,1,9,0.56
31.5,35.5,2024,1,9,0.6
32.5,34.5,2024,1,9,0.51
32.5,35.5,2024,1,9,0.56
29.5,34.5,2024,1,10,0.78
29.5,35.5,2024,1,10,0.8
30.5,34.5,2024,1,10,0.66
30.5,35.5,2024,1,10,0.71
31.5,34.5,2024,1,10,0.6
31.5,35.5,2024,1,10,0.65
32.5,34.5,2024,1,10,0.52
32.5,35.5,2024,1,10,0.5
29.5,34.5,2024,1,11,0.71
29.5,35.5,2024,1,11,0.77
30.5,34.5,2024,1,11,0.63
30.5,35.5,2024,1,11,0.63
31.5,34.5,2024,1,11,0.43
31.5,35.5,2024,1,11,0.38
32.5,34.5,2024,1,11,0.47
32.5,35.5,2024,1,11,0.37
29.5,34.5,2024,1,12,0.75
29.5,35.5,2024,1,12,0.77
30.5,34.5,2024,1,12,0.66
30.5,35.5,2024,1,12,0.62
31.5,34.5,2024,1,12,0.44
31.5,35.5,2024,1,12,0.35
32.5,34.5,2024,1,12,0.45
32.5,35.5,2024,1,12,0.33
29.5,34.5,2024,1,13,0.8
29.5,35.5,2024,1,13,0.82
30.5,34.5,2024,1,13,0.69
30.5,35.5,2024,1,13,0.68
31.5,34.5,2024,1,13,0.59
31.5,35.5,2024,1,13,0.61
32.5,34.5,2024,1,13,0.48
32.5,35.5,2024,1,13,0.48
29.5,34.5,2024,1,14,0.64
29.5,35.5,2024,1,14,0.76
30.5,34.5,2024,1,14,0.56
30.5,35.5,2024,1,14,0.55
31.5,34.5,2024,1,14,0.47
31.5,35.5,2024,1,14,0.39
32.5,34.5,2024,1,14,0.5
32.5,35.5,2024,1,14,0.4
29.5,34.5,2024,1,15,0.72
29.5,35.5,2024,1,15,0.72
30.5,34.5,2024,1,15,0.64
30.5,35.5,2024,1,15,0.64
31.5,34.5,2024,1,15,0.47
31.5,35.5,2024,1,15,0.54
32.5,34.5,2024,1,15,0.45
32.5,35.5,2024,1,15,0.41
29.5,34.5,2024,1,16,0.83
29.5,35.5,2024,1,16,0.86
30.5,34.5,2024,1,16,0.72
30.5,35.5,2024,1,16,0.75
31.5,34.5,2024,1,16,0.63
31.5,35.5,2024,1,16,0.66
32.5,34.5,2024,1,16,0.52
32.5,35.5,2024,1,16,0.56
29.5,34.5,2024,1,17,0.8
29.5,35.5,2024,1,17,0.83
30.5,34.5,2024,1,17,0.62
30.5,35.5,2024,1,17,0.66
31.5,34.5,2024,1,17,0.49
31.5,35.5,2024,1,17,0.54
32.5,34.5,2024,1,17,0.42
32.5,35.5,2024,1,17,0.41
29.5,34.5,2024,1,18,0.79
29.5,35.5,2024,1,18,0.76
30.5,34.5,2024,1,18,0.71
30.5,35.5,2024,1,18,0.71
31.5,34.5,2024,1,18,0.64
31.5,35.5,2024,1,18,0.64
32.5,34.5,2024,1,18,0.58
32.5,35.5,2024,1,18,0.6
29.5,34.5,2024,1,19,0.96
29.5,35.5,2024,1,19,0.94
30.5,34.5,2024,1,19,0.88
30.5,35.5,2024,1,19,0.87
31.5,34.5,2024,1,19,0.75
31.5,35.5,2024,1,19,0.77
32.5,34.5,2024,1,19,0.71
32.5,35.5,2024,1,19,0.69
