-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
WS50M_MIN     MERRA-2 Wind Speed at 50 Meters Minimum (m/s) 
-END HEADER-
LAT,LON,YEAR,MO,DY,WS50M_MIN
29.5,34.375,2024,1,1,1.66
29.5,35.0,2024,1,1,0.77
29.5,35.625,2024,1,1,2.75
30.0,34.375,2024,1,1,1.4
30.0,35.0,2024,1,1,1.02
30.0,35.625,2024,1,1,2.5
30.5,34.375,2024,1,1,1.46
30.5,35.0,2024,1,1,0.88
30.5,35.625,2024,1,1,2.2
31.0,34.375,2024,1,1,1.11
31.0,35.0,2024,1,1,0.8
31.0,35.625,2024,1,1,0.14
31.5,34.375,2024,1,1,0.77
31.5,35.0,2024,1,1,0.81
31.5,35.625,2024,1,1,0.92
32.0,34.375,2024,1,1,1.67
32.0,35.0,2024,1,1,1.84
32.0,35.625,2024,1,1,2.66
32.5,34.375,2024,1,1,1.86
32.5,35.0,2024,1,1,1.64
32.5,35.625,2024,1,1,1.48
33.0,34.375,2024,1,1,1.47
33.0,35.0,2024,1,1,0.71
33.0,35.625,2024,1,1,0.94
29.5,34.375,2024,1,2,5.48
29.5,35.0,2024,1,2,2.25
29.5,35.625,2024,1,2,0.79
30.0,34.375,2024,1,2,3.55
30.0,35.0,2024,1,2,1.49
30.0,35.625,2024,1,2,2.24
30.5,34.375,2024,1,2,2.58
30.5,35.0,2024,1,2,0.68
30.5,35.625,2024,1,2,2.2
31.0,34.375,2024,1,2,2.94
31.0,35.0,2024,1,2,0.55
31.0,35.625,2024,1,2,0.96
31.5,34.375,2024,1,2,2.93
31.5,35.0,2024,1,2,0.41
31.5,35.625,2024,1,2,0.61
32.0,34.375,2024,1,2,2.77
32.0,35.0,2024,1,2,1.05
32.0,35.625,2024,1,2,0.49
32.5,34.375,2024,1,2,2.83
32.5,35.0,2024,1,2,1.02
32.5,35.625,2024,1,2,0.41
33.0,34.375,2024,1,2,1.55
33.0,35.0,2024,1,2,0.57
33.0,35.625,2024,1,2,0.46
29.5,34.375,2024,1,3,2.46
29.5,35.0,2024,1,3,2.14
29.5,35.625,2024,1,3,2.07
30.0,34.375,2024,1,3,1.0
30.0,35.0,2024,1,3,1.33
30.0,35.625,2024,1,3,0.3
30.5,34.375,2024,1,3,0.09
30.5,35.0,2024,1,3,0.26
30.5,35.625,2024,1,3,0.44
31.0,34.375,2024,1,3,1.19
31.0,35.0,2024,1,3,0.71
31.0,35.625,2024,1,3,1.17
31.5,34.375,2024,1,3,2.07
31.5,35.0,2024,1,3,1.62
31.5,35.625,2024,1,3,0.11
32.0,34.375,2024,1,3,2.43
32.0,35.0,2024,1,3,1.37
32.0,35.625,2024,1,3,0.42
32.5,34.375,2024,1,3,2.14
32.5,35.0,2024,1,3,1.27
32.5,35.625,2024,1,3,0.32
33.0,34.375,2024,1,3,2.36
33.0,35.0,2024,1,3,2.09
33.0,35.625,2024,1,3,0.34
29.5,34.375,2024,1,4,0.31
29.5,35.0,2024,1,4,1.27
29.5,35.625,2024,1,4,0.73
30.0,34.375,2024,1,4,0.59
30.0,35.0,2024,1,4,0.86
30.0,35.625,2024,1,4,1.79
30.5,34.375,2024,1,4,0.67
30.5,35.0,2024,1,4,0.89
30.5,35.625,2024,1,4,2.33
31.0,34.375,2024,1,4,0.14
31.0,35.0,2024,1,4,1.0
31.0,35.625,2024,1,4,1.47
31.5,34.375,2024,1,4,2.04
31.5,35.0,2024,1,4,0.43
31.5,35.625,2024,1,4,0.38
32.0,34.375,2024,1,4,2.53
32.0,35.0,2024,1,4,1.29
32.0,35.625,2024,1,4,1.02
32.5,34.375,2024,1,4,2.3
32.5,35.0,2024,1,4,2.25
32.5,35.625,2024,1,4,0.41
33.0,34.375,2024,1,4,2.91
33.0,35.0,2024,1,4,3.32
33.0,35.625,2024,1,4,0.13
29.5,34.375,2024,1,5,3.59
29.5,35.0,2024,1,5,3.64
29.5,35.625,2024,1,5,1.08
30.0,34.375,2024,1,5,0.83
30.0,35.0,2024,1,5,2.07
30.0,35.625,2024,1,5,1.24
30.5,34.375,2024,1,5,0.33
30.5,35.0,2024,1,5,0.26
30.5,35.625,2024,1,5,0.28
31.0,34.375,2024,1,5,0.43
31.0,35.0,2024,1,5,0.9
31.0,35.625,2024,1,5,0.58
31.5,34.375,2024,1,5,3.12
31.5,35.0,2024,1,5,2.06
31.5,35.625,2024,1,5,0.51
32.0,34.375,2024,1,5,3.77
32.0,35.0,2024,1,5,2.74
32.0,35.625,2024,1,5,1.1
32.5,34.375,2024,1,5,3.62
32.5,35.0,2024,1,5,2.85
32.5,35.625,2024,1,5,2.21
33.0,34.375,2024,1,5,3.15
33.0,35.0,2024,1,5,2.64
33.0,35.625,2024,1,5,0.41
29.5,34.375,2024,1,6,1.69
29.5,35.0,2024,1,6,1.94
29.5,35.625,2024,1,6,4.98
30.0,34.375,2024,1,6,2.72
30.0,35.0,2024,1,6,2.39
30.0,35.625,2024,1,6,4.38
30.5,34.375,2024,1,6,3.36
30.5,35.0,2024,1,6,2.35
30.5,35.625,2024,1,6,3.16
31.0,34.375,2024,1,6,0.21
31.0,35.0,2024,1,6,1.02
31.0,35.625,2024,1,6,2.13
31.5,34.375,2024,1,6,1.6
31.5,35.0,2024,1,6,0.65
31.5,35.625,2024,1,6,1.69
32.0,34.375,2024,1,6,0.88
32.0,35.0,2024,1,6,1.4
32.0,35.625,2024,1,6,1.13
32.5,34.375,2024,1,6,0.29
32.5,35.0,2024,1,6,1.15
32.5,35.625,2024,1,6,1.93
33.0,34.375,2024,1,6,0.54
33.0,35.0,2024,1,6,0.94
33.0,35.625,2024,1,6,0.24
29.5,34.375,2024,1,7,2.45
29.5,35.0,2024,1,7,2.06
29.5,35.625,2024,1,7,2.33
30.0,34.375,2024,1,7,1.22
30.0,35.0,2024,1,7,2.39
30.0,35.625,2024,1,7,3.02
30.5,34.375,2024,1,7,0.82
30.5,35.0,2024,1,7,1.8
30.5,35.625,2024,1,7,4.51
31.0,34.375,2024,1,7,0.9
31.0,35.0,2024,1,7,1.21
31.0,35.625,2024,1,7,3.07
31.5,34.375,2024,1,7,1.22
31.5,35.0,2024,1,7,0.37
31.5,35.625,2024,1,7,0.23
32.0,34.375,2024,1,7,0.47
32.0,35.0,2024,1,7,0.37
32.0,35.625,2024,1,7,0.85
32.5,34.375,2024,1,7,2.16
32.5,35.0,2024,1,7,1.29
32.5,35.625,2024,1,7,1.81
33.0,34.375,2024,1,7,3.84
33.0,35.0,2024,1,7,1.98
33.0,35.625,2024,1,7,3.18
29.5,34.375,2024,1,8,0.51
29.5,35.0,2024,1,8,0.39
29.5,35.625,2024,1,8,2.27
30.0,34.375,2024,1,8,1.54
30.0,35.0,2024,1,8,1.59
30.0,35.625,2024,1,8,0.59
30.5,34.375,2024,1,8,2.21
30.5,35.0,2024,1,8,2.08
30.5,35.625,2024,1,8,0.58
31.0,34.375,2024,1,8,2.36
31.0,35.0,2024,1,8,1.83
31.0,35.625,2024,1,8,1.05
31.5,34.375,2024,1,8,1.0
31.5,35.0,2024,1,8,1.29
31.5,35.625,2024,1,8,1.02
32.0,34.375,2024,1,8,0.28
32.0,35.0,2024,1,8,0.68
32.0,35.625,2024,1,8,1.61
32.5,34.375,2024,1,8,0.67
32.5,35.0,2024,1,8,0.86
32.5,35.625,2024,1,8,1.38
33.0,34.375,2024,1,8,0.98
33.0,35.0,2024,1,8,1.79
33.0,35.625,2024,1,8,1.66
29.5,34.375,2024,1,9,3.13
29.5,35.0,2024,1,9,2.14
29.5,35.625,2024,1,9,3.18
30.0,34.375,2024,1,9,0.61
30.0,35.0,2024,1,9,1.34
30.0,35.625,2024,1,9,3.36
30.5,34.375,2024,1,9,2.45
30.5,35.0,2024,1,9,0.57
30.5,35.625,2024,1,9,1.09
31.0,34.375,2024,1,9,0.63
31.0,35.0,2024,1,9,0.79
31.0,35.625,2024,1,9,0.71
31.5,34.375,2024,1,9,1.2
31.5,35.0,2024,1,9,1.0
31.5,35.625,2024,1,9,0.46
32.0,34.375,2024,1,9,0.94
32.0,35.0,2024,1,9,1.33
32.0,35.625,2024,1,9,0.58
32.5,34.375,2024,1,9,0.64
32.5,35.0,2024,1,9,2.14
32.5,35.625,2024,1,9,2.04
33.0,34.375,2024,1,9,0.93
33.0,35.0,2024,1,9,3.77
33.0,35.625,2024,1,9,1.63
29.5,34.375,2024,1,10,3.54
29.5,35.0,2024,1,10,2.38
29.5,35.625,2024,1,10,2.98
30.0,34.375,2024,1,10,0.28
30.0,35.0,2024,1,10,0.25
30.0,35.625,2024,1,10,3.78
30.5,34.375,2024,1,10,2.8
30.5,35.0,2024,1,10,0.64
30.5,35.625,2024,1,10,1.54
31.0,34.375,2024,1,10,4.25
31.0,35.0,2024,1,10,0.57
31.0,35.625,2024,1,10,1.96
31.5,34.375,2024,1,10,5.63
31.5,35.0,2024,1,10,1.67
31.5,35.625,2024,1,10,2.48
32.0,34.375,2024,1,10,8.11
32.0,35.0,2024,1,10,4.43
32.0,35.625,2024,1,10,1.76
32.5,34.375,2024,1,10,8.24
32.5,35.0,2024,1,10,6.1
32.5,35.625,2024,1,10,2.63
33.0,34.375,2024,1,10,7.85
33.0,35.0,2024,1,10,6.69
33.0,35.625,2024,1,10,2.9
29.5,34.375,2024,1,11,4.7
29.5,35.0,2024,1,11,2.83
29.5,35.625,2024,1,11,4.22
30.0,34.375,2024,1,11,3.49
30.0,35.0,2024,1,11,2.24
30.0,35.625,2024,1,11,4.44
30.5,34.375,2024,1,11,3.47
30.5,35.0,2024,1,11,4.12
30.5,35.625,2024,1,11,4.09
31.0,34.375,2024,1,11,6.23
31.0,35.0,2024,1,11,5.22
31.0,35.625,2024,1,11,5.03
31.5,34.375,2024,1,11,7.01
31.5,35.0,2024,1,11,5.87
31.5,35.625,2024,1,11,4.73
32.0,34.375,2024,1,11,8.22
32.0,35.0,2024,1,11,6.6
32.0,35.625,2024,1,11,3.72
32.5,34.375,2024,1,11,8.07
32.5,35.0,2024,1,11,5.66
32.5,35.625,2024,1,11,3.07
33.0,34.375,2024,1,11,6.08
33.0,35.0,2024,1,11,5.34
33.0,35.625,2024,1,11,3.55
29.5,34.375,2024,1,12,4.74
29.5,35.0,2024,1,12,1.23
29.5,35.625,2024,1,12,3.94
30.0,34.375,2024,1,12,3.62
30.0,35.0,2024,1,12,2.36
30.0,35.625,2024,1,12,5.19
30.5,34.375,2024,1,12,3.14
30.5,35.0,2024,1,12,2.91
30.5,35.625,2024,1,12,3.72
31.0,34.375,2024,1,12,4.6
31.0,35.0,2024,1,12,3.88
31.0,35.625,2024,1,12,3.19
31.5,34.375,2024,1,12,7.2
31.5,35.0,2024,1,12,6.07
31.5,35.625,2024,1,12,4.52
32.0,34.375,2024,1,12,9.24
32.0,35.0,2024,1,12,7.13
32.0,35.625,2024,1,12,4.9
32.5,34.375,2024,1,12,9.55
32.5,35.0,2024,1,12,7.09
32.5,35.625,2024,1,12,4.33
33.0,34.375,2024,1,12,9.27
33.0,35.0,2024,1,12,7.25
33.0,35.625,2024,1,12,3.81
29.5,34.375,2024,1,13,4.8
29.5,35.0,2024,1,13,1.22
29.5,35.625,2024,1,13,3.53
30.0,34.375,2024,1,13,4.86
30.0,35.0,2024,1,13,4.14
30.0,35.625,2024,1,13,4.82
30.5,34.375,2024,1,13,5.71
30.5,35.0,2024,1,13,5.18
30.5,35.625,2024,1,13,5.25
31.0,34.375,2024,1,13,7.21
31.0,35.0,2024,1,13,4.31
31.0,35.625,2024,1,13,4.66
31.5,34.375,2024,1,13,7.6
31.5,35.0,2024,1,13,4.11
31.5,35.625,2024,1,13,3.25
32.0,34.375,2024,1,13,9.45
32.0,35.0,2024,1,13,5.42
32.0,35.625,2024,1,13,2.49
32.5,34.375,2024,1,13,10.7
32.5,35.0,2024,1,13,7.14
32.5,35.625,2024,1,13,3.81
33.0,34.375,2024,1,13,9.65
33.0,35.0,2024,1,13,8.56
33.0,35.625,2024,1,13,4.65
29.5,34.375,2024,1,14,3.32
29.5,35.0,2024,1,14,2.42
29.5,35.625,2024,1,14,2.98
30.0,34.375,2024,1,14,3.61
30.0,35.0,2024,1,14,2.57
30.0,35.625,2024,1,14,3.99
30.5,34.375,2024,1,14,2.58
30.5,35.0,2024,1,14,2.19
30.5,35.625,2024,1,14,2.37
31.0,34.375,2024,1,14,3.79
31.0,35.0,2024,1,14,3.19
31.0,35.625,2024,1,14,0.74
31.5,34.375,2024,1,14,5.92
31.5,35.0,2024,1,14,4.76
31.5,35.625,2024,1,14,2.05
32.0,34.375,2024,1,14,6.76
32.0,35.0,2024,1,14,5.46
32.0,35.625,2024,1,14,3.13
32.5,34.375,2024,1,14,7.02
32.5,35.0,2024,1,14,5.4
32.5,35.625,2024,1,14,3.05
33.0,34.375,2024,1,14,5.74
33.0,35.0,2024,1,14,5.33
33.0,35.625,2024,1,14,2.57
29.5,34.375,2024,1,15,3.35
29.5,35.0,2024,1,15,3.19
29.5,35.625,2024,1,15,0.94
30.0,34.375,2024,1,15,0.92
30.0,35.0,2024,1,15,1.08
30.0,35.625,2024,1,15,1.57
30.5,34.375,2024,1,15,1.61
30.5,35.0,2024,1,15,0.98
30.5,35.625,2024,1,15,0.96
31.0,34.375,2024,1,15,0.57
31.0,35.0,2024,1,15,1.16
31.0,35.625,2024,1,15,0.82
31.5,34.375,2024,1,15,2.29
31.5,35.0,2024,1,15,0.41
31.5,35.625,2024,1,15,0.82
32.0,34.375,2024,1,15,3.89
32.0,35.0,2024,1,15,2.5
32.0,35.625,2024,1,15,0.98
32.5,34.375,2024,1,15,4.56
32.5,35.0,2024,1,15,2.73
32.5,35.625,2024,1,15,0.95
33.0,34.375,2024,1,15,4.52
33.0,35.0,2024,1,15,3.33
33.0,35.625,2024,1,15,0.48
29.5,34.375,2024,1,16,0.28
29.5,35.0,2024,1,16,0.94
29.5,35.625,2024,1,16,0.65
30.0,34.375,2024,1,16,0.44
30.0,35.0,2024,1,16,1.6
30.0,35.625,2024,1,16,1.81
30.5,34.375,2024,1,16,1.7
30.5,35.0,2024,1,16,1.02
30.5,35.625,2024,1,16,2.42
31.0,34.375,2024,1,16,1.73
31.0,35.0,2024,1,16,1.05
31.0,35.625,2024,1,16,1.86
31.5,34.375,2024,1,16,0.92
31.5,35.0,2024,1,16,0.62
31.5,35.625,2024,1,16,2.01
32.0,34.375,2024,1,16,2.5
32.0,35.0,2024,1,16,0.58
32.0,35.625,2024,1,16,1.91
32.5,34.375,2024,1,16,3.71
32.5,35.0,2024,1,16,0.97
32.5,35.625,2024,1,16,2.1
33.0,34.375,2024,1,16,4.87
33.0,35.0,2024,1,16,2.74
33.0,35.625,2024,1,16,1.95
29.5,34.375,2024,1,17,3.72
29.5,35.0,2024,1,17,3.2
29.5,35.625,2024,1,17,1.8
30.0,34.375,2024,1,17,0.84
30.0,35.0,2024,1,17,2.46
30.0,35.625,2024,1,17,0.86
30.5,34.375,2024,1,17,0.77
30.5,35.0,2024,1,17,1.83
30.5,35.625,2024,1,17,0.78
31.0,34.375,2024,1,17,0.95
31.0,35.0,2024,1,17,1.47
31.0,35.625,2024,1,17,0.59
31.5,34.375,2024,1,17,0.96
31.5,35.0,2024,1,17,0.89
31.5,35.625,2024,1,17,0.35
32.0,34.375,2024,1,17,2.89
32.0,35.0,2024,1,17,0.12
32.0,35.625,2024,1,17,1.57
32.5,34.375,2024,1,17,2.46
32.5,35.0,2024,1,17,1.88
32.5,35.625,2024,1,17,1.66
33.0,34.375,2024,1,17,2.26
33.0,35.0,2024,1,17,3.67
33.0,35.625,2024,1,17,1.86
29.5,34.375,2024,1,18,1.34
