-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_UVB     CERES SYN1deg All Sky Surface UVB Irradiance (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_UVB
29.5,34.5,2024,1,1,0.0
29.5,35.5,2024,1,1,0.0
30.5,34.5,2024,1,1,0.0
30.5,35.5,2024,1,1,0.0
31.5,34.5,2024,1,1,0.0
31.5,35.5,2024,1,1,0.0
32.5,34.5,2024,1,1,0.0
32.5,35.5,2024,1,1,0.0
29.5,34.5,2024,1,2,0.0
29.5,35.5,2024,1,2,0.0
30.5,34.5,2024,1,2,0.0
30.5,35.5,2024,1,2,0.0
31.5,34.5,2024,1,2,0.0
31.5,35.5,2024,1,2,0.0
32.5,34.5,2024,1,2,0.0
32.5,35.5,2024,1,2,0.0
29.5,34.5,2024,1,3,0.0
29.5,35.5,2024,1,3,0.0
30.5,34.5,2024,1,3,0.0
30.5,35.5,2024,1,3,0.0
31.5,34.5,2024,1,3,0.0
31.5,35.5,2024,1,3,0.0
32.5,34.5,2024,1,3,0.0
32.5,35.5,2024,1,3,0.0
29.5,34.5,2024,1,4,0.0
29.5,35.5,2024,1,4,0.0
30.5,34.5,2024,1,4,0.0
30.5,35.5,2024,1,4,0.0
31.5,34.5,2024,1,4,0.0
31.5,35.5,2024,1,4,0.0
32.5,34.5,2024,1,4,0.0
32.5,35.5,2024,1,4,0.0
29.5,34.5,2024,1,5,0.0
29.5,35.5,2024,1,5,0.0
30.5,34.5,2024,1,5,0.0
30.5,35.5,2024,1,5,0.0
31.5,34.5,2024,1,5,0.0
31.5,35.5,2024,1,5,0.0
32.5,34.5,2024,1,5,0.0
32.5,35.5,2024,1,5,0.0
29.5,34.5,2024,1,6,0.0
29.5,35.5,2024,1,6,0.0
30.5,34.5,2024,1,6,0.0
30.5,35.5,2024,1,6,0.0
31.5,34.5,2024,1,6,0.0
31.5,35.5,2024,1,6,0.0
32.5,34.5,2024,1,6,0.0
32.5,35.5,2024,1,6,0.0
29.5,34.5,2024,1,7,0.0
29.5,35.5,2024,1,7,0.0
30.5,34.5,2024,1,7,0.0
30.5,35.5,2024,1,7,0.0
31.5,34.5,2024,1,7,0.0
31.5,35.5,2024,1,7,0.0
32.5,34.5,2024,1,7,0.0
32.5,35.5,2024,1,7,0.0
29.5,34.5,2024,1,8,0.0
29.5,35.5,2024,1,8,0.0
30.5,34.5,2024,1,8,0.0
30.5,35.5,2024,1,8,0.0
31.5,34.5,2024,1,8,0.0
31.5,35.5,2024,1,8,0.0
32.5,34.5,2024,1,8,0.0
32.5,35.5,2024,1,8,0.0
29.5,34.5,2024,1,9,0.0
29.5,35.5,2024,1,9,0.0
30.5,34.5,2024,1,9,0.0
30.5,35.5,2024,1,9,0.0
31.5,34.5,2024,1,9,0.0
31.5,35.5,2024,1,9,0.0
32.5,34.5,2024,1,9,0.0
32.5,35.5,2024,1,9,0.0
29.5,34.5,2024,1,10,0.0
29.5,35.5,2024,1,10,0.0
30.5,34.5,2024,1,10,0.0
