-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
29.5,34.0,2024,1,1,-999.0
29.5,34.5,2024,1,1,3.96
29.5,35.0,2024,1,1,-999.0
29.5,35.5,2024,1,1,4.08
29.5,36.0,2024,1,1,-999.0
30.0,34.0,2024,1,1,-999.0
30.0,34.5,2024,1,1,-999.0
30.0,35.0,2024,1,1,-999.0
30.0,35.5,2024,1,1,-999.0
30.0,36.0,2024,1,1,-999.0
30.5,34.0,2024,1,1,-999.0
30.5,34.5,2024,1,1,3.52
30.5,35.0,2024,1,1,-999.0
30.5,35.5,2024,1,1,3.78
30.5,36.0,2024,1,1,-999.0
31.0,34.0,2024,1,1,-999.0
31.0,34.5,2024,1,1,-999.0
31.0,35.0,2024,1,1,-999.0
31.0,35.5,2024,1,1,-999.0
31.0,36.0,2024,1,1,-999.0
31.5,34.0,2024,1,1,-999.0
31.5,34.5,2024,1,1,3.25
31.5,35.0,2024,1,1,-999.0
31.5,35.5,2024,1,1,3.54
31.5,36.0,2024,1,1,-999.0
32.0,34.0,2024,1,1,-999.0
32.0,34.5,2024,1,1,-999.0
32.0,35.0,2024,1,1,-999.0
32.0,35.5,2024,1,1,-999.0
32.0,36.0,2024,1,1,-999.0
32.5,34.0,2024,1,1,-999.0
32.5,34.5,2024,1,1,3.09
32.5,35.0,2024,1,1,-999.0
32.5,35.5,2024,1,1,3.33
32.5,36.0,2024,1,1,-999.0
33.0,34.0,2024,1,1,-999.0
33.0,34.5,2024,1,1,-999.0
33.0,35.0,2024,1,1,-999.0
33.0,35.5,2024,1,1,-999.0
33.0,36.0,2024,1,1,-999.0
29.5,34.0,2024,1,2,-999.0
29.5,34.5,2024,1,2,3.48
29.5,35.0,2024,1,2,-999.0
29.5,35.5,2024,1,2,3.94
29.5,36.0,2024,1,2,-999.0
30.0,34.0,2024,1,2,-999.0
30.0,34.5,2024,1,2,-999.0
30.0,35.0,2024,1,2,-999.0
30.0,35.5,2024,1,2,-999.0
30.0,36.0,2024,1,2,-999.0
30.5,34.0,2024,1,2,-999.0
30.5,34.5,2024,1,2,2.91
30.5,35.0,2024,1,2,-999.0
30.5,35.5,2024,1,2,3.18
30.5,36.0,2024,1,2,-999.0
31.0,34.0,2024,1,2,-999.0
31.0,34.5,2024,1,2,-999.0
31.0,35.0,2024,1,2,-999.0
31.0,35.5,2024,1,2,-999.0
31.0,36.0,2024,1,2,-999.0
31.5,34.0,2024,1,2,-999.0
31.5,34.5,2024,1,2,2.44
31.5,35.0,2024,1,2,-999.0
31.5,35.5,2024,1,2,2.77
31.5,36.0,2024,1,2,-999.0
32.0,34.0,2024,1,2,-999.0
32.0,34.5,2024,1,2,-999.0
32.0,35.0,2024,1,2,-999.0
32.0,35.5,2024,1,2,-999.0
32.0,36.0,2024,1,2,-999.0
32.5,34.0,2024,1,2,-999.0
32.5,34.5,2024,1,2,2.9
32.5,35.0,2024,1,2,-999.0
32.5,35.5,2024,1,2,2.81
32.5,36.0,2024,1,2,-999.0
33.0,34.0,2024,1,2,-999.0
33.0,34.5,2024,1,2,-999.0
33.0,35.0,2024,1,2,-999.0
33.0,35.5,2024,1,2,-999.0
33.0,36.0,2024,1,2,-999.0
29.5,34.0,2024,1,3,-999.0
29.5,34.5,2024,1,3,4.02
29.5,35.0,2024,1,3,-999.0
29.5,35.5,2024,1,3,4.05
29.5,36.0,2024,1,3,-999.0
30.0,34.0,2024,1,3,-999.0
30.0,34.5,2024,1,3,-999.0
30.0,35.0,2024,1,3,-999.0
30.0,35.5,2024,1,3,-999.0
30.0,36.0,2024,1,3,-999.0
30.5,34.0,2024,1,3,-999.0
30.5,34.5,2024,1,3,3.77
30.5,35.0,2024,1,3,-999.0
30.5,35.5,2024,1,3,3.63
30.5,36.0,2024,1,3,-999.0
31.0,34.0,2024,1,3,-999.0
31.0,34.5,2024,1,3,-999.0
31.0,35.0,2024,1,3,-999.0
31.0,35.5,2024,1,3,-999.0
31.0,36.0,2024,1,3,-999.0
31.5,34.0,2024,1,3,-999.0
31.5,34.5,2024,1,3,2.42
31.5,35.0,2024,1,3,-999.0
31.5,35.5,2024,1,3,2.96
31.5,36.0,2024,1,3,-999.0
32.0,34.0,2024,1,3,-999.0
32.0,34.5,2024,1,3,-999.0
32.0,35.0,2024,1,3,-999.0
32.0,35.5,2024,1,3,-999.0
32.0,36.0,2024,1,3,-999.0
32.5,34.0,2024,1,3,-999.0
32.5,34.5,2024,1,3,3.12
32.5,35.0,2024,1,3,-999.0
32.5,35.5,2024,1,3,2.05
32.5,36.0,2024,1,3,-999.0
33.0,34.0,2024,1,3,-999.0
33.0,34.5,2024,1,3,-999.0
33.0,35.0,2024,1,3,-999.0
33.0,35.5,2024,1,3,-999.0
33.0,36.0,2024,1,3,-999.0
29.5,34.0,2024,1,4,-999.0
29.5,34.5,2024,1,4,4.03
29.5,35.0,2024,1,4,-999.0
29.5,35.5,2024,1,4,4.09
29.5,36.0,2024,1,4,-999.0
30.0,34.0,2024,1,4,-999.0
30.0,34.5,2024,1,4,-999.0
30.0,35.0,2024,1,4,-999.0
30.0,35.5,2024,1,4,-999.0
30.0,36.0,2024,1,4,-999.0
30.5,34.0,2024,1,4,-999.0
30.5,34.5,2024,1,4,3.76
30.5,35.0,2024,1,4,-999.0
30.5,35.5,2024,1,4,3.93
30.5,36.0,2024,1,4,-999.0
31.0,34.0,2024,1,4,-999.0
31.0,34.5,2024,1,4,-999.0
31.0,35.0,2024,1,4,-999.0
31.0,35.5,2024,1,4,-999.0
31.0,36.0,2024,1,4,-999.0
31.5,34.0,2024,1,4,-999.0
31.5,34.5,2024,1,4,3.39
31.5,35.0,2024,1,4,-999.0
31.5,35.5,2024,1,4,3.5
31.5,36.0,2024,1,4,-999.0
32.0,34.0,2024,1,4,-999.0
32.0,34.5,2024,1,4,-999.0
32.0,35.0,2024,1,4,-999.0
32.0,35.5,2024,1,4,-999.0
32.0,36.0,2024,1,4,-999.0
32.5,34.0,2024,1,4,-999.0
32.5,34.5,2024,1,4,3.11
32.5,35.0,2024,1,4,-999.0
32.5,35.5,2024,1,4,3.1
32.5,36.0,2024,1,4,-999.0
33.0,34.0,2024,1,4,-999.0
33.0,34.5,2024,1,4,-999.0
33.0,35.0,2024,1,4,-999.0
33.0,35.5,2024,1,4,-999.0
33.0,36.0,2024,1,4,-999.0
29.5,34.0,2024,1,5,-999.0
29.5,34.5,2024,1,5,4.09
29.5,35.0,2024,1,5,-999.0
29.5,35.5,2024,1,5,4.2
29.5,36.0,2024,1,5,-999.0
30.0,34.0,2024,1,5,-999.0
30.0,34.5,2024,1,5,-999.0
30.0,35.0,2024,1,5,-999.0
30.0,35.5,2024,1,5,-999.0
30.0,36.0,2024,1,5,-999.0
30.5,34.0,2024,1,5,-999.0
30.5,34.5,2024,1,5,3.75
30.5,35.0,2024,1,5,-999.0
30.5,35.5,2024,1,5,3.9
30.5,36.0,2024,1,5,-999.0
31.0,34.0,2024,1,5,-999.0
31.0,34.5,2024,1,5,-999.0
31.0,35.0,2024,1,5,-999.0
31.0,35.5,2024,1,5,-999.0
31.0,36.0,2024,1,5,-999.0
31.5,34.0,2024,1,5,-999.0
31.5,34.5,2024,1,5,3.04
31.5,35.0,2024,1,5,-999.0
31.5,35.5,2024,1,5,3.28
31.5,36.0,2024,1,5,-999.0
32.0,34.0,2024,1,5,-999.0
32.0,34.5,2024,1,5,-999.0
32.0,35.0,2024,1,5,-999.0
32.0,35.5,2024,1,5,-999.0
32.0,36.0,2024,1,5,-999.0
32.5,34.0,2024,1,5,-999.0
32.5,34.5,2024,1,5,2.86
32.5,35.0,2024,1,5,-999.0
32.5,35.5,2024,1,5,1.85
32.5,36.0,2024,1,5,-999.0
33.0,34.0,2024,1,5,-999.0
33.0,34.5,2024,1,5,-999.0
33.0,35.0,2024,1,5,-999.0
33.0,35.5,2024,1,5,-999.0
33.0,36.0,2024,1,5,-999.0
29.5,34.0,2024,1,6,-999.0
29.5,34.5,2024,1,6,4.13
29.5,35.0,2024,1,6,-999.0
29.5,35.5,2024,1,6,4.18
29.5,36.0,2024,1,6,-999.0
30.0,34.0,2024,1,6,-999.0
30.0,34.5,2024,1,6,-999.0
30.0,35.0,2024,1,6,-999.0
30.0,35.5,2024,1,6,-999.0
30.0,36.0,2024,1,6,-999.0
30.5,34.0,2024,1,6,-999.0
30.5,34.5,2024,1,6,3.99
30.5,35.0,2024,1,6,-999.0
30.5,35.5,2024,1,6,3.96
30.5,36.0,2024,1,6,-999.0
31.0,34.0,2024,1,6,-999.0
31.0,34.5,2024,1,6,-999.0
31.0,35.0,2024,1,6,-999.0
31.0,35.5,2024,1,6,-999.0
31.0,36.0,2024,1,6,-999.0
31.5,34.0,2024,1,6,-999.0
31.5,34.5,2024,1,6,3.56
31.5,35.0,2024,1,6,-999.0
31.5,35.5,2024,1,6,3.69
31.5,36.0,2024,1,6,-999.0
32.0,34.0,2024,1,6,-999.0
32.0,34.5,2024,1,6,-999.0
32.0,35.0,2024,1,6,-999.0
32.0,35.5,2024,1,6,-999.0
32.0,36.0,2024,1,6,-999.0
32.5,34.0,2024,1,6,-999.0
32.5,34.5,2024,1,6,3.37
32.5,35.0,2024,1,6,-999.0
32.5,35.5,2024,1,6,3.53
32.5,36.0,2024,1,6,-999.0
33.0,34.0,2024,1,6,-999.0
33.0,34.5,2024,1,6,-999.0
33.0,35.0,2024,1,6,-999.0
33.0,35.5,2024,1,6,-999.0
33.0,36.0,2024,1,6,-999.0
29.5,34.0,2024,1,7,-999.0
29.5,34.5,2024,1,7,4.12
29.5,35.0,2024,1,7,-999.0
29.5,35.5,2024,1,7,4.11
29.5,36.0,2024,1,7,-999.0
30.0,34.0,2024,1,7,-999.0
30.0,34.5,2024,1,7,-999.0
30.0,35.0,2024,1,7,-999.0
30.0,35.5,2024,1,7,-999.0
30.0,36.0,2024,1,7,-999.0
30.5,34.0,2024,1,7,-999.0
30.5,34.5,2024,1,7,3.96
30.5,35.0,2024,1,7,-999.0
30.5,35.5,2024,1,7,3.9
30.5,36.0,2024,1,7,-999.0
31.0,34.0,2024,1,7,-999.0
31.0,34.5,2024,1,7,-999.0
31.0,35.0,2024,1,7,-999.0
31.0,35.5,2024,1,7,-999.0
31.0,36.0,2024,1,7,-999.0
31.5,34.0,2024,1,7,-999.0
31.5,34.5,2024,1,7,3.65
31.5,35.0,2024,1,7,-999.0
31.5,35.5,2024,1,7,3.71
31.5,36.0,2024,1,7,-999.0
32.0,34.0,2024,1,7,-999.0
32.0,34.5,2024,1,7,-999.0
32.0,35.0,2024,1,7,-999.0
32.0,35.5,2024,1,7,-999.0
32.0,36.0,2024,1,7,-999.0
32.5,34.0,2024,1,7,-999.0
32.5,34.5,2024,1,7,3.62
32.5,35.0,2024,1,7,-999.0
32.5,35.5,2024,1,7,3.58
32.5,36.0,2024,1,7,-999.0
33.0,34.0,2024,1,7,-999.0
33.0,34.5,2024,1,7,-999.0
33.0,35.0,2024,1,7,-999.0
33.0,35.5,2024,1,7,-999.0
33.0,36.0,2024,1,7,-999.0
29.5,34.0,2024,1,8,-999.0
29.5,34.5,2024,1,8,3.99
29.5,35.0,2024,1,8,-999.0
29.5,35.5,2024,1,8,4.15
29.5,36.0,2024,1,8,-999.0
30.0,34.0,2024,1,8,-999.0
30.0,34.5,2024,1,8,-999.0
30.0,35.0,2024,1,8,-999.0
30.0,35.5,2024,1,8,-999.0
30.0,36.0,2024,1,8,-999.0
30.5,34.0,2024,1,8,-999.0
30.5,34.5,2024,1,8,3.78
30.5,35.0,2024,1,8,-999.0
30.5,35.5,2024,1,8,3.65
30.5,36.0,2024,1,8,-999.0
31.0,34.0,2024,1,8,-999.0
31.0,34.5,2024,1,8,-999.0
31.0,35.0,2024,1,8,-999.0
31.0,35.5,2024,1,8,-999.0
31.0,36.0,2024,1,8,-999.0
31.5,34.0,2024,1,8,-999.0
31.5,34.5,2024,1,8,3.25
31.5,35.0,2024,1,8,-999.0
31.5,35.5,2024,1,8,3.31
31.5,36.0,2024,1,8,-999.0
32.0,34.0,2024,1,8,-999.0
32.0,34.5,2024,1,8,-999.0
32.0,35.0,2024,1,8,-999.0
32.0,35.5,2024,1,8,-999.0
32.0,36.0,2024,1,8,-999.0
32.5,34.0,2024,1,8,-999.0
32.5,34.5,2024,1,8,2.99
32.5,35.0,2024,1,8,-999.0
32.5,35.5,2024,1,8,3.01
32.5,36.0,2024,1,8,-999.0
33.0,34.0,2024,1,8,-999.0
33.0,34.5,2024,1,8,-999.0
33.0,35.0,2024,1,8,-999.0
33.0,35.5,2024,1,8,-999.0
33.0,36.0,2024,1,8,-999.0
29.5,34.0,2024,1,9,-999.0
29.5,34.5,2024,1,9,3.69
29.5,35.0,2024,1,9,-999.0
29.5,35.5,2024,1,9,3.51
29.5,36.0,2024,1,9,-999.0
30.0,34.0,2024,1,9,-999.0
30.0,34.5,2024,1,9,-999.0
30.0,35.0,2024,1,9,-999.0
30.0,35.5,2024,1,9,-999.0
30.0,36.0,2024,1,9,-999.0
30.5,34.0,2024,1,9,-999.0
30.5,34.5,2024,1,9,3.84
30.5,35.0,2024,1,9,-999.0
30.5,35.5,2024,1,9,3.77
30.5,36.0,2024,1,9,-999.0
31.0,34.0,2024,1,9,-999.0
31.0,34.5,2024,1,9,-999.0
31.0,35.0,2024,1,9,-999.0
31.0,35.5,2024,1,9,-999.0
31.0,36.0,2024,1,9,-999.0
31.5,34.0,2024,1,9,-999.0
31.5,34.5,2024,1,9,3.39
31.5,35.0,2024,1,9,-999.0
31.5,35.5,2024,1,9,3.72
31.5,36.0,2024,1,9,-999.0
32.0,34.0,2024,1,9,-999.0
32.0,34.5,2024,1,9,-999.0
32.0,35.0,2024,1,9,-999.0
32.0,35.5,2024,1,9,-999.0
32.0,36.0,2024,1,9,-999.0
32.5,34.0,2024,1,9,-999.0
32.5,34.5,2024,1,9,3.11
32.5,35.0,2024,1,9,-999.0
32.5,35.5,2024,1,9,3.5
32.5,36.0,2024,1,9,-999.0
33.0,34.0,2024,1,9,-999.0
33.0,34.5,2024,1,9,-999.0
33.0,35.0,2024,1,9,-999.0
33.0,35.5,2024,1,9,-999.0
33.0,36.0,2024,1,9,-999.0
29.5,34.0,2024,1,10,-999.0
29.5,34.5,2024,1,10,4.14
29.5,35.0,2024,1,10,-999.0
29.5,35.5,2024,1,10,4.23
29.5,36.0,2024,1,10,-999.0
30.0,34.0,2024,1,10,-999.0
30.0,34.5,2024,1,10,-999.0
30.0,35.0,2024,1,10,-999.0
30.0,35.5,2024,1,10,-999.0
30.0,36.0,2024,1,10,-999.0
30.5,34.0,2024,1,10,-999.0
30.5,34.5,2024,1,10,3.73
30.5,35.0,2024,1,10,-999.0
30.5,35.5,2024,1,10,3.94
30.5,36.0,2024,1,10,-999.0
31.0,34.0,2024,1,10,-999.0
31.0,34.5,2024,1,10,-999.0
31.0,35.0,2024,1,10,-999.0
31.0,35.5,2024,1,10,-999.0
31.0,36.0,2024,1,10,-999.0
31.5,34.0,2024,1,10,-999.0
31.5,34.5,2024,1,10,3.43
31.5,35.0,2024,1,10,-999.0
31.5,35.5,2024,1,10,3.74
31.5,36.0,2024,1,10,-999.0
32.0,34.0,2024,1,10,-999.0
