-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2025 through 02/17/2025 in LST
Location: Regional 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
30.0,34.0,2025,1,1,3.53
30.0,35.0,2025,1,1,3.61
30.0,36.0,2025,1,1,3.59
31.0,34.0,2025,1,1,3.25
31.0,35.0,2025,1,1,3.34
31.0,36.0,2025,1,1,3.44
32.0,34.0,2025,1,1,2.96
32.0,35.0,2025,1,1,3.2
32.0,36.0,2025,1,1,3.28
33.0,34.0,2025,1,1,2.71
33.0,35.0,2025,1,1,2.89
33.0,36.0,2025,1,1,3.2
30.0,34.0,2025,1,2,3.58
30.0,35.0,2025,1,2,3.72
30.0,36.0,2025,1,2,3.76
31.0,34.0,2025,1,2,3.31
31.0,35.0,2025,1,2,3.46
31.0,36.0,2025,1,2,3.49
32.0,34.0,2025,1,2,2.97
32.0,35.0,2025,1,2,3.23
32.0,36.0,2025,1,2,3.36
33.0,34.0,2025,1,2,2.83
33.0,35.0,2025,1,2,2.85
33.0,36.0,2025,1,2,3.27
30.0,34.0,2025,1,3,3.61
30.0,35.0,2025,1,3,3.65
30.0,36.0,2025,1,3,3.76
31.0,34.0,2025,1,3,3.34
31.0,35.0,2025,1,3,3.44
31.0,36.0,2025,1,3,3.44
32.0,34.0,2025,1,3,3.14
32.0,35.0,2025,1,3,3.31
32.0,36.0,2025,1,3,3.4
33.0,34.0,2025,1,3,2.96
33.0,35.0,2025,1,3,3.03
33.0,36.0,2025,1,3,3.24
30.0,34.0,2025,1,4,2.92
30.0,35.0,2025,1,4,3.18
30.0,36.0,2025,1,4,3.6
31.0,34.0,2025,1,4,2.23
31.0,35.0,2025,1,4,2.93
31.0,36.0,2025,1,4,3.31
32.0,34.0,2025,1,4,2.07
32.0,35.0,2025,1,4,2.56
32.0,36.0,2025,1,4,3.23
33.0,34.0,2025,1,4,1.88
33.0,35.0,2025,1,4,2.2
33.0,36.0,2025,1,4,2.78
30.0,34.0,2025,1,5,2.84
30.0,35.0,2025,1,5,3.31
30.0,36.0,2025,1,5,3.24
31.0,34.0,2025,1,5,2.51
31.0,35.0,2025,1,5,3.01
31.0,36.0,2025,1,5,3.16
32.0,34.0,2025,1,5,2.19
32.0,35.0,2025,1,5,2.82
32.0,36.0,2025,1,5,3.3
33.0,34.0,2025,1,5,2.21
33.0,35.0,2025,1,5,2.61
33.0,36.0,2025,1,5,2.97
30.0,34.0,2025,1,6,3.3
30.0,35.0,2025,1,6,3.55
30.0,36.0,2025,1,6,3.33
31.0,34.0,2025,1,6,3.21
31.0,35.0,2025,1,6,3.34
31.0,36.0,2025,1,6,2.87
32.0,34.0,2025,1,6,2.96
32.0,35.0,2025,1,6,3.19
32.0,36.0,2025,1,6,3.13
33.0,34.0,2025,1,6,2.97
33.0,35.0,2025,1,6,3.01
33.0,36.0,2025,1,6,3.12
30.0,34.0,2025,1,7,3.67
30.0,35.0,2025,1,7,3.77
30.0,36.0,2025,1,7,3.79
31.0,34.0,2025,1,7,3.36
31.0,35.0,2025,1,7,3.48
31.0,36.0,2025,1,7,3.58
32.0,34.0,2025,1,7,3.15
32.0,35.0,2025,1,7,3.31
32.0,36.0,2025,1,7,3.41
33.0,34.0,2025,1,7,2.93
33.0,35.0,2025,1,7,2.98
33.0,36.0,2025,1,7,3.33
30.0,34.0,2025,1,8,3.67
30.0,35.0,2025,1,8,3.71
30.0,36.0,2025,1,8,3.82
31.0,34.0,2025,1,8,3.39
31.0,35.0,2025,1,8,3.46
31.0,36.0,2025,1,8,3.57
32.0,34.0,2025,1,8,3.19
32.0,35.0,2025,1,8,3.32
32.0,36.0,2025,1,8,3.44
33.0,34.0,2025,1,8,2.98
33.0,35.0,2025,1,8,3.11
33.0,36.0,2025,1,8,3.26
30.0,34.0,2025,1,9,3.61
30.0,35.0,2025,1,9,3.72
30.0,36.0,2025,1,9,3.75
31.0,34.0,2025,1,9,3.44
31.0,35.0,2025,1,9,3.42
31.0,36.0,2025,1,9,3.36
32.0,34.0,2025,1,9,3.22
32.0,35.0,2025,1,9,3.27
32.0,36.0,2025,1,9,3.38
33.0,34.0,2025,1,9,2.93
33.0,35.0,2025,1,9,2.94
33.0,36.0,2025,1,9,3.0
30.0,34.0,2025,1,10,3.63
30.0,35.0,2025,1,10,3.82
30.0,36.0,2025,1,10,3.85
31.0,34.0,2025,1,10,3.22
31.0,35.0,2025,1,10,3.56
31.0,36.0,2025,1,10,3.6
32.0,34.0,2025,1,10,3.14
32.0,35.0,2025,1,10,3.37
