LAT,LON,YEAR,MO,DY,ALLSKY_SFC_UV_INDEX
29.5,35.5,2022,7,3,3.01
29.5,34.5,2022,7,3,2.93
29.5,35.5,2020,1,6,0.66
29.5,34.5,2020,1,6,0.65
29.5,35.5,2024,12,29,-999.0
29.5,34.5,2024,12,29,-999.0
29.5,35.5,2024,12,28,-999.0
29.5,34.5,2024,12,28,-999.0
29.5,35.5,2020,1,5,0.59
29.5,34.5,2020,1,5,0.56
29.5,35.5,2021,4,6,1.67
29.5,34.5,2021,4,6,1.74
29.5,35.5,2023,9,30,2.42
29.5,34.5,2023,9,30,2.37
29.5,35.5,2023,9,29,2.38
29.5,34.5,2023,9,29,2.09
29.5,35.5,2022,7,1,3.22
29.5,34.5,2022,7,1,3.09
29.5,35.5,2020,1,8,0.63
29.5,34.5,2020,1,8,0.6
29.5,35.5,2024,12,27,-999.0
29.5,34.5,2024,12,27,-999.0
29.5,35.5,2024,12,26,-999.0
29.5,34.5,2024,12,26,-999.0
29.5,35.5,2020,1,7,0.68
29.5,34.5,2020,1,7,0.53
29.5,35.5,2020,1,4,0.42
29.5,34.5,2020,1,4,0.37
29.5,34.5,2024,12,31,-999.0
29.5,35.5,2024,12,31,-999.0
29.5,35.5,2020,1,1,0.64
29.5,34.5,2020,1,2,0.71
29.5,35.5,2022,6,27,3.03
29.5,34.5,2022,6,27,2.98
29.5,35.5,2020,1,12,0.57
29.5,34.5,2020,1,12,0.52
29.5,35.5,2024,12,23,-999.0
29.5,34.5,2024,12,23,-999.0
29.5,35.5,2024,12,22,-999.0
29.5,34.5,2024,12,22,-999.0
29.5,35.5,2020,1,11,0.58
29.5,34.5,2020,1,11,0.59
29.5,35.5,2022,6,30,3.03
29.5,34.5,2022,6,30,3.01
29.5,35.5,2022,7,7,2.97
29.5,34.5,2022,7,7,2.94
29.5,35.5,2022,7,6,3.09
29.5,34.5,2022,7,6,2.32
29.5,35.5,2022,6,25,2.91
29.5,34.5,2022,6,25,2.91
29.5,35.5,2020,1,14,0.71
29.5,34.5,2020,1,14,0.69
29.5,35.5,2024,12,21,-999.0
29.5,34.5,2024,12,21,-999.0
29.5,35.5,2024,12,20,-999.0
29.5,34.5,2024,12,20,-999.0
29.5,35.5,2020,1,13,0.63
29.5,34.5,2020,1,13,0.59
29.5,35.5,2022,6,28,2.98
29.5,34.5,2022,6,28,2.93
29.5,35.5,2022,7,9,2.95
29.5,34.5,2022,7,9,2.94
29.5,35.5,2022,7,8,3.01
29.5,34.5,2022,7,8,3.01
29.5,35.5,2022,6,23,2.82
29.5,34.5,2022,6,23,2.8
29.5,35.5,2020,1,16,0.74
29.5,34.5,2020,1,16,0.76
29.5,35.5,2024,12,19,-999.0
29.5,34.5,2024,12,19,-999.0
29.5,35.5,2024,12,18,-999.0
29.5,34.5,2024,12,18,-999.0
29.5,35.5,2020,1,15,0.75
29.5,34.5,2020,1,15,0.73
29.5,35.5,2022,6,26,2.85
29.5,34.5,2022,6,26,2.8
29.5,35.5,2022,7,11,2.99
29.5,34.5,2022,7,11,3.02
29.5,35.5,2022,7,10,3.11
29.5,34.5,2022,7,10,3.03
29.5,35.5,2022,6,21,3.06
29.5,34.5,2022,6,21,2.93
29.5,35.5,2020,1,18,0.57
29.5,34.5,2020,1,18,0.56
29.5,35.5,2024,12,17,-999.0
29.5,34.5,2024,12,17,-999.0
29.5,35.5,2024,12,16,-999.0
29.5,34.5,2024,12,16,-999.0
29.5,35.5,2020,1,17,0.7
29.5,34.5,2020,1,17,0.61
29.5,35.5,2022,6,24,2.84
29.5,34.5,2022,6,24,2.83
29.5,35.5,2022,7,13,2.52
29.5,34.5,2022,7,13,2.96
29.5,35.5,2022,7,12,2.86
29.5,34.5,2022,7,12,2.86
29.5,35.5,2022,6,19,3.13
29.5,34.5,2022,6,19,3.18
29.5,35.5,2020,1,20,0.76
29.5,34.5,2020,1,20,0.72
29.5,35.5,2024,12,15,-999.0
29.5,34.5,2024,12,15,-999.0
29.5,35.5,2024,12,14,-999.0
29.5,34.5,2024,12,14,-999.0
29.5,35.5,2020,1,19,0.73
29.5,34.5,2020,1,19,0.64
29.5,35.5,2022,6,22,3.1
29.5,34.5,2022,6,22,2.62
29.5,35.5,2022,7,15,3.08
29.5,34.5,2022,7,15,3.04
29.5,35.5,2022,7,14,3.1
29.5,34.5,2022,7,14,3.04
29.5,35.5,2022,6,17,2.92
29.5,34.5,2022,6,17,2.71
29.5,35.5,2020,1,22,0.66
29.5,34.5,2020,1,22,0.58
29.5,35.5,2024,12,13,-999.0
29.5,34.5,2024,12,13,-999.0
29.5,35.5,2024,12,12,-999.0
29.5,34.5,2024,12,12,-999.0
29.5,35.5,2020,1,21,0.59
29.5,34.5,2020,1,21,0.65
29.5,35.5,2022,6,20,2.6
29.5,34.5,2022,6,20,3.11
29.5,35.5,2022,7,17,3.04
29.5,34.5,2022,7,17,2.97
29.5,35.5,2022,7,16,3.02
29.5,34.5,2022,7,16,3.01
29.5,35.5,2022,6,15,3.36
29.5,34.5,2022,6,15,3.29
29.5,35.5,2020,1,24,0.48
29.5,34.5,2020,1,24,0.48
29.5,35.5,2024,12,11,-999.0
29.5,34.5,2024,12,11,-999.0
29.5,35.5,2024,12,10,-999.0
29.5,34.5,2024,12,10,-999.0
29.5,35.5,2020,1,23,0.76
29.5,34.5,2020,1,23,0.74
29.5,35.5,2022,6,18,3.05
29.5,34.5,2022,6,18,3.14
29.5,35.5,2022,7,19,2.87
29.5,34.5,2022,7,19,2.91
29.5,35.5,2022,7,18,2.9
29.5,34.5,2022,7,18,2.88
29.5,35.5,2022,6,13,3.37
29.5,34.5,2022,6,13,3.32
29.5,35.5,2020,1,26,0.95
29.5,34.5,2020,1,26,0.93
29.5,35.5,2024,12,9,-999.0
29.5,34.5,2024,12,9,-999.0
