LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
29.5,35.5,2020,1,4,2.14
29.5,34.5,2020,1,4,1.87
29.5,35.5,2022,4,8,6.33
29.5,34.5,2022,4,8,6.05
29.5,35.5,2022,4,7,6.82
29.5,34.5,2022,4,7,6.77
29.5,35.5,2022,4,10,7.05
29.5,34.5,2022,4,10,7.15
29.5,36.0,2024,4,29,-999.0
29.5,35.5,2024,4,29,7.58
29.5,35.0,2024,4,29,-999.0
29.5,35.5,2024,9,13,-999.0
29.5,35.0,2024,9,13,-999.0
29.5,34.5,2024,9,13,-999.0
29.5,34.0,2024,9,13,-999.0
29.5,35.5,2020,1,8,3.78
29.5,34.0,2024,8,17,-999.0
29.5,35.5,2022,4,12,8.05
29.5,34.5,2022,4,12,7.99
29.5,35.5,2020,1,12,3.27
29.5,34.5,2020,1,12,2.88
29.5,35.5,2020,1,11,3.94
29.5,34.5,2020,1,11,3.91
29.5,35.5,2020,1,10,2.21
29.5,34.5,2020,1,10,2.62
29.5,35.5,2020,1,9,2.18
29.5,34.5,2020,1,9,2.81
29.5,36.0,2024,9,13,-999.0
29.5,34.5,2020,1,5,4.12
29.5,35.5,2020,1,5,4.2
29.5,35.5,2020,1,1,3.14
29.5,34.5,2020,1,1,2.99
29.5,35.0,2024,12,31,-999.0
29.5,34.5,2024,12,31,-999.0
29.5,34.0,2024,12,31,-999.0
29.5,36.0,2024,2,6,-999.0
29.5,35.5,2024,2,6,5.0
29.5,35.0,2024,2,6,-999.0
29.5,34.5,2024,2,6,4.83
29.5,34.0,2024,2,6,-999.0
29.5,36.0,2024,7,20,-999.0
29.5,35.5,2024,7,20,8.54
29.5,35.0,2024,7,20,-999.0
29.5,34.5,2024,7,20,8.52
29.5,34.0,2024,7,20,-999.0
29.5,35.5,2020,1,13,3.97
29.5,34.5,2020,1,13,3.76
29.5,36.0,2024,2,7,-999.0
29.5,34.0,2024,2,8,-999.0
29.5,35.5,2020,1,15,4.21
29.5,34.5,2020,1,15,4.14
29.5,35.5,2020,1,14,4.09
29.5,34.5,2020,1,14,3.98
29.5,36.0,2024,12,31,-999.0
29.5,35.5,2022,4,11,7.36
29.5,34.5,2022,4,11,7.04
29.5,35.5,2022,4,4,7.19
29.5,34.5,2022,4,4,6.91
29.5,35.5,2022,4,3,6.11
29.5,34.5,2022,4,3,6.39
29.5,36.0,2024,11,6,-999.0
29.5,35.5,2024,11,6,-999.0
29.5,35.0,2024,11,6,-999.0
29.5,35.5,2024,12,31,-999.0
29.5,35.5,2022,4,1,6.36
29.5,34.5,2022,4,1,6.05
29.5,34.5,2024,2,5,4.97
29.5,34.0,2024,2,5,-999.0
29.5,35.5,2020,1,19,4.04
29.5,34.5,2020,1,19,3.6
29.5,35.5,2020,1,18,2.91
29.5,34.5,2020,1,18,2.89
29.5,35.5,2020,1,17,3.85
29.5,34.5,2020,1,17,3.24
29.5,35.5,2020,1,16,3.92
29.5,34.5,2020,1,16,4.08
29.5,36.0,2024,2,8,-999.0
29.5,35.5,2024,2,8,5.23
29.5,35.0,2024,2,8,-999.0
29.5,34.5,2024,2,8,5.17
29.5,34.5,2024,7,19,8.59
29.5,34.0,2024,7,19,-999.0
29.5,35.5,2020,1,20,4.06
29.5,34.5,2020,1,20,3.78
29.5,36.0,2024,2,5,-999.0
29.5,35.5,2024,2,5,5.04
29.5,35.0,2024,2,5,-999.0
29.5,34.5,2024,11,6,-999.0
29.5,34.0,2024,11,6,-999.0
29.5,36.0,2024,11,7,-999.0
29.5,35.5,2024,11,7,-999.0
29.5,35.0,2024,11,7,-999.0
29.5,34.5,2024,11,7,-999.0
29.5,34.0,2024,11,7,-999.0
29.5,35.5,2022,4,2,6.39
29.5,34.5,2022,4,2,6.42
29.5,35.0,2024,4,30,-999.0
29.5,34.5,2024,4,30,7.87
29.5,34.0,2024,4,30,-999.0
29.5,35.5,2022,3,31,7.16
29.5,34.5,2022,3,31,7.1
29.5,35.5,2022,3,30,6.95
29.5,34.5,2022,3,30,7.03
29.5,35.5,2022,4,15,7.59
29.5,34.5,2022,4,15,7.6
29.5,35.5,2022,4,14,7.81
29.5,34.5,2022,4,14,7.9
29.5,35.5,2022,4,13,7.92
29.5,34.5,2022,4,13,7.87
29.5,36.0,2024,7,19,-999.0
29.5,35.5,2024,7,19,8.56
29.5,35.0,2024,7,19,-999.0
