LAT,LON,YEAR,MO,DY,T2M
29.5,35.625,2017,1,1,3.82
29.5,35.0,2017,1,1,6.84
29.5,34.375,2017,1,1,4.13
29.5,35.625,2009,1,3,1.43
29.5,35.0,2009,1,3,7.07
29.5,34.375,2009,1,3,5.97
29.5,35.0,2009,1,2,5.88
29.5,34.375,2018,7,3,25.43
29.5,35.625,2015,1,2,6.29
29.5,35.0,2015,1,2,8.73
29.5,34.375,2015,1,2,5.7
29.5,35.625,2018,7,4,29.0
29.5,35.625,2011,1,3,8.96
29.5,35.0,2011,1,3,13.04
29.5,34.375,2011,1,3,10.82
29.5,34.375,2018,7,2,24.71
29.5,35.0,2020,1,1,8.73
29.5,34.375,2020,1,1,6.74
29.5,35.625,2013,1,3,6.84
29.5,35.0,2013,1,3,11.07
29.5,34.375,2013,1,3,9.64
29.5,34.375,2020,1,2,8.65
29.5,34.375,2023,1,1,11.39
29.5,35.625,2017,1,2,3.47
29.5,35.0,2017,1,2,6.05
29.5,35.625,2022,12,31,7.01
29.5,35.0,2022,12,31,11.73
29.5,34.375,2022,12,31,9.85
29.5,35.625,2009,1,4,3.19
29.5,35.625,2009,1,2,2.36
29.5,35.625,2009,1,1,3.92
29.5,34.375,2009,1,4,5.41
29.5,35.625,2016,12,30,7.39
29.5,35.0,2016,12,30,10.11
29.5,34.375,2016,12,30,6.88
29.5,35.625,2017,1,4,3.92
29.5,35.625,2009,1,5,4.91
29.5,35.0,2009,1,5,9.61
29.5,34.375,2009,1,5,8.38
29.5,34.375,2019,12,31,6.13
29.5,35.625,2013,1,4,6.52
29.5,35.0,2013,1,4,11.17
29.5,34.375,2013,1,4,10.13
29.5,35.625,2020,1,1,5.76
29.5,35.625,2012,12,31,9.28
29.5,35.0,2012,12,31,14.03
29.5,34.375,2012,12,31,11.14
29.5,34.375,2017,1,2,4.08
29.5,35.0,2022,12,30,10.77
29.5,34.375,2022,12,30,9.16
29.5,35.0,2024,12,30,8.94
29.5,34.375,2024,12,30,7.18
29.5,35.625,2009,1,6,7.82
29.5,35.0,2009,1,6,12.4
29.5,34.375,2009,1,6,10.06
29.5,35.0,2017,1,3,6.73
29.5,34.375,2019,12,30,8.29
29.5,35.625,2013,1,5,6.24
29.5,35.0,2013,1,5,9.58
29.5,34.375,2013,1,5,7.72
29.5,35.625,2019,12,31,6.19
29.5,35.625,2023,6,6,24.5
29.5,35.0,2023,6,6,25.25
29.5,34.375,2017,1,3,4.44
29.5,35.625,2012,12,29,8.87
29.5,35.0,2017,1,4,6.94
29.5,34.375,2017,1,4,4.79
29.5,35.625,2016,12,29,5.25
29.5,35.0,2016,12,29,9.06
29.5,34.375,2016,12,29,6.06
29.5,34.375,2022,12,29,8.83
29.5,34.375,2023,6,6,22.81
29.5,35.625,2019,12,30,7.27
29.5,35.0,2019,12,30,11.44
29.5,35.625,2020,1,4,3.95
29.5,35.0,2020,1,4,7.49
29.5,34.375,2020,1,4,5.83
29.5,35.625,2012,12,30,8.58
29.5,35.625,2024,12,30,4.91
29.5,35.625,2022,12,30,5.92
29.5,34.375,2016,12,28,6.03
29.5,35.625,2017,1,5,4.13
29.5,35.0,2017,1,5,8.59
29.5,35.625,2009,1,7,7.81
29.5,35.0,2009,1,7,12.14
29.5,34.375,2009,1,7,8.88
29.5,35.625,2022,12,29,5.41
29.5,35.0,2022,12,29,10.35
29.5,35.0,2012,12,30,11.58
29.5,34.375,2012,12,30,10.45
29.5,35.625,2013,1,6,5.89
29.5,35.0,2013,1,6,9.91
29.5,34.375,2013,1,6,7.61
29.5,35.625,2020,1,5,5.91
29.5,35.0,2020,1,5,8.91
29.5,34.375,2020,1,5,6.28
29.5,34.375,2019,12,28,7.46
29.5,35.625,2016,12,27,4.0
29.5,35.0,2016,12,27,7.6
29.5,34.375,2016,12,27,5.84
29.5,34.375,2017,1,5,7.54
29.5,35.625,2023,11,10,19.94
29.5,35.0,2012,12,29,11.02
29.5,34.375,2012,12,29,9.63
29.5,35.625,2019,12,29,7.76
29.5,35.0,2019,12,29,11.78
29.5,34.375,2019,12,29,8.9
29.5,35.625,2024,6,6,29.55
29.5,35.0,2024,6,6,30.38
29.5,34.375,2024,6,6,28.35
29.5,35.625,2016,12,28,3.6
29.5,35.0,2016,12,28,7.62
29.5,34.375,2022,12,28,8.08
29.5,35.625,2009,1,8,7.52
29.5,35.0,2009,1,8,10.63
29.5,34.375,2009,1,8,8.08
29.5,35.625,2017,1,6,7.63
29.5,35.0,2017,1,6,11.61
29.5,34.375,2017,1,6,9.66
29.5,35.0,2023,11,10,20.96
29.5,34.375,2023,11,10,18.84
29.5,35.625,2013,1,7,4.89
29.5,35.0,2013,1,7,8.61
29.5,34.375,2013,1,7,6.52
29.5,35.625,2012,12,28,8.19
29.5,35.0,2012,12,28,12.74
29.5,34.375,2012,12,28,10.54
29.5,35.0,2019,12,28,10.03
29.5,35.0,2016,12,26,8.65
29.5,34.375,2016,12,26,6.59
29.5,35.0,2022,12,27,10.17
29.5,34.375,2022,12,27,8.62
29.5,35.625,2009,1,9,6.8
29.5,35.0,2009,1,9,9.59
29.5,34.375,2009,1,9,7.74
29.5,35.625,2013,1,8,5.76
29.5,35.0,2013,1,8,9.0
29.5,34.375,2013,1,8,7.19
29.5,35.625,2012,12,27,8.08
29.5,35.0,2012,12,27,11.77
29.5,34.375,2012,12,27,10.5
29.5,35.625,2019,12,27,6.56
29.5,35.625,2022,12,28,4.96
29.5,35.0,2022,12,28,9.59
29.5,34.375,2022,12,26,10.3
29.5,35.625,2009,1,10,7.35
29.5,35.0,2009,1,10,10.74
29.5,34.375,2009,1,10,9.25
29.5,35.625,2022,12,27,6.39
29.5,35.0,2019,12,27,9.94
29.5,34.375,2019,12,27,8.1
29.5,35.625,2013,1,9,2.89
29.5,35.0,2013,1,9,6.52
29.5,34.375,2013,1,9,5.0
29.5,35.625,2019,12,28,6.33
29.5,35.625,2020,1,6,6.09
29.5,35.0,2020,1,6,10.05
29.5,34.375,2020,1,6,7.53
29.5,35.0,2023,6,5,26.16
29.5,35.625,2016,12,26,5.64
29.5,35.625,2020,1,7,6.55
29.5,35.0,2020,1,7,10.1
29.5,34.375,2020,1,7,7.36
29.5,35.625,2012,12,26,8.04
29.5,35.0,2012,12,26,11.83
29.5,35.625,2017,1,7,7.22
29.5,35.0,2017,1,7,10.67
29.5,34.375,2017,1,7,6.99
29.5,35.625,2016,12,25,4.69
29.5,35.0,2016,12,25,7.77
29.5,34.375,2016,12,25,6.03
29.5,35.625,2022,12,26,7.59
29.5,35.0,2022,12,26,11.27
29.5,35.625,2023,11,9,20.41
29.5,35.0,2023,11,9,22.63
29.5,34.375,2023,11,9,20.27
29.5,35.0,2013,1,10,3.22
29.5,34.375,2013,1,10,1.94
29.5,35.625,2012,12,25,6.49
29.5,35.0,2012,12,25,9.82
29.5,34.375,2012,12,25,8.71
29.5,34.375,2017,1,8,4.78
29.5,35.625,2016,12,24,8.53
29.5,35.0,2016,12,24,9.98
29.5,34.375,2016,12,24,7.74
29.5,35.625,2009,1,11,8.54
29.5,35.0,2009,1,11,12.41
29.5,34.375,2009,1,11,10.69
29.5,34.375,2023,6,5,23.68
29.5,35.625,2019,12,26,7.68
29.5,35.0,2019,12,26,10.84
29.5,34.375,2019,12,26,8.9
29.5,34.375,2009,1,12,8.13
29.5,35.625,2023,11,11,19.03
29.5,35.0,2023,11,11,22.77
29.5,34.375,2023,11,11,20.47
29.5,35.625,2022,12,25,7.77
29.5,35.0,2022,12,25,11.58
29.5,34.375,2022,12,25,9.82
29.5,35.625,2017,1,8,4.15
29.5,35.0,2017,1,8,7.06
29.5,35.625,2023,6,5,25.23
29.5,35.625,2012,12,24,8.69
29.5,35.0,2012,12,24,12.69
29.5,34.375,2012,12,24,9.86
29.5,35.625,2020,1,8,4.22
29.5,34.375,2012,12,26,10.98
29.5,35.625,2013,1,10,-0.45
29.5,35.0,2012,12,23,12.17
29.5,34.375,2012,12,23,10.47
29.5,34.375,2016,12,22,8.8
29.5,35.625,2016,12,23,10.34
29.5,35.0,2016,12,23,12.7
29.5,34.375,2016,12,23,9.71
29.5,35.625,2009,1,12,7.11
29.5,35.625,2013,1,11,1.19
29.5,35.0,2013,1,11,5.78
29.5,34.375,2013,1,11,4.75
29.5,35.625,2024,6,4,28.67
29.5,35.0,2024,6,4,28.36
29.5,34.375,2024,6,4,26.39
29.5,35.0,2020,1,8,7.41
29.5,34.375,2020,1,8,5.82
29.5,35.0,2009,1,12,10.12
29.5,34.375,2019,12,24,10.86
29.5,35.625,2022,12,24,7.8
29.5,35.0,2022,12,24,11.82
29.5,34.375,2022,12,24,10.66
29.5,35.625,2009,1,13,3.44
29.5,35.0,2009,1,13,8.68
29.5,34.375,2009,1,13,6.93
29.5,35.625,2016,12,22,8.38
29.5,35.0,2016,12,22,11.44
