LAT,LON,YEAR,MO,DY,T2MDEW
29.5,34.375,2022,7,2,9.62
29.5,34.375,2022,7,3,8.88
29.5,35.625,2024,12,30,1.01
29.5,35.0,2024,12,30,3.27
29.5,34.375,2024,12,30,2.55
29.5,35.625,2020,1,1,-3.18
29.5,35.625,2020,8,18,1.77
29.5,35.0,2020,8,18,7.61
29.5,34.375,2020,8,18,8.94
29.5,35.625,2021,11,17,3.27
29.5,35.0,2021,11,17,7.19
29.5,34.375,2021,11,17,8.71
29.5,35.625,2020,8,17,0.29
29.5,35.0,2020,8,17,3.87
29.5,34.375,2020,8,17,3.16
29.5,35.625,2022,12,21,4.41
29.5,35.625,2021,4,3,-5.68
29.5,35.0,2021,4,3,-1.01
29.5,34.375,2021,4,3,-1.33
29.5,35.625,2024,3,31,5.97
29.5,35.0,2024,3,31,6.8
29.5,34.375,2024,3,31,4.93
29.5,35.625,2022,7,1,8.17
29.5,35.0,2022,7,1,11.67
29.5,34.375,2022,7,1,11.93
29.5,35.625,2023,2,16,-1.91
29.5,35.0,2023,2,16,0.78
29.5,34.375,2023,2,16,0.97
29.5,35.625,2022,7,2,7.52
29.5,35.0,2022,7,2,10.29
29.5,35.0,2020,1,1,0.69
29.5,34.375,2020,1,2,1.2
29.5,34.375,2024,4,2,6.95
29.5,35.625,2021,4,1,-1.93
29.5,35.0,2021,4,1,1.97
29.5,34.375,2021,4,1,1.37
29.5,35.625,2021,4,4,-7.53
29.5,35.625,2022,6,30,5.65
29.5,35.0,2022,6,30,9.09
29.5,34.375,2022,6,30,8.65
29.5,35.625,2024,12,29,-4.35
29.5,35.0,2024,12,29,-0.5
29.5,34.375,2024,12,29,-0.43
29.5,35.625,2023,7,4,2.74
29.5,35.0,2023,7,4,7.1
29.5,34.375,2023,7,4,5.88
29.5,35.625,2020,1,5,-1.43
29.5,35.0,2020,1,5,0.77
29.5,35.0,2023,4,25,-0.68
29.5,34.375,2023,4,25,-2.44
29.5,35.625,2021,4,5,-11.64
29.5,35.0,2021,4,5,-7.55
29.5,35.0,2022,6,29,10.24
29.5,34.375,2022,6,29,9.97
29.5,35.625,2023,2,15,-0.54
29.5,35.0,2023,2,15,3.16
29.5,34.375,2023,2,15,2.34
29.5,35.625,2020,1,6,-3.42
29.5,35.0,2020,1,6,0.81
29.5,34.375,2020,1,6,-3.47
29.5,35.625,2022,7,3,5.74
29.5,35.0,2022,7,3,9.13
29.5,35.625,2024,4,2,4.55
29.5,35.0,2024,4,2,7.33
29.5,34.375,2021,4,5,-7.71
29.5,35.625,2022,10,25,6.74
29.5,35.0,2022,10,25,9.59
29.5,34.375,2022,10,25,11.17
29.5,35.625,2021,3,31,-4.03
29.5,35.0,2021,3,31,0.51
29.5,34.375,2021,3,31,0.48
29.5,35.0,2022,7,4,8.26
29.5,34.375,2022,7,4,6.8
29.5,35.625,2020,1,7,-1.2
29.5,35.0,2020,1,7,1.4
29.5,34.375,2020,1,7,0.01
29.5,35.625,2022,6,29,6.42
29.5,35.0,2021,4,4,-3.29
29.5,34.375,2021,4,4,-3.48
29.5,35.625,2023,4,25,-3.94
29.5,35.0,2024,12,28,-0.99
29.5,34.375,2024,12,28,-0.39
29.5,35.625,2022,6,28,6.8
29.5,35.0,2022,6,28,10.39
29.5,34.375,2022,6,28,10.04
29.5,35.625,2022,7,4,5.17
29.5,35.625,2021,4,6,-5.77
29.5,35.0,2021,4,6,-3.33
29.5,34.375,2021,4,6,-5.45
29.5,35.625,2024,4,3,3.29
29.5,35.0,2024,4,3,6.46
29.5,34.375,2024,4,3,5.28
29.5,35.625,2021,4,7,-6.29
29.5,35.0,2021,4,7,-4.21
29.5,34.375,2021,4,7,-7.36
29.5,35.625,2024,3,30,6.8
29.5,35.625,2021,3,29,-5.59
29.5,35.0,2021,3,29,0.71
29.5,34.375,2021,3,29,1.43
29.5,35.625,2024,3,29,1.46
29.5,35.0,2024,3,29,4.23
29.5,35.625,2023,7,6,7.73
29.5,35.0,2023,7,6,11.85
29.5,34.375,2023,7,6,11.25
29.5,35.625,2023,2,14,-2.0
29.5,35.0,2023,2,14,0.57
29.5,34.375,2023,2,14,0.97
29.5,35.625,2023,7,2,6.67
29.5,35.0,2023,7,2,10.57
29.5,34.375,2023,7,2,8.12
29.5,35.625,2023,7,5,5.73
29.5,35.625,2024,12,28,-4.51
29.5,34.375,2023,4,24,2.87
29.5,35.625,2023,4,26,-7.5
29.5,35.0,2023,4,26,-1.5
29.5,34.375,2023,4,26,-2.58
29.5,35.625,2022,6,26,5.94
29.5,34.375,2020,1,9,1.58
29.5,35.625,2020,1,8,-1.28
29.5,35.0,2020,1,8,1.2
29.5,34.375,2020,1,8,0.15
29.5,35.0,2023,7,5,10.69
29.5,34.375,2023,7,5,10.72
29.5,35.0,2024,3,30,8.33
29.5,34.375,2024,3,30,7.57
29.5,35.625,2021,3,30,-3.83
29.5,35.0,2021,3,30,3.16
29.5,34.375,2021,3,30,4.61
29.5,35.0,2024,4,4,4.75
29.5,34.375,2024,4,4,2.94
29.5,35.625,2021,4,8,-4.28
29.5,35.0,2021,4,8,2.59
29.5,34.375,2021,4,8,3.05
29.5,35.625,2024,12,27,-5.72
29.5,35.0,2024,12,27,-3.53
29.5,34.375,2024,12,27,-4.93
29.5,35.625,2020,1,9,0.59
29.5,35.0,2020,1,9,2.96
29.5,35.625,2022,6,27,5.06
29.5,35.0,2022,6,27,8.58
29.5,34.375,2022,6,27,7.83
29.5,34.375,2024,3,29,3.06
29.5,35.625,2023,4,24,1.13
29.5,35.0,2023,4,24,4.2
29.5,34.375,2024,12,26,-3.39
29.5,35.0,2022,6,26,10.52
29.5,34.375,2022,6,26,10.03
29.5,35.625,2022,7,5,6.63
29.5,35.0,2022,7,5,9.19
29.5,34.375,2022,7,5,8.13
29.5,35.625,2021,3,28,-2.99
29.5,35.0,2021,3,28,0.89
29.5,34.375,2021,3,28,1.51
29.5,35.625,2024,4,5,-0.4
29.5,35.0,2024,4,5,2.77
29.5,34.375,2024,4,5,0.07
29.5,35.625,2021,4,9,0.36
29.5,35.0,2021,4,9,4.43
29.5,34.375,2021,4,9,3.91
29.5,35.625,2024,4,4,2.31
29.5,35.0,2021,3,27,-0.13
29.5,34.375,2021,3,27,-0.82
29.5,35.625,2021,4,10,-1.49
29.5,35.0,2021,4,10,1.01
29.5,34.375,2021,4,10,-0.66
29.5,35.625,2024,3,28,-3.27
29.5,35.0,2022,6,25,9.63
29.5,34.375,2022,6,25,8.45
29.5,35.625,2020,1,11,-0.01
29.5,35.0,2020,1,11,3.67
29.5,34.375,2020,1,11,3.18
29.5,35.625,2020,1,10,1.4
29.5,35.0,2020,1,10,4.16
29.5,34.375,2020,1,10,3.68
29.5,35.625,2024,12,26,-0.62
29.5,35.0,2024,12,26,1.47
29.5,35.0,2023,2,13,2.0
29.5,34.375,2023,2,13,1.63
29.5,35.625,2023,7,7,6.78
29.5,35.0,2023,7,7,11.03
29.5,34.375,2023,7,7,11.03
29.5,35.625,2022,6,25,6.81
29.5,35.0,2024,3,28,-0.64
29.5,34.375,2024,3,28,-3.78
29.5,35.625,2022,10,26,5.66
29.5,35.0,2022,10,26,10.11
29.5,34.375,2022,10,26,11.21
29.5,35.625,2024,3,27,-3.04
29.5,35.0,2024,3,27,-0.18
29.5,34.375,2024,3,27,-2.23
29.5,35.625,2021,4,11,-2.85
29.5,35.625,2021,3,27,-3.67
29.5,35.625,2021,3,26,0.26
29.5,35.0,2021,3,26,3.36
29.5,34.375,2021,3,26,3.04
29.5,35.625,2021,3,25,-1.45
29.5,35.0,2021,3,25,1.61
29.5,34.375,2021,3,25,0.94
29.5,35.625,2020,1,12,-1.59
29.5,35.0,2020,1,12,1.35
29.5,34.375,2020,1,12,0.93
29.5,35.625,2022,6,24,5.64
29.5,35.0,2022,6,24,8.11
29.5,34.375,2022,6,24,7.07
29.5,35.625,2023,7,8,7.92
29.5,35.0,2023,7,8,11.39
29.5,34.375,2023,7,8,11.61
29.5,35.625,2023,2,13,-1.07
29.5,35.0,2021,4,12,0.27
29.5,34.375,2021,4,12,0.6
29.5,35.625,2022,10,23,8.17
29.5,35.0,2022,10,23,11.93
29.5,34.375,2022,10,23,12.14
29.5,35.625,2020,1,13,1.24
29.5,35.0,2020,1,13,4.17
29.5,34.375,2020,1,13,3.68
29.5,35.625,2024,12,25,-6.36
29.5,35.0,2024,12,25,-0.78
29.5,34.375,2024,12,25,-2.61
29.5,35.625,2022,6,23,6.97
29.5,35.0,2022,6,23,10.86
29.5,34.375,2022,6,23,10.46
29.5,35.0,2021,4,11,-0.09
29.5,34.375,2021,4,11,-1.23
29.5,35.0,2024,4,7,3.21
29.5,34.375,2024,4,7,3.27
29.5,35.625,2021,3,24,0.02
29.5,35.0,2021,3,24,2.24
29.5,35.625,2021,4,13,-4.27
29.5,35.0,2021,4,13,0.24
29.5,34.375,2021,4,13,1.11
29.5,35.625,2024,12,24,-1.26
29.5,35.0,2024,12,24,1.08
29.5,34.375,2024,12,24,0.39
29.5,35.625,2022,6,22,9.58
29.5,35.0,2022,6,22,12.1
29.5,34.375,2022,6,22,11.6
29.5,35.625,2024,4,6,-0.33
29.5,35.0,2024,4,6,5.57
29.5,34.375,2024,4,6,5.48
29.5,34.375,2023,4,27,-1.2
29.5,34.375,2023,7,9,11.66
29.5,35.625,2023,2,17,-6.31
29.5,35.0,2023,2,17,-2.9
29.5,34.375,2023,2,17,-0.8
29.5,35.625,2023,7,1,4.67
29.5,35.0,2023,7,1,9.64
29.5,34.375,2023,7,1,12.61
29.5,35.625,2021,4,12,-3.96
29.5,34.375,2021,3,24,0.94
29.5,35.625,2021,3,23,1.23
29.5,35.0,2021,3,23,5.93
29.5,34.375,2021,3,23,4.21
29.5,35.0,2024,3,25,1.86
29.5,34.375,2024,3,25,0.57
29.5,35.625,2024,4,7,-1.59
29.5,35.625,2020,1,15,-0.95
29.5,35.0,2020,1,15,2.48
29.5,34.375,2020,1,15,2.94
29.5,35.625,2020,1,14,2.18
29.5,35.0,2020,1,14,4.14
29.5,34.375,2020,1,14,3.95
29.5,35.625,2023,7,9,7.56
29.5,35.0,2023,7,9,12.14
29.5,35.625,2024,3,26,-4.43
29.5,35.0,2024,3,26,-1.53
29.5,34.375,2024,3,26,-2.72
29.5,35.625,2022,10,27,7.37
29.5,35.0,2022,10,27,10.87
29.5,34.375,2022,10,27,11.71
29.5,35.625,2023,4,27,-4.76
29.5,35.0,2023,4,27,-0.31
29.5,35.625,2021,4,14,-4.03
29.5,35.0,2021,4,14,0.17
29.5,34.375,2021,4,14,0.25
29.5,35.625,2022,10,22,10.65
29.5,35.625,2022,6,20,6.65
29.5,35.0,2022,6,20,11.53
29.5,34.375,2022,6,20,10.78
29.5,35.625,2024,12,23,-5.33
29.5,35.0,2024,12,23,-2.14
29.5,34.375,2024,12,23,0.51
29.5,35.625,2022,6,21,6.5
29.5,35.0,2022,6,21,10.11
29.5,34.375,2022,6,21,10.59
29.5,35.625,2023,7,10,8.48
29.5,35.0,2023,7,10,12.99
29.5,34.375,2023,7,10,12.57
29.5,34.375,2022,10,22,13.98
29.5,35.625,2021,3,22,1.26
29.5,35.0,2021,3,22,4.37
29.5,34.375,2021,3,22,2.01
29.5,35.625,2021,4,15,-5.83
29.5,34.375,2022,6,19,10.46
29.5,35.625,2023,2,12,-0.73
29.5,35.0,2023,2,12,2.71
29.5,34.375,2023,2,12,2.18
29.5,35.625,2020,1,16,-3.13
29.5,35.0,2020,1,16,2.2
29.5,34.375,2020,1,16,3.51
29.5,35.625,2024,3,25,-1.09
29.5,35.625,2024,4,8,1.37
29.5,35.0,2024,4,8,4.95
29.5,34.375,2024,4,8,4.58
29.5,35.625,2023,2,18,-8.6
29.5,35.0,2023,2,18,-4.44
29.5,34.375,2023,2,18,-1.73
29.5,35.625,2022,6,19,5.94
29.5,35.0,2022,6,19,10.97
29.5,35.0,2021,4,15,-1.62
29.5,34.375,2021,4,15,-0.55
29.5,35.625,2022,10,28,4.67
29.5,35.0,2022,10,28,9.76
29.5,34.375,2022,10,28,12.12
29.5,35.625,2021,3,21,1.82
29.5,35.0,2021,3,21,4.15
29.5,34.375,2021,3,21,1.9
29.5,35.625,2022,10,21,9.61
29.5,35.0,2022,10,21,13.52
29.5,35.0,2022,10,22,14.04
29.5,34.375,2021,4,16,1.27
29.5,35.625,2024,4,9,2.91
29.5,35.0,2024,4,9,5.3
29.5,34.375,2024,4,9,4.24
29.5,35.625,2024,3,24,2.34
29.5,35.0,2024,3,24,6.18
29.5,34.375,2024,3,24,5.56
29.5,35.625,2024,12,22,-3.22
29.5,35.0,2024,12,22,-0.41
29.5,34.375,2024,12,22,2.44
29.5,35.625,2020,1,17,2.92
29.5,35.0,2020,1,17,5.22
29.5,34.375,2020,1,17,5.07
29.5,35.625,2022,6,18,7.8
29.5,35.0,2022,6,18,12.75
29.5,34.375,2022,6,18,11.95
29.5,35.0,2021,3,19,2.2
29.5,34.375,2021,3,19,2.34
29.5,35.625,2024,3,23,-1.84
29.5,35.0,2024,3,23,0.98
29.5,34.375,2024,3,23,1.05
29.5,35.625,2023,7,12,6.49
29.5,35.0,2023,7,12,11.06
29.5,34.375,2023,7,12,11.41
29.5,35.625,2020,1,18,4.68
29.5,35.0,2020,1,18,6.73
29.5,34.375,2020,1,18,5.66
29.5,35.625,2022,7,6,3.08
29.5,35.0,2022,7,6,6.65
29.5,34.375,2022,7,6,5.92
29.5,35.625,2021,4,16,-3.46
29.5,35.0,2021,4,16,1.51
29.5,34.375,2021,4,17,1.33
29.5,35.625,2023,4,23,0.84
29.5,35.0,2023,4,23,5.01
29.5,34.375,2023,4,23,3.98
29.5,35.625,2021,4,18,3.16
29.5,35.0,2021,4,18,4.85
29.5,35.625,2020,1,19,1.49
29.5,35.0,2020,1,19,3.54
29.5,34.375,2020,1,19,1.77
29.5,35.625,2023,7,11,7.75
29.5,35.0,2023,7,11,11.8
29.5,34.375,2023,7,11,11.69
29.5,35.625,2021,3,20,-1.59
29.5,35.0,2021,3,20,1.22
29.5,34.375,2021,3,20,1.62
29.5,35.625,2021,3,19,-2.4
29.5,35.0,2024,4,10,6.91
29.5,34.375,2024,4,10,6.44
29.5,35.625,2021,4,19,-1.36
29.5,35.0,2021,4,19,2.93
29.5,34.375,2021,4,19,1.88
29.5,35.625,2024,12,20,4.01
29.5,35.0,2024,12,20,6.33
29.5,34.375,2024,12,20,5.83
29.5,35.625,2024,12,21,1.56
29.5,35.0,2024,12,21,5.01
29.5,34.375,2024,12,21,3.73
29.5,35.625,2022,6,17,7.21
29.5,35.0,2022,6,17,12.94
29.5,34.375,2022,6,17,13.48
29.5,35.625,2021,4,17,3.23
29.5,35.0,2021,4,17,3.81
29.5,35.0,2021,3,18,2.33
29.5,34.375,2021,3,18,2.19
29.5,35.625,2024,4,11,3.15
29.5,35.0,2024,4,11,5.84
29.5,34.375,2024,4,11,5.81
29.5,35.625,2022,6,15,7.42
29.5,35.0,2022,6,15,10.49
29.5,34.375,2022,6,15,10.55
29.5,35.625,2023,2,11,-3.28
29.5,35.0,2023,2,11,-0.74
29.5,34.375,2023,2,11,0.26
29.5,35.625,2022,6,16,7.37
29.5,35.0,2022,6,16,11.69
29.5,34.375,2022,6,16,12.29
29.5,34.375,2021,4,18,3.22
29.5,35.625,2024,4,10,4.45
29.5,35.0,2020,1,20,4.85
29.5,34.375,2020,1,20,3.99
29.5,35.625,2023,7,13,3.25
29.5,35.0,2023,7,13,9.72
29.5,34.375,2023,7,13,11.4
29.5,35.625,2022,10,20,7.94
29.5,35.0,2022,10,20,11.85
29.5,34.375,2022,10,20,12.78
29.5,35.625,2021,3,17,1.24
29.5,35.0,2021,3,17,4.38
29.5,34.375,2021,3,17,3.22
29.5,35.625,2021,4,20,4.42
29.5,35.0,2021,4,20,11.55
29.5,34.375,2021,4,20,4.12
29.5,35.625,2024,3,22,-0.11
29.5,35.625,2021,3,18,-1.47
29.5,35.0,2024,3,22,3.14
29.5,34.375,2024,3,22,1.79
29.5,34.375,2022,10,21,14.4
29.5,35.625,2021,3,16,1.96
29.5,35.0,2021,3,16,5.75
29.5,34.375,2021,3,16,6.12
29.5,35.625,2021,4,21,4.92
29.5,35.0,2021,4,21,9.48
29.5,34.375,2021,4,21,4.92
29.5,35.625,2020,1,21,-0.55
29.5,35.0,2020,1,21,1.88
29.5,34.375,2020,1,21,0.75
29.5,35.625,2023,6,30,3.96
29.5,35.0,2023,6,30,8.52
29.5,34.375,2023,6,30,8.92
29.5,35.625,2020,1,20,2.07
29.5,34.375,2021,4,22,4.34
29.5,35.625,2020,1,22,0.78
29.5,35.0,2020,1,22,3.75
29.5,34.375,2020,1,22,2.65
29.5,35.625,2022,7,7,-0.13
29.5,35.0,2022,7,7,6.09
29.5,34.375,2022,7,7,7.2
29.5,35.625,2022,6,14,7.74
29.5,35.0,2022,6,14,11.02
29.5,34.375,2022,6,14,10.5
29.5,35.625,2021,3,15,-1.61
29.5,35.0,2021,3,15,2.79
29.5,34.375,2021,3,15,2.72
29.5,35.625,2023,4,22,-1.29
29.5,35.0,2023,4,22,3.15
29.5,34.375,2023,4,22,3.35
29.5,35.0,2020,1,23,1.6
29.5,34.375,2020,1,23,0.26
29.5,35.625,2024,12,19,-0.48
29.5,35.0,2024,12,19,1.34
29.5,34.375,2024,12,19,-1.82
29.5,35.625,2023,7,14,2.92
29.5,35.0,2023,7,14,8.79
29.5,34.375,2023,7,14,9.54
29.5,35.625,2022,10,29,0.8
29.5,35.0,2022,10,29,7.45
29.5,34.375,2022,10,29,12.54
29.5,35.625,2024,4,12,2.95
29.5,35.0,2024,4,12,6.4
29.5,35.625,2024,3,21,-0.3
29.5,35.0,2024,3,21,3.09
29.5,34.375,2024,3,21,1.14
29.5,35.625,2024,4,13,4.12
29.5,35.0,2024,4,13,7.69
29.5,34.375,2024,4,13,7.02
29.5,35.625,2021,4,23,0.48
29.5,35.0,2021,4,23,7.23
29.5,34.375,2021,4,23,3.75
29.5,35.625,2024,12,18,-7.79
29.5,35.0,2024,12,18,-5.83
29.5,34.375,2024,12,18,-3.0
29.5,35.625,2022,6,13,7.89
29.5,35.0,2022,6,13,11.17
29.5,34.375,2022,6,13,9.99
29.5,35.625,2022,6,12,3.35
29.5,35.0,2022,6,12,7.2
29.5,34.375,2022,6,12,6.82
29.5,35.625,2020,1,23,-1.3
29.5,35.0,2024,3,19,5.6
29.5,35.625,2023,2,19,-4.68
29.5,35.0,2023,2,19,-2.58
29.5,34.375,2023,2,19,-0.68
29.5,35.625,2023,6,29,5.77
29.5,35.0,2023,6,29,11.14
29.5,34.375,2023,6,29,11.62
29.5,35.625,2021,4,22,0.47
29.5,35.0,2021,4,22,7.43
29.5,35.625,2021,3,14,-4.42
29.5,35.0,2021,3,14,1.17
29.5,34.375,2021,3,14,2.59
29.5,35.625,2021,3,13,-1.58
29.5,35.0,2021,3,13,3.12
29.5,34.375,2024,3,19,4.19
29.5,34.375,2024,4,12,6.28
29.5,35.0,2023,7,16,8.51
29.5,34.375,2023,7,16,6.45
29.5,35.625,2020,1,24,1.2
29.5,35.0,2020,1,24,3.58
29.5,34.375,2020,1,24,2.43
29.5,35.625,2023,7,15,4.23
29.5,35.0,2023,7,15,8.08
29.5,34.375,2023,7,15,6.61
29.5,35.625,2024,3,20,-0.01
29.5,35.0,2024,3,20,2.82
29.5,34.375,2024,3,20,0.79
29.5,34.375,2021,3,13,2.82
29.5,35.625,2022,10,19,8.56
29.5,35.0,2022,10,19,11.74
29.5,34.375,2022,10,19,10.87
29.5,35.625,2024,3,19,3.52
29.5,34.375,2022,6,10,4.46
29.5,35.625,2020,1,25,-5.55
29.5,35.0,2020,1,25,-0.92
29.5,34.375,2020,1,25,-0.98
29.5,35.625,2022,6,11,0.47
29.5,35.0,2022,6,11,4.31
29.5,34.375,2022,6,11,3.69
29.5,35.625,2024,4,14,5.91
29.5,35.0,2024,4,14,9.11
29.5,34.375,2024,4,14,8.63
29.5,35.625,2021,4,24,3.1
29.5,35.0,2021,4,24,10.64
29.5,34.375,2021,4,24,5.53
29.5,35.625,2023,4,28,1.13
29.5,35.0,2023,4,28,5.56
29.5,35.625,2023,7,16,5.8
29.5,34.375,2023,4,28,5.92
29.5,35.625,2021,3,12,2.84
29.5,35.0,2021,3,12,5.08
29.5,34.375,2021,3,12,3.96
29.5,35.625,2021,4,25,-1.33
29.5,35.0,2021,4,25,7.06
29.5,34.375,2021,4,25,-2.99
29.5,34.375,2022,7,8,5.46
29.5,35.625,2020,1,26,-4.86
29.5,35.0,2020,1,26,-2.52
29.5,34.375,2020,1,26,-3.82
29.5,35.625,2024,12,17,-9.06
29.5,35.0,2024,12,17,-1.96
29.5,34.375,2024,12,17,2.31
29.5,35.625,2022,6,10,1.42
29.5,35.0,2022,6,10,5.02
29.5,35.0,2024,12,16,-6.9
29.5,34.375,2024,12,16,-5.34
29.5,35.625,2020,1,27,-7.49
29.5,35.0,2020,1,27,-2.86
29.5,34.375,2020,1,27,-2.29
29.5,35.625,2022,7,8,2.94
29.5,35.0,2022,7,8,6.88
29.5,35.625,2021,3,11,-3.96
29.5,35.0,2021,3,11,-0.46
29.5,34.375,2021,3,11,-3.33
29.5,35.625,2024,4,15,5.64
29.5,35.0,2024,4,15,9.02
29.5,34.375,2024,4,15,8.24
29.5,34.375,2022,10,31,11.96
29.5,35.625,2021,4,26,0.98
29.5,35.0,2021,4,26,7.06
29.5,35.625,2022,10,30,6.69
29.5,35.0,2022,10,30,12.42
29.5,34.375,2022,10,30,13.16
29.5,35.625,2021,4,27,-1.12
29.5,35.0,2021,4,27,7.11
29.5,34.375,2021,4,27,4.38
29.5,35.625,2024,3,18,5.46
29.5,35.625,2023,7,17,3.27
29.5,35.0,2023,7,17,6.97
29.5,34.375,2023,7,17,4.39
29.5,35.625,2022,6,9,1.43
29.5,35.0,2022,6,9,5.68
29.5,34.375,2022,6,9,4.56
29.5,35.625,2022,6,8,3.81
29.5,35.0,2022,6,8,7.75
29.5,35.625,2024,12,16,-11.11
29.5,35.0,2022,6,7,10.02
29.5,35.0,2020,1,28,0.23
29.5,34.375,2020,1,28,-1.79
29.5,35.625,2023,2,10,-3.41
29.5,35.0,2023,2,10,0.02
29.5,34.375,2023,2,10,0.9
29.5,34.375,2022,6,8,7.44
29.5,35.0,2024,3,18,8.37
29.5,34.375,2024,3,18,7.05
29.5,35.625,2021,3,10,-4.16
29.5,35.0,2021,3,10,-1.08
29.5,34.375,2021,3,10,-3.16
29.5,35.625,2024,3,17,-0.5
29.5,35.0,2024,3,17,2.07
29.5,34.375,2024,3,17,2.03
29.5,34.375,2021,4,26,2.27
29.5,34.375,2021,4,29,0.38
29.5,35.625,2020,1,29,1.49
29.5,35.0,2020,1,29,4.36
29.5,34.375,2020,1,29,3.17
29.5,35.625,2020,1,28,-4.99
29.5,35.625,2023,7,18,3.56
29.5,35.0,2023,7,18,6.71
29.5,34.375,2023,7,18,5.44
29.5,35.625,2023,4,29,0.22
29.5,35.0,2023,4,29,3.88
29.5,34.375,2023,4,29,3.21
29.5,35.625,2021,3,9,-2.94
29.5,35.0,2021,3,9,-0.82
29.5,34.375,2021,3,9,-0.29
29.5,35.625,2024,4,16,3.76
29.5,35.625,2022,6,7,5.31
29.5,35.0,2024,12,14,3.28
