LAT,LON,YEAR,MO,DY,TS
29.5,34.375,2022,7,2,28.49
29.5,34.375,2022,7,3,28.64
29.5,35.625,2024,12,30,5.28
29.5,35.0,2024,12,30,9.8
29.5,34.375,2024,12,30,7.68
29.5,35.625,2020,1,1,6.18
29.5,35.625,2020,8,18,28.33
29.5,35.0,2020,8,18,29.75
29.5,34.375,2020,8,18,27.93
29.5,35.625,2021,11,17,17.2
29.5,35.0,2021,11,17,19.71
29.5,34.375,2021,11,17,17.57
29.5,35.625,2020,8,17,28.85
29.5,35.0,2020,8,17,30.58
29.5,34.375,2020,8,17,28.87
29.5,35.625,2022,12,21,10.07
29.5,35.625,2021,4,3,13.29
29.5,35.0,2021,4,3,15.4
29.5,34.375,2021,4,3,13.69
29.5,35.625,2024,3,31,18.2
29.5,35.0,2024,3,31,21.88
29.5,34.375,2024,3,31,20.68
29.5,35.625,2022,7,1,30.07
29.5,35.0,2022,7,1,30.79
29.5,34.375,2022,7,1,29.44
29.5,35.625,2023,2,16,6.63
29.5,35.0,2023,2,16,10.23
29.5,34.375,2023,2,16,6.9
29.5,35.625,2022,7,2,28.05
29.5,35.0,2022,7,2,30.04
29.5,35.0,2020,1,1,9.58
29.5,34.375,2020,1,2,9.18
29.5,34.375,2024,4,2,24.89
29.5,35.625,2021,4,1,13.62
29.5,35.0,2021,4,1,16.65
29.5,34.375,2021,4,1,14.78
29.5,35.625,2021,4,4,15.41
29.5,35.625,2022,6,30,29.76
29.5,35.0,2022,6,30,30.98
29.5,34.375,2022,6,30,30.0
29.5,35.625,2024,12,29,6.24
29.5,35.0,2024,12,29,10.43
29.5,34.375,2024,12,29,8.29
29.5,35.625,2023,7,4,31.75
29.5,35.0,2023,7,4,30.68
29.5,34.375,2023,7,4,28.51
29.5,35.625,2020,1,5,6.23
29.5,35.0,2020,1,5,9.63
29.5,35.0,2023,4,25,20.58
29.5,34.375,2023,4,25,18.4
29.5,35.625,2021,4,5,16.38
29.5,35.0,2021,4,5,20.35
29.5,35.0,2022,6,29,30.41
29.5,34.375,2022,6,29,29.1
29.5,35.625,2023,2,15,6.34
29.5,35.0,2023,2,15,10.08
29.5,34.375,2023,2,15,7.33
29.5,35.625,2020,1,6,5.35
29.5,35.0,2020,1,6,9.61
29.5,34.375,2020,1,6,7.29
29.5,35.625,2022,7,3,27.97
29.5,35.0,2022,7,3,30.02
29.5,35.625,2024,4,2,22.37
29.5,35.0,2024,4,2,26.13
29.5,34.375,2021,4,5,17.24
29.5,35.625,2022,10,25,20.54
29.5,35.0,2022,10,25,23.3
29.5,34.375,2022,10,25,20.95
29.5,35.625,2021,3,31,13.14
29.5,35.0,2021,3,31,15.68
29.5,34.375,2021,3,31,13.6
29.5,35.0,2022,7,4,30.47
29.5,34.375,2022,7,4,28.9
29.5,35.625,2020,1,7,6.37
29.5,35.0,2020,1,7,10.33
29.5,34.375,2020,1,7,7.43
29.5,35.625,2022,6,29,29.29
29.5,35.0,2021,4,4,16.99
29.5,34.375,2021,4,4,14.3
29.5,35.625,2023,4,25,20.25
29.5,35.0,2024,12,28,10.0
29.5,34.375,2024,12,28,7.98
29.5,35.625,2022,6,28,29.34
29.5,35.0,2022,6,28,30.68
29.5,34.375,2022,6,28,28.95
29.5,35.625,2022,7,4,28.54
29.5,35.625,2021,4,6,20.85
29.5,35.0,2021,4,6,24.22
29.5,34.375,2021,4,6,21.81
29.5,35.625,2024,4,3,23.66
29.5,35.0,2024,4,3,25.46
29.5,34.375,2024,4,3,24.22
29.5,35.625,2021,4,7,22.82
29.5,35.0,2021,4,7,24.5
29.5,34.375,2021,4,7,23.53
29.5,35.625,2024,3,30,18.18
29.5,35.625,2021,3,29,13.16
29.5,35.0,2021,3,29,16.52
29.5,34.375,2021,3,29,13.56
29.5,35.625,2024,3,29,19.4
29.5,35.0,2024,3,29,20.74
29.5,35.625,2023,7,6,30.99
29.5,35.0,2023,7,6,30.06
29.5,34.375,2023,7,6,27.92
29.5,35.625,2023,2,14,6.99
29.5,35.0,2023,2,14,10.35
29.5,34.375,2023,2,14,7.56
29.5,35.625,2023,7,2,30.15
29.5,35.0,2023,7,2,29.81
29.5,34.375,2023,7,2,27.55
29.5,35.625,2023,7,5,31.66
29.5,35.625,2024,12,28,5.7
29.5,34.375,2023,4,24,21.21
29.5,35.625,2023,4,26,20.69
29.5,35.0,2023,4,26,21.49
29.5,34.375,2023,4,26,20.35
29.5,35.625,2022,6,26,27.62
29.5,34.375,2020,1,9,6.46
29.5,35.625,2020,1,8,4.51
29.5,35.0,2020,1,8,8.51
29.5,34.375,2020,1,8,6.15
29.5,35.0,2023,7,5,30.83
29.5,34.375,2023,7,5,28.72
29.5,35.0,2024,3,30,21.61
29.5,34.375,2024,3,30,20.39
29.5,35.625,2021,3,30,13.92
29.5,35.0,2021,3,30,15.84
29.5,34.375,2021,3,30,13.49
29.5,35.0,2024,4,4,25.46
29.5,34.375,2024,4,4,24.5
29.5,35.625,2021,4,8,22.15
29.5,35.0,2021,4,8,22.47
29.5,34.375,2021,4,8,20.15
29.5,35.625,2024,12,27,5.55
29.5,35.0,2024,12,27,9.58
29.5,34.375,2024,12,27,7.03
29.5,35.625,2020,1,9,4.77
29.5,35.0,2020,1,9,8.57
29.5,35.625,2022,6,27,28.63
29.5,35.0,2022,6,27,29.82
29.5,34.375,2022,6,27,28.11
29.5,34.375,2024,3,29,18.82
29.5,35.625,2023,4,24,22.61
29.5,35.0,2023,4,24,23.11
29.5,34.375,2024,12,26,10.41
29.5,35.0,2022,6,26,28.66
29.5,34.375,2022,6,26,26.73
29.5,35.625,2022,7,5,28.23
29.5,35.0,2022,7,5,30.92
29.5,34.375,2022,7,5,29.25
29.5,35.625,2021,3,28,12.39
29.5,35.0,2021,3,28,15.01
29.5,34.375,2021,3,28,12.3
29.5,35.625,2024,4,5,22.37
29.5,35.0,2024,4,5,24.17
29.5,34.375,2024,4,5,22.57
29.5,35.625,2021,4,9,17.4
29.5,35.0,2021,4,9,19.08
29.5,34.375,2021,4,9,16.76
29.5,35.625,2024,4,4,23.1
29.5,35.0,2021,3,27,13.65
29.5,34.375,2021,3,27,11.08
29.5,35.625,2021,4,10,12.66
29.5,35.0,2021,4,10,15.73
29.5,34.375,2021,4,10,12.84
29.5,35.625,2024,3,28,19.39
29.5,35.0,2022,6,25,29.96
29.5,34.375,2022,6,25,28.21
29.5,35.625,2020,1,11,6.53
29.5,35.0,2020,1,11,9.97
29.5,34.375,2020,1,11,8.33
29.5,35.625,2020,1,10,5.51
29.5,35.0,2020,1,10,9.55
29.5,34.375,2020,1,10,7.74
29.5,35.625,2024,12,26,9.75
29.5,35.0,2024,12,26,13.11
29.5,35.0,2023,2,13,10.11
29.5,34.375,2023,2,13,7.62
29.5,35.625,2023,7,7,30.45
29.5,35.0,2023,7,7,29.08
29.5,34.375,2023,7,7,27.05
29.5,35.625,2022,6,25,28.21
29.5,35.0,2024,3,28,22.65
29.5,34.375,2024,3,28,20.82
29.5,35.625,2022,10,26,20.45
