LAT,LON,YEAR,MO,DY,T2M_RANGE
29.5,34.375,2022,7,2,15.65
29.5,34.375,2022,7,3,14.84
29.5,35.625,2024,12,30,11.81
29.5,35.0,2024,12,30,8.47
29.5,34.375,2024,12,30,9.63
29.5,35.625,2020,1,1,13.57
29.5,35.625,2020,8,18,18.32
29.5,35.0,2020,8,18,15.16
29.5,34.375,2020,8,18,17.05
29.5,35.625,2021,11,17,13.6
29.5,35.0,2021,11,17,11.74
29.5,34.375,2021,11,17,12.56
29.5,35.625,2020,8,17,17.8
29.5,35.0,2020,8,17,15.25
29.5,34.375,2020,8,17,16.72
29.5,35.625,2022,12,21,13.28
29.5,35.625,2021,4,3,20.8
29.5,35.0,2021,4,3,16.4
29.5,34.375,2021,4,3,16.55
29.5,35.625,2024,3,31,15.14
29.5,35.0,2024,3,31,15.72
29.5,34.375,2024,3,31,16.55
29.5,35.625,2022,7,1,17.18
29.5,35.0,2022,7,1,13.74
29.5,34.375,2022,7,1,15.0
29.5,35.625,2023,2,16,13.03
29.5,35.0,2023,2,16,12.54
29.5,34.375,2023,2,16,12.97
29.5,35.625,2022,7,2,13.76
29.5,35.0,2022,7,2,13.77
29.5,35.0,2020,1,1,11.84
29.5,34.375,2020,1,2,12.55
29.5,34.375,2024,4,2,15.06
29.5,35.625,2021,4,1,16.24
29.5,35.0,2021,4,1,14.39
29.5,34.375,2021,4,1,15.73
29.5,35.625,2021,4,4,20.95
29.5,35.625,2022,6,30,17.87
29.5,35.0,2022,6,30,14.44
29.5,34.375,2022,6,30,16.21
29.5,35.625,2024,12,29,12.61
29.5,35.0,2024,12,29,9.09
29.5,34.375,2024,12,29,12.88
29.5,35.625,2023,7,4,19.89
29.5,35.0,2023,7,4,17.94
29.5,34.375,2023,7,4,18.67
29.5,35.625,2020,1,5,9.83
29.5,35.0,2020,1,5,10.8
29.5,35.0,2023,4,25,16.36
29.5,34.375,2023,4,25,17.33
29.5,35.625,2021,4,5,22.29
29.5,35.0,2021,4,5,21.56
29.5,35.0,2022,6,29,14.71
29.5,34.375,2022,6,29,16.54
29.5,35.625,2023,2,15,12.06
29.5,35.0,2023,2,15,9.35
29.5,34.375,2023,2,15,9.71
29.5,35.625,2020,1,6,16.18
29.5,35.0,2020,1,6,12.39
29.5,34.375,2020,1,6,16.53
29.5,35.625,2022,7,3,16.86
29.5,35.0,2022,7,3,14.24
29.5,35.625,2024,4,2,15.54
29.5,35.0,2024,4,2,13.21
29.5,34.375,2021,4,5,23.03
29.5,35.625,2022,10,25,12.46
29.5,35.0,2022,10,25,14.61
29.5,34.375,2022,10,25,13.0
29.5,35.625,2021,3,31,16.93
29.5,35.0,2021,3,31,13.86
29.5,34.375,2021,3,31,13.97
29.5,35.0,2022,7,4,14.44
29.5,34.375,2022,7,4,15.49
29.5,35.625,2020,1,7,15.16
29.5,35.0,2020,1,7,12.73
29.5,34.375,2020,1,7,13.8
29.5,35.625,2022,6,29,18.54
29.5,35.0,2021,4,4,18.33
29.5,34.375,2021,4,4,19.49
29.5,35.625,2023,4,25,18.57
29.5,35.0,2024,12,28,11.19
