LAT,LON,YEAR,MO,DY,T2M_MAX
29.5,34.375,2022,7,2,33.53
29.5,34.375,2022,7,3,33.34
29.5,35.625,2024,12,30,11.85
29.5,35.0,2024,12,30,13.5
29.5,34.375,2024,12,30,12.56
29.5,35.625,2020,1,1,13.27
29.5,35.625,2020,8,18,35.48
29.5,35.0,2020,8,18,35.12
29.5,34.375,2020,8,18,34.04
29.5,35.625,2021,11,17,24.01
29.5,35.0,2021,11,17,26.04
29.5,34.375,2021,11,17,24.15
29.5,35.625,2020,8,17,36.12
29.5,35.0,2020,8,17,36.33
29.5,34.375,2020,8,17,35.86
29.5,35.625,2022,12,21,17.62
29.5,35.625,2021,4,3,22.3
29.5,35.0,2021,4,3,21.8
29.5,34.375,2021,4,3,20.89
29.5,35.625,2024,3,31,24.53
29.5,35.0,2024,3,31,28.65
29.5,34.375,2024,3,31,28.0
29.5,35.625,2022,7,1,34.74
29.5,35.0,2022,7,1,33.93
29.5,34.375,2022,7,1,33.1
29.5,35.625,2023,2,16,12.5
29.5,35.0,2023,2,16,15.7
29.5,34.375,2023,2,16,13.47
29.5,35.625,2022,7,2,31.77
29.5,35.0,2022,7,2,34.1
29.5,35.0,2020,1,1,15.33
29.5,34.375,2020,1,2,16.33
29.5,34.375,2024,4,2,30.76
29.5,35.625,2021,4,1,20.35
29.5,35.0,2021,4,1,21.78
29.5,34.375,2021,4,1,20.94
29.5,35.625,2021,4,4,24.19
29.5,35.625,2022,6,30,35.3
29.5,35.0,2022,6,30,34.84
29.5,34.375,2022,6,30,34.59
29.5,35.625,2024,12,29,14.94
29.5,35.0,2024,12,29,16.85
29.5,34.375,2024,12,29,15.9
29.5,35.625,2023,7,4,38.09
29.5,35.0,2023,7,4,37.0
29.5,34.375,2023,7,4,35.73
29.5,35.625,2020,1,5,12.39
29.5,35.0,2020,1,5,14.78
29.5,35.0,2023,4,25,27.04
29.5,34.375,2023,4,25,25.68
29.5,35.625,2021,4,5,26.8
29.5,35.0,2021,4,5,30.21
29.5,35.0,2022,6,29,34.33
29.5,34.375,2022,6,29,33.78
29.5,35.625,2023,2,15,12.08
29.5,35.0,2023,2,15,13.54
29.5,34.375,2023,2,15,11.46
29.5,35.625,2020,1,6,15.46
29.5,35.0,2020,1,6,17.17
29.5,34.375,2020,1,6,17.29
29.5,35.625,2022,7,3,32.87
29.5,35.0,2022,7,3,34.11
29.5,35.625,2024,4,2,27.92
29.5,35.0,2024,4,2,31.48
29.5,34.375,2021,4,5,29.08
29.5,35.625,2022,10,25,26.54
29.5,35.0,2022,10,25,29.93
29.5,34.375,2022,10,25,27.94
29.5,35.625,2021,3,31,20.55
29.5,35.0,2021,3,31,20.12
29.5,34.375,2021,3,31,19.23
29.5,35.0,2022,7,4,34.63
29.5,34.375,2022,7,4,33.66
29.5,35.625,2020,1,7,15.44
29.5,35.0,2020,1,7,17.57
