LAT,LON,YEAR,MO,DY,T2M_MIN
29.5,34.375,2022,7,2,17.88
29.5,34.375,2022,7,3,18.5
29.5,35.625,2024,12,30,0.04
29.5,35.0,2024,12,30,5.03
29.5,34.375,2024,12,30,2.93
29.5,35.625,2020,1,1,-0.3
29.5,35.625,2020,8,18,17.16
29.5,35.0,2020,8,18,19.96
29.5,34.375,2020,8,18,16.99
29.5,35.625,2021,11,17,10.41
29.5,35.0,2021,11,17,14.3
29.5,34.375,2021,11,17,11.59
29.5,35.625,2020,8,17,18.32
29.5,35.0,2020,8,17,21.08
29.5,34.375,2020,8,17,19.14
29.5,35.625,2022,12,21,4.34
29.5,35.625,2021,4,3,1.5
29.5,35.0,2021,4,3,5.4
29.5,34.375,2021,4,3,4.34
29.5,35.625,2024,3,31,9.39
29.5,35.0,2024,3,31,12.93
29.5,34.375,2024,3,31,11.45
29.5,35.625,2022,7,1,17.56
29.5,35.0,2022,7,1,20.19
29.5,34.375,2022,7,1,18.1
29.5,35.625,2023,2,16,-0.53
29.5,35.0,2023,2,16,3.16
29.5,34.375,2023,2,16,0.5
29.5,35.625,2022,7,2,18.01
29.5,35.0,2022,7,2,20.33
29.5,35.0,2020,1,1,3.49
29.5,34.375,2020,1,2,3.78
29.5,34.375,2024,4,2,15.7
29.5,35.625,2021,4,1,4.11
29.5,35.0,2021,4,1,7.39
29.5,34.375,2021,4,1,5.21
29.5,35.625,2021,4,4,3.24
29.5,35.625,2022,6,30,17.43
29.5,35.0,2022,6,30,20.4
29.5,34.375,2022,6,30,18.38
29.5,35.625,2024,12,29,2.33
29.5,35.0,2024,12,29,7.76
29.5,34.375,2024,12,29,3.02
29.5,35.625,2023,7,4,18.2
29.5,35.0,2023,7,4,19.06
29.5,34.375,2023,7,4,17.06
29.5,35.625,2020,1,5,2.56
29.5,35.0,2020,1,5,3.98
29.5,35.0,2023,4,25,10.68
29.5,34.375,2023,4,25,8.35
29.5,35.625,2021,4,5,4.51
29.5,35.0,2021,4,5,8.65
29.5,35.0,2022,6,29,19.62
29.5,34.375,2022,6,29,17.24
29.5,35.625,2023,2,15,0.02
29.5,35.0,2023,2,15,4.19
29.5,34.375,2023,2,15,1.75
29.5,35.625,2020,1,6,-0.72
29.5,35.0,2020,1,6,4.78
29.5,34.375,2020,1,6,0.76
29.5,35.625,2022,7,3,16.01
29.5,35.0,2022,7,3,19.87
29.5,35.625,2024,4,2,12.38
29.5,35.0,2024,4,2,18.27
29.5,34.375,2021,4,5,6.05
29.5,35.625,2022,10,25,14.08
29.5,35.0,2022,10,25,15.32
29.5,34.375,2022,10,25,14.94
29.5,35.625,2021,3,31,3.62
29.5,35.0,2021,3,31,6.26
29.5,34.375,2021,3,31,5.26
29.5,35.0,2022,7,4,20.19
29.5,34.375,2022,7,4,18.17
29.5,35.625,2020,1,7,0.28
29.5,35.0,2020,1,7,4.84
29.5,34.375,2020,1,7,2.09
29.5,35.625,2022,6,29,16.8
29.5,35.0,2021,4,4,6.55
29.5,34.375,2021,4,4,3.65
29.5,35.625,2023,4,25,9.26
29.5,35.0,2024,12,28,5.43
29.5,34.375,2024,12,28,1.53
29.5,35.625,2022,6,28,16.98
29.5,35.0,2022,6,28,19.07
29.5,34.375,2022,6,28,17.09
29.5,35.625,2022,7,4,16.39
29.5,35.625,2021,4,6,9.13
29.5,35.0,2021,4,6,15.65
29.5,34.375,2021,4,6,11.0
29.5,35.625,2024,4,3,13.45
29.5,35.0,2024,4,3,15.78
29.5,34.375,2024,4,3,14.02
29.5,35.625,2021,4,7,14.44
29.5,35.0,2021,4,7,15.81
29.5,34.375,2021,4,7,13.22
29.5,35.625,2024,3,30,9.26
29.5,35.625,2021,3,29,1.69
29.5,35.0,2021,3,29,5.39
29.5,34.375,2021,3,29,4.04
29.5,35.625,2024,3,29,11.89
29.5,35.0,2024,3,29,14.08
29.5,35.625,2023,7,6,17.91
29.5,35.0,2023,7,6,19.38
29.5,34.375,2023,7,6,17.94
29.5,35.625,2023,2,14,-1.86
29.5,35.0,2023,2,14,1.83
29.5,34.375,2023,2,14,1.83
29.5,35.625,2023,7,2,16.6
29.5,35.0,2023,7,2,18.8
