LAT,LON,YEAR,MO,DY,QV2M
29.5,34.375,2022,7,2,8.42
29.5,34.375,2022,7,3,7.87
29.5,35.625,2024,12,30,4.56
29.5,35.0,2024,12,30,5.11
29.5,34.375,2024,12,30,4.92
29.5,35.625,2020,1,1,3.38
29.5,35.625,2020,8,18,5.08
29.5,35.0,2020,8,18,7.28
29.5,34.375,2020,8,18,8.08
29.5,35.625,2021,11,17,5.44
29.5,35.0,2021,11,17,6.87
29.5,34.375,2021,11,17,7.59
29.5,35.625,2020,8,17,4.47
29.5,35.0,2020,8,17,5.65
29.5,34.375,2020,8,17,5.43
29.5,35.625,2022,12,21,5.97
29.5,35.625,2021,4,3,3.06
29.5,35.0,2021,4,3,4.02
29.5,34.375,2021,4,3,3.95
29.5,35.625,2024,3,31,6.57
29.5,35.0,2024,3,31,6.67
29.5,34.375,2024,3,31,5.98
29.5,35.625,2022,7,1,7.67
29.5,35.0,2022,7,1,9.24
29.5,34.375,2022,7,1,9.53
29.5,35.625,2023,2,16,3.71
29.5,35.0,2023,2,16,4.32
29.5,34.375,2023,2,16,4.4
29.5,35.625,2022,7,2,7.45
29.5,35.0,2022,7,2,8.6
29.5,35.0,2020,1,1,4.35
29.5,34.375,2020,1,2,4.52
29.5,34.375,2024,4,2,6.75
29.5,35.625,2021,4,1,3.73
29.5,35.0,2021,4,1,4.77
29.5,34.375,2021,4,1,4.64
29.5,35.625,2021,4,4,2.5
29.5,35.625,2022,6,30,6.46
29.5,35.0,2022,6,30,7.83
29.5,34.375,2022,6,30,7.71
29.5,35.625,2024,12,29,3.09
29.5,35.0,2024,12,29,3.93
29.5,34.375,2024,12,29,3.98
29.5,35.625,2023,7,4,5.31
29.5,35.0,2023,7,4,6.96
29.5,34.375,2023,7,4,6.48
29.5,35.625,2020,1,5,3.94
29.5,35.0,2020,1,5,4.38
29.5,35.0,2023,4,25,4.13
29.5,34.375,2023,4,25,3.66
29.5,35.625,2021,4,5,1.67
29.5,35.0,2021,4,5,2.43
29.5,35.0,2022,6,29,8.51
29.5,34.375,2022,6,29,8.45
29.5,35.625,2023,2,15,4.12
29.5,35.0,2023,2,15,5.12
29.5,34.375,2023,2,15,4.87
29.5,35.625,2020,1,6,3.33
29.5,35.0,2020,1,6,4.35
29.5,34.375,2020,1,6,3.21
29.5,35.625,2022,7,3,6.7
29.5,35.0,2022,7,3,7.97
29.5,35.625,2024,4,2,5.9
29.5,35.0,2024,4,2,6.9
29.5,34.375,2021,4,5,2.4
29.5,35.625,2022,10,25,6.87
29.5,35.0,2022,10,25,8.13
29.5,34.375,2022,10,25,9.19
29.5,35.625,2021,3,31,3.42
29.5,35.0,2021,3,31,4.41
29.5,34.375,2021,3,31,4.4
29.5,35.0,2022,7,4,7.49
29.5,34.375,2022,7,4,6.85
29.5,35.625,2020,1,7,3.94
29.5,35.0,2020,1,7,4.52
29.5,34.375,2020,1,7,4.12
29.5,35.625,2022,6,29,6.87
