LAT,LON,YEAR,MO,DY,PS
29.5,34.375,2022,7,2,92.18
29.5,34.375,2022,7,3,92.09
29.5,35.625,2024,12,30,89.82
29.5,35.0,2024,12,30,94.49
29.5,34.375,2024,12,30,93.22
29.5,35.625,2020,1,1,89.35
29.5,35.625,2020,8,18,88.88
29.5,35.0,2020,8,18,93.23
29.5,34.375,2020,8,18,92.08
29.5,35.625,2021,11,17,89.58
29.5,35.0,2021,11,17,94.07
29.5,34.375,2021,11,17,92.86
29.5,35.625,2020,8,17,88.94
29.5,35.0,2020,8,17,93.26
29.5,34.375,2020,8,17,92.12
29.5,35.625,2022,12,21,89.28
29.5,35.625,2021,4,3,89.75
29.5,35.0,2021,4,3,94.36
29.5,34.375,2021,4,3,93.12
29.5,35.625,2024,3,31,89.78
29.5,35.0,2024,3,31,94.16
29.5,34.375,2024,3,31,93.01
29.5,35.625,2022,7,1,88.93
29.5,35.0,2022,7,1,93.31
29.5,34.375,2022,7,1,92.17
29.5,35.625,2023,2,16,89.88
29.5,35.0,2023,2,16,94.54
29.5,34.375,2023,2,16,93.28
29.5,35.625,2022,7,2,88.97
29.5,35.0,2022,7,2,93.34
29.5,35.0,2020,1,1,93.99
29.5,34.375,2020,1,2,92.67
29.5,34.375,2024,4,2,92.57
29.5,35.625,2021,4,1,89.34
29.5,35.0,2021,4,1,93.96
29.5,34.375,2021,4,1,92.73
29.5,35.625,2021,4,4,89.82
29.5,35.625,2022,6,30,88.9
29.5,35.0,2022,6,30,93.26
29.5,34.375,2022,6,30,92.12
29.5,35.625,2024,12,29,89.77
29.5,35.0,2024,12,29,94.4
29.5,34.375,2024,12,29,93.14
29.5,35.625,2023,7,4,89.19
29.5,35.0,2023,7,4,93.55
29.5,34.375,2023,7,4,92.43
29.5,35.625,2020,1,5,89.47
29.5,35.0,2020,1,5,94.11
29.5,35.0,2023,4,25,93.77
29.5,34.375,2023,4,25,92.57
29.5,35.625,2021,4,5,89.76
29.5,35.0,2021,4,5,94.13
29.5,35.0,2022,6,29,93.27
29.5,34.375,2022,6,29,92.12
29.5,35.625,2023,2,15,89.42
29.5,35.0,2023,2,15,94.11
29.5,34.375,2023,2,15,92.87
29.5,35.625,2020,1,6,89.41
29.5,35.0,2020,1,6,94.0
29.5,34.375,2020,1,6,92.73
29.5,35.625,2022,7,3,88.9
29.5,35.0,2022,7,3,93.25
29.5,35.625,2024,4,2,89.41
29.5,35.0,2024,4,2,93.74
29.5,34.375,2021,4,5,92.96
29.5,35.625,2022,10,25,89.36
29.5,35.0,2022,10,25,93.72
29.5,34.375,2022,10,25,92.55
29.5,35.625,2021,3,31,89.18
29.5,35.0,2021,3,31,93.82
29.5,34.375,2021,3,31,92.58
29.5,35.0,2022,7,4,93.24
29.5,34.375,2022,7,4,92.09
29.5,35.625,2020,1,7,89.3
29.5,35.0,2020,1,7,93.92
29.5,34.375,2020,1,7,92.68
29.5,35.625,2022,6,29,88.9
29.5,35.0,2021,4,4,94.37
29.5,34.375,2021,4,4,93.16
29.5,35.625,2023,4,25,89.26
29.5,35.0,2024,12,28,94.31
29.5,34.375,2024,12,28,93.04
29.5,35.625,2022,6,28,88.92
29.5,35.0,2022,6,28,93.28
29.5,34.375,2022,6,28,92.13
29.5,35.625,2022,7,4,88.89
29.5,35.625,2021,4,6,89.37
29.5,35.0,2021,4,6,93.71
29.5,34.375,2021,4,6,92.53
29.5,35.625,2024,4,3,89.38
29.5,35.0,2024,4,3,93.79
29.5,34.375,2024,4,3,92.62
29.5,35.625,2021,4,7,89.38
29.5,35.0,2021,4,7,93.8
29.5,34.375,2021,4,7,92.62
29.5,35.625,2024,3,30,89.49
29.5,35.625,2021,3,29,89.68
29.5,35.0,2021,3,29,94.26
29.5,34.375,2021,3,29,93.08
29.5,35.625,2024,3,29,89.25
29.5,35.0,2024,3,29,93.72
29.5,35.625,2023,7,6,88.93
29.5,35.0,2023,7,6,93.33
29.5,34.375,2023,7,6,92.19
29.5,35.625,2023,2,14,89.28
29.5,35.0,2023,2,14,93.92
29.5,34.375,2023,2,14,92.73
29.5,35.625,2023,7,2,89.14
29.5,35.0,2023,7,2,93.54
29.5,34.375,2023,7,2,92.38
