LAT,LON,YEAR,MO,DY,WS10M
29.5,34.375,2022,7,2,4.34
29.5,34.375,2022,7,3,3.76
29.5,35.625,2024,12,30,3.9
29.5,35.0,2024,12,30,3.03
29.5,34.375,2024,12,30,4.02
29.5,35.625,2020,1,1,2.39
29.5,35.625,2020,8,18,3.84
29.5,35.0,2020,8,18,3.95
29.5,34.375,2020,8,18,4.49
29.5,35.625,2021,11,17,2.57
29.5,35.0,2021,11,17,2.21
29.5,34.375,2021,11,17,3.3
29.5,35.625,2020,8,17,3.66
29.5,35.0,2020,8,17,3.46
29.5,34.375,2020,8,17,3.45
29.5,35.625,2022,12,21,3.13
29.5,35.625,2021,4,3,3.08
29.5,35.0,2021,4,3,3.78
29.5,34.375,2021,4,3,3.64
29.5,35.625,2024,3,31,6.75
29.5,35.0,2024,3,31,6.02
29.5,34.375,2024,3,31,4.69
29.5,35.625,2022,7,1,3.91
29.5,35.0,2022,7,1,3.83
29.5,34.375,2022,7,1,4.23
29.5,35.625,2023,2,16,2.02
29.5,35.0,2023,2,16,2.84
29.5,34.375,2023,2,16,2.98
29.5,35.625,2022,7,2,4.6
29.5,35.0,2022,7,2,3.85
29.5,35.0,2020,1,1,2.89
29.5,34.375,2020,1,2,3.25
29.5,34.375,2024,4,2,3.63
29.5,35.625,2021,4,1,4.24
29.5,35.0,2021,4,1,3.5
29.5,34.375,2021,4,1,4.21
29.5,35.625,2021,4,4,2.82
29.5,35.625,2022,6,30,3.59
29.5,35.0,2022,6,30,3.32
29.5,34.375,2022,6,30,3.39
29.5,35.625,2024,12,29,2.4
29.5,35.0,2024,12,29,1.7
29.5,34.375,2024,12,29,3.19
29.5,35.625,2023,7,4,3.33
29.5,35.0,2023,7,4,4.49
29.5,34.375,2023,7,4,5.09
29.5,35.625,2020,1,5,4.1
29.5,35.0,2020,1,5,2.34
29.5,35.0,2023,4,25,4.25
29.5,34.375,2023,4,25,4.76
29.5,35.625,2021,4,5,5.31
29.5,35.0,2021,4,5,5.16
29.5,35.0,2022,6,29,3.68
29.5,34.375,2022,6,29,3.88
29.5,35.625,2023,2,15,3.71
29.5,35.0,2023,2,15,4.58
29.5,34.375,2023,2,15,5.37
29.5,35.625,2020,1,6,4.14
29.5,35.0,2020,1,6,4.29
