LAT,LON,YEAR,MO,DY,WS10M_RANGE
29.5,34.375,2022,7,2,5.27
29.5,34.375,2022,7,3,4.09
29.5,35.625,2024,12,30,3.2
29.5,35.0,2024,12,30,2.71
29.5,34.375,2024,12,30,2.77
29.5,35.625,2020,1,1,1.69
29.5,35.625,2020,8,18,4.45
29.5,35.0,2020,8,18,3.27
29.5,34.375,2020,8,18,4.22
29.5,35.625,2021,11,17,3.45
29.5,35.0,2021,11,17,4.25
29.5,34.375,2021,11,17,2.14
29.5,35.625,2020,8,17,6.01
29.5,35.0,2020,8,17,3.78
29.5,34.375,2020,8,17,5.91
29.5,35.625,2022,12,21,3.49
29.5,35.625,2021,4,3,4.19
29.5,35.0,2021,4,3,2.65
29.5,34.375,2021,4,3,3.4
29.5,35.625,2024,3,31,6.1
29.5,35.0,2024,3,31,5.46
29.5,34.375,2024,3,31,5.7
29.5,35.625,2022,7,1,7.49
29.5,35.0,2022,7,1,3.08
29.5,34.375,2022,7,1,4.0
29.5,35.625,2023,2,16,2.94
29.5,35.0,2023,2,16,2.75
29.5,34.375,2023,2,16,2.33
29.5,35.625,2022,7,2,5.03
29.5,35.0,2022,7,2,4.51
29.5,35.0,2020,1,1,2.7
29.5,34.375,2020,1,2,4.47
29.5,34.375,2024,4,2,4.48
29.5,35.625,2021,4,1,7.05
29.5,35.0,2021,4,1,5.7
29.5,34.375,2021,4,1,7.4
29.5,35.625,2021,4,4,3.83
29.5,35.625,2022,6,30,6.81
29.5,35.0,2022,6,30,3.36
29.5,34.375,2022,6,30,5.8
29.5,35.625,2024,12,29,5.13
29.5,35.0,2024,12,29,3.63
29.5,34.375,2024,12,29,2.44
29.5,35.625,2023,7,4,6.24
29.5,35.0,2023,7,4,3.44
29.5,34.375,2023,7,4,4.71
29.5,35.625,2020,1,5,4.19
29.5,35.0,2020,1,5,3.03
29.5,35.0,2023,4,25,4.46
29.5,34.375,2023,4,25,5.94
29.5,35.625,2021,4,5,4.27
29.5,35.0,2021,4,5,4.45
29.5,35.0,2022,6,29,2.86
29.5,34.375,2022,6,29,4.84
29.5,35.625,2023,2,15,3.79
29.5,35.0,2023,2,15,3.84
29.5,34.375,2023,2,15,4.21
29.5,35.625,2020,1,6,4.8
29.5,35.0,2020,1,6,6.78
29.5,34.375,2020,1,6,3.15
29.5,35.625,2022,7,3,3.44
29.5,35.0,2022,7,3,2.99
29.5,35.625,2024,4,2,4.21
29.5,35.0,2024,4,2,4.35
29.5,34.375,2021,4,5,4.19
29.5,35.625,2022,10,25,7.98
29.5,35.0,2022,10,25,5.18
29.5,34.375,2022,10,25,3.86
29.5,35.625,2021,3,31,6.04
29.5,35.0,2021,3,31,3.45
29.5,34.375,2021,3,31,4.02
29.5,35.0,2022,7,4,3.18
29.5,34.375,2022,7,4,3.76
29.5,35.625,2020,1,7,6.29
29.5,35.0,2020,1,7,4.85
29.5,34.375,2020,1,7,4.07
29.5,35.625,2022,6,29,5.77
29.5,35.0,2021,4,4,3.06
29.5,34.375,2021,4,4,3.73
29.5,35.625,2023,4,25,6.25
29.5,35.0,2024,12,28,2.89
29.5,34.375,2024,12,28,1.99
29.5,35.625,2022,6,28,6.22
29.5,35.0,2022,6,28,4.43
29.5,34.375,2022,6,28,6.53
29.5,35.625,2022,7,4,3.67
29.5,35.625,2021,4,6,2.91
29.5,35.0,2021,4,6,5.59
29.5,34.375,2021,4,6,1.43
29.5,35.625,2024,4,3,4.03
29.5,35.0,2024,4,3,2.81
29.5,34.375,2024,4,3,5.79
29.5,35.625,2021,4,7,3.41
29.5,35.0,2021,4,7,3.95
29.5,34.375,2021,4,7,5.21
29.5,35.625,2024,3,30,5.67
29.5,35.625,2021,3,29,3.68
29.5,35.0,2021,3,29,2.95
29.5,34.375,2021,3,29,4.42
29.5,35.625,2024,3,29,4.0
29.5,35.0,2024,3,29,7.05
29.5,35.625,2023,7,6,6.63
29.5,35.0,2023,7,6,2.69
29.5,34.375,2023,7,6,3.16
29.5,35.625,2023,2,14,3.6
29.5,35.0,2023,2,14,3.45
29.5,34.375,2023,2,14,2.62
29.5,35.625,2023,7,2,6.57
29.5,35.0,2023,7,2,3.3
29.5,34.375,2023,7,2,4.42
29.5,35.625,2023,7,5,6.3
29.5,35.625,2024,12,28,4.56
29.5,34.375,2023,4,24,4.92
29.5,35.625,2023,4,26,5.32
29.5,35.0,2023,4,26,2.57
29.5,34.375,2023,4,26,4.14
29.5,35.625,2022,6,26,6.89
29.5,34.375,2020,1,9,2.87
29.5,35.625,2020,1,8,6.49
29.5,35.0,2020,1,8,4.61
29.5,34.375,2020,1,8,4.91
29.5,35.0,2023,7,5,2.86
29.5,34.375,2023,7,5,2.47
29.5,35.0,2024,3,30,4.54
29.5,34.375,2024,3,30,3.84
29.5,35.625,2021,3,30,8.22
29.5,35.0,2021,3,30,3.8
29.5,34.375,2021,3,30,3.27
29.5,35.0,2024,4,4,2.59
29.5,34.375,2024,4,4,4.94
29.5,35.625,2021,4,8,6.99
29.5,35.0,2021,4,8,3.92
29.5,34.375,2021,4,8,5.47
29.5,35.625,2024,12,27,6.57
29.5,35.0,2024,12,27,5.14
29.5,34.375,2024,12,27,4.46
29.5,35.625,2020,1,9,4.12
29.5,35.0,2020,1,9,2.9
29.5,35.625,2022,6,27,5.56
29.5,35.0,2022,6,27,3.28
29.5,34.375,2022,6,27,3.89
29.5,34.375,2024,3,29,6.13
29.5,35.625,2023,4,24,5.95
29.5,35.0,2023,4,24,3.36
29.5,34.375,2024,12,26,1.96
29.5,35.0,2022,6,26,3.62
29.5,34.375,2022,6,26,4.24
29.5,35.625,2022,7,5,5.24
29.5,35.0,2022,7,5,5.42
29.5,34.375,2022,7,5,5.88
29.5,35.625,2021,3,28,3.81
29.5,35.0,2021,3,28,3.86
29.5,34.375,2021,3,28,3.21
29.5,35.625,2024,4,5,6.11
29.5,35.0,2024,4,5,2.64
29.5,34.375,2024,4,5,4.93
29.5,35.625,2021,4,9,5.06
29.5,35.0,2021,4,9,4.0
29.5,34.375,2021,4,9,3.49
29.5,35.625,2024,4,4,4.12
29.5,35.0,2021,3,27,3.69
29.5,34.375,2021,3,27,3.8
29.5,35.625,2021,4,10,4.09
29.5,35.0,2021,4,10,4.46
29.5,34.375,2021,4,10,3.79
29.5,35.625,2024,3,28,4.21
29.5,35.0,2022,6,25,7.1
29.5,34.375,2022,6,25,6.57
29.5,35.625,2020,1,11,3.31
29.5,35.0,2020,1,11,3.5
29.5,34.375,2020,1,11,3.21
29.5,35.625,2020,1,10,5.35
29.5,35.0,2020,1,10,3.07
29.5,34.375,2020,1,10,3.48
29.5,35.625,2024,12,26,4.36
29.5,35.0,2024,12,26,4.15
29.5,35.0,2023,2,13,3.81
29.5,34.375,2023,2,13,2.91
29.5,35.625,2023,7,7,7.61
29.5,35.0,2023,7,7,3.69
29.5,34.375,2023,7,7,4.88
29.5,35.625,2022,6,25,7.52
29.5,35.0,2024,3,28,4.93
29.5,34.375,2024,3,28,3.35
29.5,35.625,2022,10,26,4.35
29.5,35.0,2022,10,26,3.43
29.5,34.375,2022,10,26,4.42
29.5,35.625,2024,3,27,4.8
29.5,35.0,2024,3,27,2.9
29.5,34.375,2024,3,27,3.73
29.5,35.625,2021,4,11,3.88
29.5,35.625,2021,3,27,3.27
29.5,35.625,2021,3,26,6.12
29.5,35.0,2021,3,26,5.49
29.5,34.375,2021,3,26,5.91
29.5,35.625,2021,3,25,4.1
29.5,35.0,2021,3,25,3.06
29.5,34.375,2021,3,25,3.43
29.5,35.625,2020,1,12,5.16
29.5,35.0,2020,1,12,2.51
29.5,34.375,2020,1,12,4.83
29.5,35.625,2022,6,24,6.28
29.5,35.0,2022,6,24,3.55
29.5,34.375,2022,6,24,4.0
29.5,35.625,2023,7,8,6.98
29.5,35.0,2023,7,8,3.72
29.5,34.375,2023,7,8,4.71
29.5,35.625,2023,2,13,2.81
29.5,35.0,2021,4,12,3.71
29.5,34.375,2021,4,12,4.32
29.5,35.625,2022,10,23,7.03
29.5,35.0,2022,10,23,2.99
29.5,34.375,2022,10,23,4.48
29.5,35.625,2020,1,13,2.02
29.5,35.0,2020,1,13,2.93
29.5,34.375,2020,1,13,2.3
29.5,35.625,2024,12,25,3.86
29.5,35.0,2024,12,25,4.39
29.5,34.375,2024,12,25,4.59
29.5,35.625,2022,6,23,4.25
29.5,35.0,2022,6,23,3.78
29.5,34.375,2022,6,23,4.63
29.5,35.0,2021,4,11,2.87
29.5,34.375,2021,4,11,2.54
29.5,35.0,2024,4,7,3.88
29.5,34.375,2024,4,7,4.0
29.5,35.625,2021,3,24,7.01
29.5,35.0,2021,3,24,6.59
29.5,35.625,2021,4,13,3.84
29.5,35.0,2021,4,13,3.28
29.5,34.375,2021,4,13,2.73
29.5,35.625,2024,12,24,3.5
29.5,35.0,2024,12,24,2.57
29.5,34.375,2024,12,24,2.8
29.5,35.625,2022,6,22,5.04
29.5,35.0,2022,6,22,4.32
29.5,34.375,2022,6,22,4.79
29.5,35.625,2024,4,6,8.34
29.5,35.0,2024,4,6,5.2
29.5,34.375,2024,4,6,5.55
29.5,34.375,2023,4,27,4.15
29.5,34.375,2023,7,9,4.99
29.5,35.625,2023,2,17,2.59
29.5,35.0,2023,2,17,2.25
29.5,34.375,2023,2,17,3.19
29.5,35.625,2023,7,1,5.83
29.5,35.0,2023,7,1,4.21
29.5,34.375,2023,7,1,4.58
29.5,35.625,2021,4,12,6.51
29.5,34.375,2021,3,24,6.77
29.5,35.625,2021,3,23,11.02
29.5,35.0,2021,3,23,10.35
29.5,34.375,2021,3,23,9.43
29.5,35.0,2024,3,25,3.03
29.5,34.375,2024,3,25,4.6
29.5,35.625,2024,4,7,6.64
29.5,35.625,2020,1,15,3.53
29.5,35.0,2020,1,15,5.11
29.5,34.375,2020,1,15,1.87
29.5,35.625,2020,1,14,3.81
29.5,35.0,2020,1,14,4.05
29.5,34.375,2020,1,14,2.01
29.5,35.625,2023,7,9,5.36
29.5,35.0,2023,7,9,4.52
29.5,35.625,2024,3,26,4.55
29.5,35.0,2024,3,26,4.56
29.5,34.375,2024,3,26,3.86
29.5,35.625,2022,10,27,1.41
29.5,35.0,2022,10,27,3.98
29.5,34.375,2022,10,27,2.69
29.5,35.625,2023,4,27,6.72
29.5,35.0,2023,4,27,4.29
29.5,35.625,2021,4,14,4.59
29.5,35.0,2021,4,14,3.67
29.5,34.375,2021,4,14,2.65
29.5,35.625,2022,10,22,5.07
29.5,35.625,2022,6,20,8.31
29.5,35.0,2022,6,20,3.37
29.5,34.375,2022,6,20,3.36
29.5,35.625,2024,12,23,3.53
29.5,35.0,2024,12,23,3.65
29.5,34.375,2024,12,23,6.2
29.5,35.625,2022,6,21,4.88
