LAT,LON,YEAR,MO,DY,WD10M
29.5,35.625,2017,1,1,28.5
29.5,35.0,2017,1,1,32.1
29.5,34.375,2017,1,1,2.3
29.5,35.625,2009,1,3,123.3
29.5,35.0,2009,1,3,98.6
29.5,34.375,2009,1,3,51.3
29.5,35.0,2009,1,2,29.4
29.5,34.375,2018,7,3,338.1
29.5,35.625,2015,1,2,65.2
29.5,35.0,2015,1,2,22.0
29.5,34.375,2015,1,2,351.0
29.5,35.625,2018,7,4,293.4
29.5,35.625,2011,1,3,220.7
29.5,35.0,2011,1,3,194.8
29.5,34.375,2011,1,3,246.3
29.5,34.375,2018,7,2,341.6
29.5,35.0,2020,1,1,17.2
29.5,34.375,2020,1,1,350.8
29.5,35.625,2013,1,3,100.3
29.5,35.0,2013,1,3,83.6
29.5,34.375,2013,1,3,49.3
29.5,34.375,2020,1,2,303.1
29.5,34.375,2023,1,1,116.8
29.5,35.625,2017,1,2,337.1
29.5,35.0,2017,1,2,5.1
29.5,35.625,2022,12,31,82.5
29.5,35.0,2022,12,31,79.7
29.5,34.375,2022,12,31,12.9
29.5,35.625,2009,1,4,32.2
29.5,35.625,2009,1,2,55.6
29.5,35.625,2009,1,1,326.7
29.5,34.375,2009,1,4,359.3
29.5,35.625,2016,12,30,246.3
29.5,35.0,2016,12,30,283.5
29.5,34.375,2016,12,30,259.7
29.5,35.625,2017,1,4,69.1
29.5,35.625,2009,1,5,105.3
29.5,35.0,2009,1,5,85.2
29.5,34.375,2009,1,5,53.9
29.5,34.375,2019,12,31,336.5
29.5,35.625,2013,1,4,205.2
29.5,35.0,2013,1,4,109.9
29.5,34.375,2013,1,4,284.5
29.5,35.625,2020,1,1,20.4
29.5,35.625,2012,12,31,120.6
29.5,35.0,2012,12,31,107.7
29.5,34.375,2012,12,31,323.3
29.5,34.375,2017,1,2,341.2
29.5,35.0,2022,12,30,81.4
29.5,34.375,2022,12,30,25.6
29.5,35.0,2024,12,30,312.5
29.5,34.375,2024,12,30,296.4
29.5,35.625,2009,1,6,205.4
29.5,35.0,2009,1,6,118.8
29.5,34.375,2009,1,6,288.2
29.5,35.0,2017,1,3,52.1
29.5,34.375,2019,12,30,246.2
29.5,35.625,2013,1,5,289.8
29.5,35.0,2013,1,5,323.7
29.5,34.375,2013,1,5,298.8
29.5,35.625,2019,12,31,44.7
29.5,35.625,2023,6,6,300.8
29.5,35.0,2023,6,6,345.4
29.5,34.375,2017,1,3,17.8
29.5,35.625,2012,12,29,273.1
29.5,35.0,2017,1,4,28.3
29.5,34.375,2017,1,4,350.1
29.5,35.625,2016,12,29,248.5
29.5,35.0,2016,12,29,267.9
29.5,34.375,2016,12,29,269.7
29.5,34.375,2022,12,29,27.3
29.5,34.375,2023,6,6,340.1
29.5,35.625,2019,12,30,261.5
29.5,35.0,2019,12,30,251.2
29.5,35.625,2020,1,4,273.1
29.5,35.0,2020,1,4,273.8
29.5,34.375,2020,1,4,263.1
29.5,35.625,2012,12,30,63.0
29.5,35.625,2024,12,30,290.7
29.5,35.625,2022,12,30,98.2
29.5,34.375,2016,12,28,12.0
29.5,35.625,2017,1,5,118.2
29.5,35.0,2017,1,5,108.5
29.5,35.625,2009,1,7,297.6
29.5,35.0,2009,1,7,332.5
29.5,34.375,2009,1,7,305.7
29.5,35.625,2022,12,29,107.0
29.5,35.0,2022,12,29,72.7
29.5,35.0,2012,12,30,28.8
29.5,34.375,2012,12,30,9.9
29.5,35.625,2013,1,6,259.2
29.5,35.0,2013,1,6,251.6
29.5,34.375,2013,1,6,246.0
29.5,35.625,2020,1,5,274.0
29.5,35.0,2020,1,5,282.7
29.5,34.375,2020,1,5,264.4
29.5,34.375,2019,12,28,284.3
29.5,35.625,2016,12,27,272.4
29.5,35.0,2016,12,27,280.9
29.5,34.375,2016,12,27,275.2
29.5,34.375,2017,1,5,106.3
29.5,35.625,2023,11,10,280.6
29.5,35.0,2012,12,29,350.1
29.5,34.375,2012,12,29,334.8
29.5,35.625,2019,12,29,266.2
