country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_demand_per_capita,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy,count
Bulgaria,2009,BGR,7634737.0,107365072896.0,200.106,0.041,8.078,0.062,1.31,0.01,0.024,0.031,528.48,-15.823,-13.871,9665.478,73.793,2763.684,21.1,-5.231,-2.958,7017.741,53.579,49.87,36.512,37.24,4877.706,42.31,24.905,-12.213,-28.117,26471.965,1.882,-15.921,-28.57,3061.009,23.37,19762.596,150.882,55.235,74.655,-28.47,-9.658,24.264,256.721,1.96,3178.073,-90.909,-1.038,13.595,0.104,4.632,12.005,22.36,22.881,1.736,9.584,449.262,3.43,1255.287,8.107,4.742,1.503,0.453,51.224,2480.767,18.94,6709.371,44.765,25.345,-5.07,-13.614,-3.229,-1.626,40.884,1998.759,15.26,5355.021,36.067,20.229,-8.712,-5.041,52.825,40.604,0.31,6919.044,-0.273,-0.002,82.444,0.629,0.733,26.137,0.024,0.01,0.0,-52.344,-0.026,1.31,0.0,3.095,0.024,0.0,0.012,5541.776,202.106,26.785,2.08,10.34,482.007,3.68,1354.35,8.698,5.116,1856.287,0.009,0.009,0.0,0.0,1.195,0.0,0.005,94.656,0.32,0.662,31.435,0.24,86.696,0.567,0.327,1
Bulgaria,2010,BGR,7592271.0,109045211136.0,199.971,0.123,24.367,0.185,5.269,0.04,0.087,0.087,521.01,8.474,6.254,10543.219,80.047,2978.029,22.61,7.349,3.938,7575.616,57.516,49.227,37.852,37.48,4936.6,45.93,26.118,4.634,9.365,27853.473,1.939,2.505,3.779,3282.285,24.92,20370.924,154.662,54.256,73.136,10.134,2.459,26.723,259.474,1.97,3519.73,404.491,0.42,68.971,0.524,4.289,12.637,23.93,46.613,4.381,13.965,662.516,5.03,1839.355,10.951,6.604,11.579,5.585,56.81,2767.288,21.01,7482.548,45.744,26.864,-8.45,-22.545,-0.046,-0.269,40.615,2008.622,15.25,5349.481,33.203,19.206,-9.339,-4.933,47.892,44.782,0.34,6307.975,-0.002,0.0,82.904,0.629,0.74,22.647,0.112,0.04,0.0,376.074,0.089,5.269,0.0,14.816,0.087,0.0,0.053,6049.573,211.471,58.987,5.855,16.195,758.666,5.76,2133.067,12.541,7.658,355.005,0.032,0.041,1.317,0.01,5.434,0.022,0.02,187.487,1.229,1.891,89.565,0.68,249.095,1.481,0.894,1
Bulgaria,2011,BGR,7543128.0,109435363328.0,5.558,0.01,25.889,0.195,7.954,0.06,0.12,0.087,577.662,17.611,14.097,12480.812,94.144,3649.68,27.53,25.587,14.716,9575.949,72.233,55.104,41.915,39.3,5210.04,49.96,26.175,6.212,13.136,29776.332,2.052,10.222,15.81,3945.313,29.76,22599.609,170.472,59.568,75.898,14.489,3.872,30.594,275.748,2.08,4055.943,600.0,3.142,485.942,3.666,4.163,13.621,28.86,-42.926,-6.043,7.922,380.479,2.87,1050.188,5.745,3.527,-3.766,-2.675,54.135,2677.934,20.2,7176.722,40.432,24.102,-10.66,-27.125,6.984,2.572,43.186,2162.233,16.31,5725.254,32.646,19.228,-4.508,-2.159,45.733,19.886,0.15,6062.854,0.0,0.0,83.444,0.629,0.3,20.361,0.178,0.06,0.0,58.169,0.065,7.954,0.0,23.588,0.12,0.0,0.079,6623.247,224.607,-31.327,-5.246,10.949,515.701,3.89,1451.468,7.786,4.875,578.52,0.237,0.278,13.257,0.1,36.887,0.2,0.124,26.377,0.484,2.375,114.011,0.86,314.918,1.721,1.058,1
Bulgaria,2012,BGR,7488347.0,110261510144.0,399.988,0.781,130.387,0.976,9.348,0.07,0.151,0.457,525.398,-14.57,-13.716,10740.416,80.428,3054.079,22.87,-9.639,-6.962,8716.262,65.27,49.225,37.684,38.15,5094.583,46.46,26.025,-4.977,-11.179,28501.373,1.936,-8.188,-13.958,3395.943,25.43,20900.92,156.513,54.735,73.333,-6.806,-2.082,28.512,315.156,2.36,3807.549,8.772,0.322,532.437,3.987,5.08,13.359,24.41,10.658,0.791,8.713,424.66,3.18,1163.524,6.845,4.082,7.873,2.78,56.915,2808.364,21.03,7600.457,45.265,26.667,-8.31,-21.782,-3.243,-1.654,41.533,2107.274,15.78,5546.312,33.965,19.46,4.024,1.84,47.573,26.708,0.2,6352.954,0.274,0.002,84.284,0.631,0.43,22.29,0.21,0.07,0.0,18.103,0.032,9.348,0.0,28.061,0.151,0.0,0.098,6204.306,213.428,52.267,4.434,15.382,701.089,5.25,2054.145,11.3,7.207,672.041,1.857,2.135,104.162,0.78,285.128,1.679,1.0,41.784,0.972,3.348,162.92,1.22,447.044,2.626,1.569,1
Bulgaria,2013,BGR,7431169.0,109643522048.0,29.912,0.292,170.692,1.268,14.803,0.11,0.256,0.64,487.448,-14.053,-11.302,9302.114,69.126,2609.28,19.39,-14.67,-9.575,7494.814,55.695,45.072,34.893,36.84,4957.498,43.02,26.355,-7.178,-15.32,26659.102,1.807,-9.986,-15.629,2952.429,21.94,18958.596,140.885,51.0,71.115,-3.396,-0.968,27.544,314.89,2.34,3706.55,-26.977,-1.076,391.792,2.911,5.439,13.904,20.97,27.017,2.287,11.0,543.656,4.04,1480.273,9.391,5.553,1.583,0.309,57.224,2836.7,21.08,7700.506,49.0,28.885,-6.18,-16.775,-10.225,-4.471,37.061,1906.833,14.17,4987.292,32.938,18.708,-7.059,-3.358,44.215,28.259,0.21,5949.932,-0.273,-0.002,84.701,0.629,0.488,22.319,0.357,0.11,0.0,69.707,0.146,14.803,0.0,47.989,0.256,0.0,0.18,5789.13,198.108,31.552,4.78,20.162,929.867,6.91,2713.214,16.062,10.177,78.759,1.659,3.794,187.05,1.39,510.518,3.231,1.915,12.5,0.396,3.743,184.359,1.37,503.742,3.185,1.89,1
Bulgaria,2014,BGR,7372142.0,110703534080.0,-0.613,-0.008,171.004,1.261,27.129,0.2,0.426,0.596,486.999,6.837,4.726,10017.667,73.852,2890.612,21.31,7.093,3.951,8090.712,59.646,45.418,34.91,37.46,5081.292,46.92,27.052,6.785,13.442,28695.912,1.911,5.707,8.04,3209.379,23.66,20201.037,148.925,50.426,70.397,-0.663,-0.182,27.361,290.282,2.14,3711.472,-35.252,-1.026,255.71,1.885,4.561,12.934,22.85,14.011,1.466,12.466,623.971,4.6,1690.996,9.804,5.893,9.683,5.402,62.625,3155.121,23.26,8494.875,49.574,29.603,-9.46,-25.254,11.968,4.187,41.248,2152.699,15.87,5595.182,33.824,19.498,7.909,3.497,47.712,28.486,0.21,6471.898,0.0,0.0,85.379,0.629,0.448,22.553,0.641,0.2,0.0,79.739,0.284,27.129,0.0,86.945,0.426,0.0,0.303,6364.5,211.55,5.726,1.215,21.377,1002.422,7.39,2899.693,15.75,10.105,-9.723,-0.389,3.404,170.914,1.26,461.791,2.685,1.609,-3.126,-0.139,3.605,180.409,1.33,488.957,2.835,1.704,1
Bulgaria,2015,BGR,7309255.0,114498609152.0,32.249,0.407,228.097,1.667,36.939,0.27,0.554,0.742,494.56,3.229,2.385,10430.137,76.237,3082.394,22.53,14.404,8.591,9335.741,68.237,46.253,33.931,38.13,5216.674,48.71,26.282,6.207,13.13,30739.168,1.962,7.129,10.616,3362.86,24.58,21827.303,159.541,50.462,71.008,9.656,2.642,30.003,254.472,1.86,4104.864,-42.026,-0.792,149.522,1.093,3.819,13.354,24.09,22.881,2.761,15.228,772.993,5.65,2083.321,11.599,6.777,5.265,2.514,65.139,3301.294,24.13,8911.866,49.538,28.992,-10.58,-27.747,-3.05,-1.496,39.752,2104.182,15.38,5438.614,31.575,17.693,11.715,5.59,53.301,25.994,0.19,7292.302,0.0,0.0,86.114,0.629,0.39,23.723,0.862,0.27,0.0,34.56,0.222,36.939,0.0,117.999,0.554,0.0,0.384,6664.154,224.68,20.517,4.01,25.387,1197.112,8.75,3473.251,17.963,11.299,9.948,0.316,3.721,188.802,1.38,509.05,2.833,1.656,9.089,0.304,3.909,198.379,1.45,534.785,2.977,1.74,1
Bulgaria,2016,BGR,7245982.0,117979078656.0,11.543,0.192,256.647,1.86,48.303,0.35,0.786,0.873,472.041,-13.133,-10.012,9139.508,66.225,2673.206,19.37,-12.769,-8.713,8214.817,59.524,43.499,31.074,38.16,5266.367,44.53,25.249,-5.146,-11.563,29411.801,1.806,-4.924,-7.856,2996.143,21.71,20933.736,151.685,48.754,71.175,4.156,1.247,31.25,282.915,2.05,4312.804,-10.881,-0.119,134.416,0.974,4.604,14.664,21.02,-31.385,-4.841,10.386,535.469,3.88,1433.413,8.713,4.874,-4.363,-3.707,61.432,3149.332,22.82,8478.065,51.246,28.825,-6.37,-16.693,2.555,0.774,40.527,2177.759,15.78,5592.97,35.437,19.016,1.705,0.909,54.21,40.022,0.29,7481.424,0.274,0.002,87.104,0.631,0.651,25.437,1.129,0.35,0.0,30.878,0.266,48.303,0.0,155.784,0.786,0.0,0.53,6145.475,213.117,-14.571,-4.482,20.905,971.573,7.04,2885.095,15.81,9.809,0.458,-0.005,3.716,191.83,1.39,512.795,3.121,1.743,-1.829,-0.094,3.815,195.971,1.42,526.457,3.189,1.79,1
Czechia,2005,CZE,10280122.0,225302577152.0,-91.427,-0.329,2.999,0.031,71.011,0.73,0.891,0.006,646.65,-3.386,-8.191,22732.893,233.697,4817.063,49.52,0.694,1.889,26664.938,274.119,60.442,44.974,69.3,6741.166,81.93,17.419,-1.552,-8.193,50547.258,2.306,-0.919,-4.102,5259.666,54.07,43038.887,442.445,65.995,85.146,-1.084,-0.982,89.591,142.994,1.47,8714.974,-5.124,-0.108,193.833,1.993,1.794,17.241,52.98,17.864,0.996,6.815,231.515,2.38,662.897,2.905,1.311,-5.218,-4.091,77.187,2710.085,27.86,7508.37,34.005,14.854,-12.63,-18.225,-6.067,-4.849,67.945,2405.614,24.73,6609.312,30.184,13.076,4.446,5.072,119.157,299.607,3.08,11591.021,1.169,0.047,398.93,4.101,3.759,22.931,2.336,0.73,0.0,2.572,0.059,71.011,0.0,227.215,0.891,0.0,0.45,7969.75,519.632,1.986,0.758,9.242,304.471,3.13,899.058,3.82,1.779,-32.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0,114.949,0.032,0.061,1.946,0.02,5.927,0.024,0.012,1
Czechia,2006,CZE,10304822.0,243991789568.0,581.047,0.179,20.376,0.21,89.279,0.92,1.1,0.04,634.114,3.542,8.278,23481.752,241.975,4818.133,49.65,1.237,3.391,26930.105,277.51,59.347,45.703,71.03,6892.889,83.66,17.518,1.89,9.823,51379.383,2.17,1.21,5.353,5248.999,54.09,43455.23,447.798,64.655,84.577,-1.427,-1.278,88.313,152.356,1.57,8570.041,-4.39,-0.087,184.879,1.905,1.877,16.68,53.05,7.16,0.442,7.257,247.457,2.55,704.198,3.048,1.371,6.751,4.47,81.657,2869.53,29.57,7924.147,35.345,15.423,-12.63,-17.781,5.334,3.174,71.118,2527.943,26.05,6901.465,31.138,13.432,-1.382,-1.647,117.51,278.51,2.87,11403.439,-13.594,-0.557,343.873,3.544,3.431,22.195,2.931,0.92,0.0,25.48,0.595,89.279,0.0,284.428,1.1,0.0,0.554,8118.53,529.455,17.832,1.296,10.539,341.588,3.52,1022.683,4.208,1.99,150.0,0.0,0.0,0.0,0.0,0.047,0.0,0.0,132.025,0.08,0.14,4.852,0.05,13.634,0.06,0.027,1
