,country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_demand_per_capita,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy
15533,Palestine,1997,PSE,2847222.0,15853595648.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,955.936,0.172,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,2.722,,,,,,,,,,,,,,,,,,,,,,,,
15534,Palestine,1998,PSE,2950926.0,17641238528.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,58.482,1.592,1461.747,0.245,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,4.314,,,,,,,,,,,,,,,,,,,,,,,,
15535,Palestine,1999,PSE,3044490.0,18589120512.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,1.794,0.077,1442.239,0.236,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,4.391,,,,,,,,,,,,,,,,,,,,,,,,
15536,Palestine,2000,PSE,3139950.0,16535485440.0,,,,,0.0,0.0,0.0,,666.667,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,2.29,729.311,0.03,,31.279,1.373,1835.8,0.349,,,9.554,0.03,,,100.0,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.02,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,2.26,98.69,,,,0.0,0.0,,0.0,,,,,9.554,0.03,,,0.0,0.0,0.0,100.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,9.554,5.764,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,
15537,Palestine,2001,PSE,3230085.0,14595986432.0,,,,,0.0,0.0,0.0,,750.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,2.12,656.329,0.04,,35.681,2.057,2421.331,0.536,,,12.384,0.04,,,100.0,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.03,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,2.08,98.113,,,,0.0,0.0,,0.0,,,,,12.384,0.04,,,0.0,0.0,0.0,100.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,12.384,7.821,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,
15538,Palestine,2002,PSE,3309493.0,12429343744.0,,,,,0.0,0.0,0.0,,666.667,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,2.46,743.316,0.15,,-7.406,-0.579,2188.22,0.583,,,45.324,0.15,,,100.0,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.1,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,2.31,93.902,,,,0.0,0.0,,0.0,,,,,45.324,0.15,,,0.0,0.0,0.0,100.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,45.324,7.242,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,
15539,Palestine,2003,PSE,3384195.0,13784762368.0,,,,,0.0,0.0,0.0,,647.059,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,2.66,786.007,0.34,,7.269,0.526,2295.478,0.564,,,100.467,0.34,,,100.0,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.22,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,2.32,87.218,,,,0.0,0.0,,0.0,,,,,100.467,0.34,,,0.0,0.0,0.0,100.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,100.467,7.768,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,
15540,Palestine,2004,PSE,3460130.0,14801525760.0,,,,,0.0,0.0,0.0,,650.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,3.0,867.019,0.4,,52.093,4.047,3414.642,0.798,,,115.603,0.4,,,100.0,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.26,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,2.6,86.667,,,,0.0,0.0,,0.0,,,,,115.603,0.4,,,0.0,0.0,0.0,100.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,115.603,11.815,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,
15541,Palestine,2005,PSE,3541198.0,15962719232.0,,,,,0.0,0.0,0.0,,660.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,3.36,948.831,0.5,,22.554,2.665,4088.966,0.907,,,141.195,0.5,,,100.0,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.33,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,2.86,85.119,,,,0.0,0.0,,0.0,,,,,141.195,0.5,,,0.0,0.0,0.0,100.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,141.195,14.48,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,
15542,Palestine,2006,PSE,3627671.0,14923433984.0,,,,,0.0,0.0,0.0,,657.143,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,,3.45,951.023,0.35,,-11.704,-1.695,3524.347,0.857,,,96.481,0.35,,,100.0,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.23,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,3.1,89.855,,,,0.0,0.0,,0.0,,,,,96.481,0.35,,,0.0,0.0,0.0,100.0,,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,96.481,12.785,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,,,,,0.0,0.0,,0.0,
